,AvF0.5,AvF1,AvF1.5,CBA,mGM,CEN,AvACC,Recall_0,Recall_1,Recall_2,Recall_3,Recall_4,Recall_5,Recall_6,Recall_7,Recall_8,Precision_0,Precision_1,Precision_2,Precision_3,Precision_4,Precision_5,Precision_6,Precision_7,Precision_8
0,0.870907224,0.834376288,0.816540204,0.792427495,0.766945858,0.040494165,0.994776004,0.99066794,0.928701456,0.395061728,0.6692607,0.659192825,0.775641026,0.986463621,0.922297297,0.811320755,0.983908046,0.945336628,0.96969697,0.690763052,0.837606838,0.823129252,0.997149373,0.954545455,0.955555556
1,0.870907224,0.834376288,0.816540204,0.792427495,0.766945858,0.040494165,0.994776004,0.99066794,0.928701456,0.395061728,0.6692607,0.659192825,0.775641026,0.986463621,0.922297297,0.811320755,0.983908046,0.945336628,0.96969697,0.690763052,0.837606838,0.823129252,0.997149373,0.954545455,0.955555556
2,0.870907224,0.834376288,0.816540204,0.792427495,0.766945858,0.040494165,0.994776004,0.99066794,0.928701456,0.395061728,0.6692607,0.659192825,0.775641026,0.986463621,0.922297297,0.811320755,0.983908046,0.945336628,0.96969697,0.690763052,0.837606838,0.823129252,0.997149373,0.954545455,0.955555556
3,0.870907224,0.834376288,0.816540204,0.792427495,0.766945858,0.040494165,0.994776004,0.99066794,0.928701456,0.395061728,0.6692607,0.659192825,0.775641026,0.986463621,0.922297297,0.811320755,0.983908046,0.945336628,0.96969697,0.690763052,0.837606838,0.823129252,0.997149373,0.954545455,0.955555556
4,0.870907224,0.834376288,0.816540204,0.792427495,0.766945858,0.040494165,0.994776004,0.99066794,0.928701456,0.395061728,0.6692607,0.659192825,0.775641026,0.986463621,0.922297297,0.811320755,0.983908046,0.945336628,0.96969697,0.690763052,0.837606838,0.823129252,0.997149373,0.954545455,0.955555556
5,0.870907224,0.834376288,0.816540204,0.792427495,0.766945858,0.040494165,0.994776004,0.99066794,0.928701456,0.395061728,0.6692607,0.659192825,0.775641026,0.986463621,0.922297297,0.811320755,0.983908046,0.945336628,0.96969697,0.690763052,0.837606838,0.823129252,0.997149373,0.954545455,0.955555556
6,0.870907224,0.834376288,0.816540204,0.792427495,0.766945858,0.040494165,0.994776004,0.99066794,0.928701456,0.395061728,0.6692607,0.659192825,0.775641026,0.986463621,0.922297297,0.811320755,0.983908046,0.945336628,0.96969697,0.690763052,0.837606838,0.823129252,0.997149373,0.954545455,0.955555556
7,0.870907224,0.834376288,0.816540204,0.792427495,0.766945858,0.040494165,0.994776004,0.99066794,0.928701456,0.395061728,0.6692607,0.659192825,0.775641026,0.986463621,0.922297297,0.811320755,0.983908046,0.945336628,0.96969697,0.690763052,0.837606838,0.823129252,0.997149373,0.954545455,0.955555556
8,0.870907224,0.834376288,0.816540204,0.792427495,0.766945858,0.040494165,0.994776004,0.99066794,0.928701456,0.395061728,0.6692607,0.659192825,0.775641026,0.986463621,0.922297297,0.811320755,0.983908046,0.945336628,0.96969697,0.690763052,0.837606838,0.823129252,0.997149373,0.954545455,0.955555556
9,0.870907224,0.834376288,0.816540204,0.792427495,0.766945858,0.040494165,0.994776004,0.99066794,0.928701456,0.395061728,0.6692607,0.659192825,0.775641026,0.986463621,0.922297297,0.811320755,0.983908046,0.945336628,0.96969697,0.690763052,0.837606838,0.823129252,0.997149373,0.954545455,0.955555556
std,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mean,0.870907224,0.834376288,0.816540204,0.792427495,0.766945858,0.040494165,0.994776004,0.99066794,0.928701456,0.395061728,0.6692607,0.659192825,0.775641026,0.986463621,0.922297297,0.811320755,0.983908046,0.945336628,0.96969697,0.690763052,0.837606838,0.823129252,0.997149373,0.954545455,0.955555556
