,AvF0.5,AvF1,AvF1.5,CBA,mGM,CEN,AvACC,Recall_0,Recall_1,Recall_2,Recall_3,Recall_4,Recall_5,Recall_6,Recall_7,Recall_8,Precision_0,Precision_1,Precision_2,Precision_3,Precision_4,Precision_5,Precision_6,Precision_7,Precision_8
0,0.8225169468322617,0.721593414166414,0.6784468665942959,0.6194789206122798,0.5595266111222562,0.07069945506302625,0.9845242783744401,0.9963259607612609,0.4963592233009709,0.19753086419753085,0.3035019455252918,0.6614349775784754,0.4791666666666667,0.9796954314720813,0.7736486486486487,0.7547169811320755,0.9292555469887775,0.9311326124075128,1.0,0.8863636363636364,0.8885542168674698,0.9314641744548287,0.9903078677309008,0.9913419913419913,0.9937888198757764
1,0.7072235266794978,0.6172528883940479,0.5823960670435537,0.5332714584543686,0.4108623375001426,0.07991062781234064,0.9820006526001622,0.9929274744654273,0.46025485436893204,0.38271604938271603,0.3540856031128405,0.6390134529147982,0.22435897435897437,0.9723632261703328,0.8192567567567568,0.04716981132075472,0.9196726332267066,0.9457605985037406,1.0,0.7520661157024794,0.6195652173913043,0.7734806629834254,0.9896670493685419,0.9938524590163934,1.0
2,0.7718113771538422,0.6518103306705542,0.6041934173120974,0.5417938186605735,0.47309078267867344,0.07653687488849782,0.9820498792955846,0.9973363215519142,0.4362864077669903,0.2345679012345679,0.3540856031128405,0.273542600896861,0.23557692307692307,0.954878736604625,0.8141891891891891,0.6556603773584906,0.9173566287046737,0.9426417568010489,1.0,0.8504672897196262,0.8531468531468531,0.8448275862068966,0.9912177985948478,0.9897330595482546,0.9788732394366197
3,0.799086891275503,0.7416473776515993,0.716596556339254,0.6630058347485847,0.6454182389449858,0.0726607249144809,0.9862610067978559,0.986497905797634,0.6341019417475728,0.35802469135802467,0.36186770428015563,0.6816143497757847,0.5160256410256411,0.9763113367174281,0.9138513513513513,0.7641509433962265,0.9451738946775556,0.9403824521934758,0.9666666666666667,0.8230088495575221,0.49754500818330605,0.575,0.9982698961937716,0.9981549815498155,1.0
4,0.7804829974545479,0.6837749448242031,0.6427026040819098,0.5863681857752341,0.5264279699475264,0.07770494664961773,0.9823366245395443,0.9947644940847968,0.44387135922330095,0.25925925925925924,0.3540856031128405,0.4260089686098655,0.28365384615384615,0.9667230682459109,0.8581081081081081,0.7641509433962265,0.9214525158677489,0.9233196591984854,1.0,0.8921568627450981,0.662020905923345,0.6833976833976834,0.9930475086906141,0.9769230769230769,1.0
5,0.6470557995915597,0.5662338765556801,0.5328519078655204,0.4860138484336557,0.3172033413188315,0.08166027450830965,0.9827811657222646,0.9909618634727019,0.544751213592233,0.16049382716049382,0.36964980544747084,0.5403587443946188,0.21314102564102563,0.9503666102650874,0.6554054054054054,0.014150943396226415,0.9258070606003398,0.9632510729613734,1.0,0.7723577235772358,0.7927631578947368,0.2910284463894967,0.978513356562137,0.9797979797979798,1.0
6,0.7115811393778166,0.622597918144036,0.5872962406095684,0.5300559351756103,0.44887278274430564,0.08493919372866847,0.981586381411903,0.988849290910427,0.4699635922330097,0.345679012345679,0.38910505836575876,0.5717488789237668,0.45032051282051283,0.9836435420191766,0.660472972972973,0.07075471698113207,0.9221399938328708,0.9144037780401417,0.9333333333333333,0.9090909090909091,0.47842401500938087,0.6990049751243781,0.9875424688561721,0.9898734177215189,1.0
7,0.7679882665458923,0.6621266293658667,0.6191878294902152,0.5616849557271384,0.48671392274726555,0.07771432425901502,0.982312396703142,0.9954258211477699,0.4567657766990291,0.2716049382716049,0.4474708171206226,0.23094170403587444,0.20673076923076922,0.9870276367738297,0.7702702702702703,0.7641509433962265,0.9202017457460178,0.9244703715075223,1.0,0.8582089552238806,0.6058823529411764,0.9020979020979021,0.9915014164305949,0.9702127659574468,0.9759036144578314
8,0.7013639270603884,0.60358841897238,0.5666404397240574,0.5189665573732164,0.41390560963132267,0.07693088146340317,0.984259701766772,0.9916048203394813,0.5693264563106796,0.09876543209876543,0.2529182879377432,0.21076233183856502,0.45032051282051283,0.9842075578116187,0.856418918918919,0.3160377358490566,0.9319417827730875,0.9380154961259685,0.8888888888888888,0.8552631578947368,0.6143790849673203,0.545631067961165,0.9914772727272727,0.9921722113502935,1.0
9,0.7782760458040872,0.6830115869948379,0.6440366306251119,0.5908530629154045,0.5083444669277412,0.07589091282727543,0.9833592588415693,0.9946542729076346,0.4880157766990291,0.1728395061728395,0.35019455252918286,0.5829596412556054,0.20833333333333334,0.9644670050761421,0.8412162162162162,0.7830188679245284,0.9266326670317634,0.9061971830985915,1.0,0.9278350515463918,0.771513353115727,0.6701030927835051,0.9930313588850174,0.9940119760479041,1.0
std,0.05142878066356854,0.05158687020664855,0.05191380460048176,0.04979861299192948,0.08564479795447417,0.003899267095306878,0.0013898746440487318,0.003273672047614122,0.0604234505047478,0.088760194903796,0.04801783445370482,0.17364873754669066,0.12311917093401537,0.011975345028237227,0.07975477732988395,0.3220713819638431,0.007732452310368333,0.01576300308650858,0.03666666666666668,0.05387097508210961,0.13499499895520953,0.18109986536434505,0.004784154593031331,0.008446442268694523,0.008949891480703647
mean,0.7487386917775396,0.6553637385739619,0.6174348559685584,0.5631492577876066,0.4790366063563051,0.07746482161146351,0.9831471346053238,0.9929348225439047,0.4999696601941747,0.24814814814814815,0.35369649805447473,0.4818385650224216,0.3267628205128205,0.9719684151156234,0.7962837837837838,0.4933962264150943,0.925963446944954,0.932957498083786,0.9788888888888889,0.8526818551421517,0.678379416544062,0.6916035591399282,0.9904575994039873,0.9876073919254675,0.9948565673770228
