,AvF0.5,AvF1,AvF1.5,CBA,mGM,CEN,AvACC,Recall_0,Recall_1,Recall_2,Recall_3,Recall_4,Recall_5,Recall_6,Recall_7,Recall_8,Precision_0,Precision_1,Precision_2,Precision_3,Precision_4,Precision_5,Precision_6,Precision_7,Precision_8
0,0.9101246559829508,0.8549367116360979,0.8275551500377109,0.7902830914877668,0.7619693858543063,0.024803509955535766,0.996944346198918,0.998071129399662,0.9684466019417476,0.37037037037037035,0.7276264591439688,0.6995515695067265,0.6698717948717948,0.988155668358714,0.9222972972972973,0.7783018867924528,0.9879261751068279,0.9812480786965878,1.0,0.8990384615384616,0.975,0.8672199170124482,1.0,0.9963503649635036,0.9593023255813954
1,0.921970394882211,0.8681164597162514,0.8401010007771981,0.8013847631560499,0.7827746822714038,0.027070214717932715,0.9966969134753112,0.9967852156661033,0.9637439320388349,0.48148148148148145,0.6614785992217899,0.6973094170403588,0.7147435897435898,0.9892836999435984,0.9341216216216216,0.7830188679245284,0.9872816593886463,0.972001223990208,1.0,0.8900523560209425,0.9688473520249221,0.9272349272349273,0.9982925441092771,0.9892665474060823,0.9822485207100592
2,0.9135536020858367,0.8531042179743554,0.8220365309177718,0.7794422461684697,0.7592663626262937,0.02817373939338191,0.9964878255587494,0.9970791388052025,0.9638956310679612,0.4567901234567901,0.6459143968871596,0.6748878923766816,0.6971153846153846,0.9870276367738297,0.8766891891891891,0.7264150943396226,0.9862448668096087,0.9739423666462294,1.0,0.8972972972972973,0.9709677419354839,0.8823529411764706,0.9994288977727013,0.9885714285714285,1.0
3,0.9106418146306784,0.8483130771540618,0.8165439597778739,0.7730225162126113,0.7504807187380446,0.02902575176069703,0.9963661265706045,0.9975751341024323,0.9570691747572816,0.41975308641975306,0.6186770428015564,0.6816143497757847,0.7147435897435898,0.9864636209813875,0.8293918918918919,0.7641509433962265,0.9853389461460299,0.9758700696055684,0.9714285714285714,0.9244186046511628,0.9838187702265372,0.89738430583501,0.9988577955454027,0.9646365422396856,0.9938650306748467
4,0.9296092971953424,0.8860248107684523,0.8623145857529968,0.8285533514368234,0.8155218769603384,0.023960290038072245,0.9971281779877312,0.997226100374752,0.9731492718446602,0.5679012345679012,0.7509727626459144,0.7040358744394619,0.6955128205128205,0.9892836999435984,0.9425675675675675,0.8443396226415094,0.9898074538691561,0.9725591267434809,0.9787234042553191,0.9061032863849765,0.9661538461538461,0.875,1.0,1.0,0.9944444444444445
5,0.9240357687261554,0.8703095282244047,0.842094709531087,0.8030692473396093,0.7846202444623844,0.02359918429489761,0.9971488660259268,0.9977772062605629,0.9757281553398058,0.5061728395061729,0.6264591439688716,0.6905829596412556,0.717948717948718,0.988155668358714,0.9459459459459459,0.7877358490566038,0.988893946290396,0.9772105742935278,0.9761904761904762,0.8944444444444445,0.9565217391304348,0.939203354297694,0.9988597491448119,0.9929078014184397,1.0
6,0.9077020748126263,0.8481929153942533,0.8200020103529023,0.7824943599481342,0.7414666105782007,0.025311860349045173,0.9968932793239035,0.9972812109633331,0.9689016990291263,0.2839506172839506,0.7159533073929961,0.7040358744394619,0.717948717948718,0.988155668358714,0.9442567567567568,0.7311320754716981,0.9881145228517865,0.9727383490709717,1.0,0.9108910891089109,0.9691358024691358,0.9237113402061856,0.9994295493439818,0.994661921708185,0.9872611464968153
7,0.9276994585432726,0.8759560250492916,0.8495053916210706,0.8131521804188059,0.7920599935227268,0.023890511484792758,0.9971667397036212,0.9976118744948196,0.9701152912621359,0.43209876543209874,0.7782101167315175,0.7219730941704036,0.7435897435897436,0.988155668358714,0.9358108108108109,0.7594339622641509,0.9889821711496786,0.977978284141306,1.0,0.9174311926605505,0.972809667673716,0.9188118811881189,0.9982905982905983,0.992831541218638,1.0
8,0.902090850898232,0.8410045278718115,0.81148037515159,0.7718965963252798,0.7329155968231564,0.02795833327859208,0.9965467273922791,0.9969505474318465,0.9658677184466019,0.2962962962962963,0.6342412451361867,0.7107623318385651,0.6762820512820513,0.9836435420191766,0.9054054054054054,0.7877358490566038,0.9868349274466306,0.9691019786910198,0.96,0.8907103825136612,0.9664634146341463,0.9193899782135077,1.0,0.9871086556169429,1.0
9,0.9231268834680036,0.8715850720080481,0.8441134028944058,0.8056479629841329,0.7898118418707275,0.024210752683621918,0.9970516666984531,0.9977772062605629,0.9748179611650486,0.5308641975308642,0.688715953307393,0.6816143497757847,0.6826923076923077,0.9870276367738297,0.9239864864864865,0.7924528301886793,0.9886599439368015,0.9786780383795309,0.9772727272727273,0.921875,0.9559748427672956,0.8801652892561983,1.0,0.9891500904159132,1.0
std,0.008907840654042907,0.013847360287676275,0.015613465106618863,0.017640680567015603,0.024630460240347554,0.0019479016412957079,0.00028261362265628853,0.00039191856741672303,0.005448846678892539,0.09001346238794165,0.05320931646372507,0.013859694583431044,0.021644109977374662,0.0015640636913549872,0.0351907207133404,0.03186669010198969,0.0013096953044603682,0.0035053492836942747,0.014464993850130078,0.012188967919041714,0.007823458127506712,0.02426741456594018,0.0006643861886442075,0.009118448017964523,0.012309797100729304
mean,0.9170554801225309,0.8617543345797027,0.8335747116814606,0.7948946315477683,0.7710887313707583,0.025800414795656916,0.9968430668935498,0.9974134763759277,0.9681735436893202,0.4345679012345679,0.6848249027237354,0.6966367713004484,0.7030448717948719,0.9875352509870277,0.9160472972972972,0.7754716981132075,0.9878084612995561,0.9751328090258431,0.9863615179147093,0.9052262114620409,0.9685693177015517,0.9030473934420561,0.9993159134206774,0.9895484893558819,0.9917121467907561
