,AvF0.5,AvF1,AvF1.5,CBA,mGM,CEN,AvACC,Recall_0,Recall_1,Recall_2,Recall_3,Recall_4,Recall_5,Recall_6,Recall_7,Recall_8,Precision_0,Precision_1,Precision_2,Precision_3,Precision_4,Precision_5,Precision_6,Precision_7,Precision_8
0,0.8647502153383624,0.7966401662276401,0.7670431162224133,0.7282283763235946,0.6725158326882675,0.023345479285206992,0.9969180280520872,0.998493643912117,0.9890776699029126,0.2839506172839506,0.33852140077821014,0.625560538116592,0.6939102564102564,0.9808234630569655,0.8682432432432432,0.8018867924528302,0.9904876448720752,0.9706714306982284,1.0,0.8877551020408163,0.9755244755244755,0.7844202898550725,0.9897552646556631,0.9941972920696325,0.9090909090909091
1,0.8152506169446747,0.7539155529359172,0.725746080709726,0.689393642299497,0.6159067696105011,0.03284170590389451,0.9956496599015681,0.9972628407671394,0.957372572815534,0.18518518518518517,0.33073929961089493,0.6210762331838565,0.717948717948718,0.961082910321489,0.8429054054054054,0.6037735849056604,0.9844588713187291,0.9787531017369727,0.5555555555555556,0.8415841584158416,0.9822695035460993,0.7272727272727273,0.990122022080186,0.9327102803738317,0.920863309352518
2,0.8602464180764344,0.7948355811421971,0.763572357496606,0.7224250777221155,0.6784797748617393,0.027330066202634805,0.996277348406671,0.9984017929311485,0.9754247572815534,0.43209876543209874,0.5408560311284046,0.3183856502242152,0.7211538461538461,0.9864636209813875,0.8243243243243243,0.7169811320754716,0.9861375718977374,0.9783931832014607,0.875,0.8176470588235294,0.8711656441717791,0.8506616257088847,0.9903737259343148,0.9644268774703557,0.987012987012987
3,0.820557941777742,0.7665368495823788,0.7400313710430386,0.7041382232543391,0.6613024836055412,0.032233834428910424,0.9956785928142377,0.996987287824234,0.9702669902912622,0.41025641025641024,0.31906614785992216,0.6143497757847534,0.6073717948717948,0.9599548787366047,0.8192567567567568,0.6509433962264151,0.9857778585051312,0.9723320158102767,0.6037735849056604,0.9010989010989011,0.8328267477203647,0.7534791252485089,0.9866666666666667,0.9309021113243762,0.8903225806451613
4,0.8692645145666025,0.8275567133511811,0.8067556396596025,0.7707712677234806,0.7522710235375913,0.025265666117876336,0.9967953611358052,0.9972628407671394,0.9778519417475728,0.37037037037037035,0.7198443579766537,0.7174887892376681,0.7900641025641025,0.9847715736040609,0.7043918918918919,0.7547169811320755,0.9921595145843994,0.9725407362703682,0.8571428571428571,0.8894230769230769,0.8743169398907104,0.7228739002932552,0.9825548677546426,0.9928571428571429,0.8839779005524862
5,0.845631964401353,0.7864683208239573,0.7580161407855894,0.7200759957897013,0.6815186134615343,0.030671625717231966,0.9959820246739335,0.9979241678301124,0.9745145631067961,0.32098765432098764,0.5058365758754864,0.6076233183856502,0.5737179487179487,0.9633389734912577,0.7415540540540541,0.8066037735849056,0.9865071005702248,0.9816625916870416,0.9285714285714286,0.9027777777777778,0.7324324324324324,0.7682403433476395,0.9838709677419355,0.9222689075630253,0.9344262295081968
6,0.8466387779062479,0.7889346812234681,0.76197498036985,0.7258453489243188,0.6895813455056098,0.025832509454029123,0.9965244700625568,0.9989345286207657,0.9754247572815534,0.3333333333333333,0.6264591439688716,0.5067264573991032,0.6682692307692307,0.9785673998871969,0.8462837837837838,0.6179245283018868,0.9882417083144025,0.9822792545065689,1.0,0.8518518518518519,0.8862745098039215,0.8723849372384938,0.9796725014116319,0.9881656804733728,0.6093023255813953
7,0.8419544832293457,0.7711397475375734,0.7393984324156836,0.6988999126875988,0.6412285797362781,0.0288531249272012,0.9960771225143049,0.9986038650892791,0.96875,0.2716049382716049,0.3346303501945525,0.5269058295964125,0.6762820512820513,0.9830795262267343,0.7787162162162162,0.7641509433962265,0.9859793590045889,0.9740695546064674,0.88,0.8865979381443299,0.8834586466165414,0.793233082706767,0.9954311821816105,0.9684873949579832,0.9152542372881356
8,0.8465502237758837,0.7991304730164587,0.7775788167296258,0.7368419395445716,0.7091856524671301,0.0324685232313605,0.9958002150598233,0.9970056580204276,0.9714805825242718,0.6172839506172839,0.2840466926070039,0.6210762331838565,0.6602564102564102,0.9334461364918217,0.7871621621621622,0.8867924528301887,0.9863334847796457,0.976070720926688,0.8771929824561403,0.9358974358974359,0.8523076923076923,0.8207171314741036,0.9723854289071681,0.8978805394990366,0.7704918032786885
9,0.8457548751424705,0.7840523346806771,0.7547644292773921,0.7138613508778904,0.6423014396399509,0.02529759473437053,0.9967519374783299,0.9975567639062385,0.990746359223301,0.15384615384615385,0.5252918287937743,0.7107623318385651,0.7131410256410257,0.9734912577552172,0.8006756756756757,0.589622641509434,0.9896484481784549,0.9682727946627131,0.631578947368421,0.9183673469387755,0.9462686567164179,0.8105646630236795,0.9965357967667436,0.9854469854469855,0.9541984732824428
std,0.016445996695474325,0.01929726753286514,0.021416351185032757,0.021516017251384835,0.03646770574249042,0.003302687905535195,0.00045413839997042487,0.0006856391188371411,0.009161616674809348,0.12570945055157282,0.14337927435707,0.10933246749888949,0.057967869325135556,0.015561215134091382,0.04770696137486732,0.09533087720196122,0.0023340724482211798,0.00446767996257379,0.15493315751889133,0.034351297412330326,0.06983537482248138,0.047033546131523905,0.0069784191913949255,0.03256390638697151,0.1044065220428588
mean,0.8456600031159116,0.7869210420521449,0.7594881364709527,0.7210481135147108,0.6744291515114142,0.028414013000271642,0.9962454760099316,0.9978433389668604,0.9750910194174758,0.3378917378917379,0.45252918287937743,0.5869955156950672,0.6822115384615385,0.9705019740552736,0.8013513513513514,0.7193396226415094,0.9875731562025388,0.9755045384106786,0.8208815356000063,0.8833000647912337,0.8836845248730436,0.7903847826169133,0.9867368424100562,0.9577343212035743,0.877494075559292
