,AvF0.5,AvF1,AvF1.5,CBA,mGM,CEN,AvACC,Recall_0,Recall_1,Recall_2,Recall_3,Recall_4,Precision_0,Precision_1,Precision_2,Precision_3,Precision_4
0,0.858205664,0.812640948,0.797118318,0.778632351,0.650131372,0.022155708,0.996683513,0.99655495,0.996211379,0.785929648,0.96757035,0.153846154,0.989604223,0.996840821,0.88261851,0.992432242,0.888888889
1,0.858205664,0.812640948,0.797118318,0.778632351,0.650131372,0.022155708,0.996683513,0.99655495,0.996211379,0.785929648,0.96757035,0.153846154,0.989604223,0.996840821,0.88261851,0.992432242,0.888888889
2,0.858205664,0.812640948,0.797118318,0.778632351,0.650131372,0.022155708,0.996683513,0.99655495,0.996211379,0.785929648,0.96757035,0.153846154,0.989604223,0.996840821,0.88261851,0.992432242,0.888888889
3,0.858205664,0.812640948,0.797118318,0.778632351,0.650131372,0.022155708,0.996683513,0.99655495,0.996211379,0.785929648,0.96757035,0.153846154,0.989604223,0.996840821,0.88261851,0.992432242,0.888888889
4,0.858205664,0.812640948,0.797118318,0.778632351,0.650131372,0.022155708,0.996683513,0.99655495,0.996211379,0.785929648,0.96757035,0.153846154,0.989604223,0.996840821,0.88261851,0.992432242,0.888888889
5,0.858205664,0.812640948,0.797118318,0.778632351,0.650131372,0.022155708,0.996683513,0.99655495,0.996211379,0.785929648,0.96757035,0.153846154,0.989604223,0.996840821,0.88261851,0.992432242,0.888888889
6,0.858205664,0.812640948,0.797118318,0.778632351,0.650131372,0.022155708,0.996683513,0.99655495,0.996211379,0.785929648,0.96757035,0.153846154,0.989604223,0.996840821,0.88261851,0.992432242,0.888888889
7,0.858205664,0.812640948,0.797118318,0.778632351,0.650131372,0.022155708,0.996683513,0.99655495,0.996211379,0.785929648,0.96757035,0.153846154,0.989604223,0.996840821,0.88261851,0.992432242,0.888888889
8,0.858205664,0.812640948,0.797118318,0.778632351,0.650131372,0.022155708,0.996683513,0.99655495,0.996211379,0.785929648,0.96757035,0.153846154,0.989604223,0.996840821,0.88261851,0.992432242,0.888888889
9,0.858205664,0.812640948,0.797118318,0.778632351,0.650131372,0.022155708,0.996683513,0.99655495,0.996211379,0.785929648,0.96757035,0.153846154,0.989604223,0.996840821,0.88261851,0.992432242,0.888888889
std,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mean,0.858205664,0.812640948,0.797118318,0.778632351,0.650131372,0.022155708,0.996683513,0.99655495,0.996211379,0.785929648,0.96757035,0.153846154,0.989604223,0.996840821,0.88261851,0.992432242,0.888888889
