,AvF0.5,AvF1,AvF1.5,CBA,mGM,CEN,AvACC,Recall_0,Recall_1,Recall_2,Recall_3,Recall_4,Precision_0,Precision_1,Precision_2,Precision_3,Precision_4
0,0.7994696730395401,0.7867104539897255,0.781981053437782,0.7448329696062813,0.7321352427553912,0.043485618161403755,0.9926484512642506,0.9910606893069807,0.9927711368040586,0.6381909547738693,0.9168668496911462,0.36538461538461536,0.9865194448139772,0.9782865234835969,0.9110473457675753,0.9783942140437609,0.20430107526881722
1,0.850366018311172,0.8030394898166051,0.7812152115336821,0.7496773747863951,0.6678662830488569,0.04044729388365979,0.9931881619017785,0.9939860119091813,0.9929670999629847,0.6381909547738693,0.9141214824982842,0.23076923076923078,0.9855853468203837,0.9797198590702071,0.9149855907780979,0.9870310328855951,0.631578947368421
2,0.8308239822005404,0.7997955435799532,0.7840279969070376,0.7596302422331564,0.668817654952831,0.0409117251889466,0.9932886508683968,0.9912388815467087,0.9937727262830144,0.6944723618090453,0.9247597803706246,0.21153846153846154,0.9886111193388821,0.9787694881087688,0.9080157687253614,0.976889613920609,0.44
3,0.7597946382530743,0.745628196160704,0.739479687884135,0.7277110711284973,0.4179234780155798,0.04131938620952453,0.9931617678068883,0.9908824970672527,0.993707405230039,0.7306532663316583,0.9214996568291008,0.019230769230769232,0.9885924235914606,0.9785792396594978,0.805094130675526,0.9827980602067893,0.2
4,0.8064609368074759,0.7687858845089693,0.7529077751494969,0.7292633373769686,0.5438087779522437,0.03898951210202952,0.993559122395086,0.9927535155843963,0.9938162736516646,0.6773869346733669,0.9251029512697323,0.07692307692307693,0.9881753011602986,0.9787284228583681,0.9245541838134431,0.9851987208771128,0.4444444444444444
5,0.8396058377185561,0.8095600597881729,0.7935537328010933,0.768137904045379,0.6989986175937143,0.040851332635363787,0.9932468342240082,0.9913873750798152,0.9939033683889651,0.6814070351758794,0.9231297185998627,0.2692307692307692,0.9884225331260641,0.9784994640943194,0.9262295081967213,0.9768497503404449,0.45161290322580644
6,0.7796179583071574,0.7653643514559783,0.7583367910778344,0.7319305228520849,0.647891953349164,0.04158355802181454,0.9930154642343434,0.9912388815467087,0.9937727262830144,0.6542713567839196,0.9210706932052162,0.19230769230769232,0.9875580672840785,0.9791054381636812,0.8930041152263375,0.9804566210045662,0.11764705882352941
7,0.7909852184068499,0.7748950841352196,0.765586985619224,0.7485335696846095,0.6588568074702423,0.047436348631946686,0.9919618254005892,0.989367863029565,0.991791321009428,0.6562814070351759,0.9113761153054221,0.21153846153846154,0.9850382175963571,0.9784336469476307,0.8371794871794872,0.9696942035600182,0.24444444444444444
8,0.8421443795724348,0.7992367175704469,0.7799015553598891,0.7517950851618582,0.6530948055026773,0.04008684862282391,0.9933496886188877,0.992367432398319,0.9943170683911424,0.6814070351758794,0.9189258750857927,0.19230769230769232,0.9882876621167981,0.9780471611231286,0.9125168236877523,0.9825704063847354,0.5882352941176471
9,0.7973150276969801,0.7901571632373141,0.7875057826819377,0.7577835632531362,0.7261022624372568,0.04157406640166083,0.993094509297489,0.9903033722881368,0.993707405230039,0.7226130653266332,0.9224433768016472,0.3076923076923077,0.9887617127268414,0.9773218836327815,0.892059553349876,0.9835345773874863,0.17777777777777778
std,0.028392223062577892,0.019172317492208886,0.016566572962602718,0.012936459268815348,0.08951334147690325,0.002216267621932626,0.0004271786243624336,0.0012324032891806085,0.0006983924096818807,0.030429034046070957,0.004332498623785435,0.09607689228305227,0.0012887235287407054,0.0006003804761818066,0.03789030481433184,0.004804360825627323,0.1737544903171904
mean,0.8096583670313782,0.7843172944243089,0.7724496572452113,0.7469295640128367,0.6415495883077957,0.04166856898591739,0.9930514476011718,0.9914586519757064,0.9934526531234349,0.6774874371859296,0.9199296499656828,0.20769230769230768,0.9875551828575142,0.9785491127141979,0.8924686507400177,0.9803417200611116,0.35000419454708875
