,AvF0.5,AvF1,AvF1.5,CBA,mGM,CEN,AvACC,Recall_0,Recall_1,Recall_2,Recall_3,Recall_4,Precision_0,Precision_1,Precision_2,Precision_3,Precision_4
0,0.904886684659964,0.8567632133958458,0.8366174708909255,0.8115157540693303,0.7421168504829425,0.016005802264145528,0.9977054671270584,0.9981883788960991,0.997191194722059,0.8,0.9799245024021963,0.28846153846153844,0.9920015347608577,0.9987133916305035,0.9521531100478469,0.9932173913043478,0.8823529411764706
1,0.9025460524036146,0.8526418249666532,0.8333671280206207,0.8104085973426736,0.7268013683366571,0.016227850827195515,0.9977277133449147,0.9976538021769152,0.9975831210399112,0.8321608040201005,0.9794955387783116,0.25,0.9928035228750444,0.9979959919839679,0.9583333333333334,0.9914893617021276,0.9285714285714286
2,0.890794221592788,0.8458140188811945,0.8286180258313213,0.8082608766821844,0.7166098329516832,0.01649546043921023,0.9977021337464663,0.997356815110702,0.9973218368280097,0.8391959798994975,0.9810398078242965,0.23076923076923078,0.9929775280898876,0.9979954680146418,0.9392575928008999,0.9914166811166985,0.8571428571428571
3,0.89459803928426,0.8500917106765211,0.8318407216540367,0.8093002812501167,0.725925398804133,0.017082943849814174,0.9975971165813119,0.9974607605838766,0.9968428157728569,0.8271356783919598,0.9804392587508579,0.25,0.9920836533349088,0.997994506692244,0.9625730994152046,0.9920138888888889,0.8125
4,0.8693776335755595,0.8246787594311964,0.8084580256136569,0.7888734963719097,0.6578237546903399,0.01589985166379054,0.9977405870815854,0.9980398853629925,0.9970605526161082,0.8201005025125628,0.9811256005490734,0.15384615384615385,0.9922346723356511,0.998865718523689,0.9634002361275088,0.9914174252275683,0.8
5,0.8860700916955213,0.8374250342479537,0.819916056266212,0.7994204727155736,0.6900469517141274,0.015207841008050959,0.9978711317399647,0.9979210905365071,0.9979532736734383,0.8331658291457287,0.9805250514756348,0.19230769230769232,0.9931722456218134,0.9979315450269988,0.9528735632183908,0.9939125141316636,0.9090909090909091
6,0.8743407184394603,0.8276107348445629,0.8101967252846535,0.7891229315983738,0.670638265822926,0.017263395540134552,0.9975079087349681,0.9974904592904978,0.9975395736712609,0.8060301507537688,0.9772649279341112,0.17307692307692307,0.9917030825558049,0.9983873779637378,0.9593301435406698,0.9903495044340115,0.8181818181818182
7,0.8775158875604561,0.8330331718088292,0.8168358389556406,0.7975263193018578,0.6773864540696825,0.016155060541293426,0.9977404234921969,0.9978468437699538,0.9978226315674875,0.8472361809045226,0.9768359643102265,0.17307692307692307,0.9927902372721095,0.9976922909455076,0.9634285714285714,0.992849668643181,0.8181818181818182
8,0.8930482213014217,0.8531285909091398,0.8362835356525883,0.8153938229064981,0.7386101044642501,0.017486771571262456,0.9975743691816394,0.9972380202842166,0.9969081368258323,0.8381909547738694,0.9798387096774194,0.2692307692307692,0.9928005440245994,0.9974945533769063,0.9445073612684032,0.9907182512144345,0.7777777777777778
9,0.901235988483424,0.8612627673320266,0.8436661050993829,0.8212734574424436,0.7570721940744404,0.016251935445915636,0.9977181529296668,0.9977577476500898,0.9973218368280097,0.8291457286432161,0.9796671242278655,0.3076923076923077,0.9925402898208192,0.9981259533667466,0.9428571428571428,0.9937342267861805,0.8
std,0.011726039990321192,0.01210014192494893,0.011405756127863285,0.010357137674504715,0.03221485871105917,0.000658771189758682,9.779784689251602e-05,0.00029361193388981904,0.00035220238437075433,0.014030453121966754,0.001386660992464972,0.05047847980156418,0.000455455574881449,0.000404475425755397,0.008567818787269204,0.001185396504566832,0.04846088964450633
mean,0.8894413538996471,0.8442449826493924,0.8265799633269039,0.8051096009680961,0.7103031175411182,0.016407691315081303,0.9976885003959772,0.997695380366185,0.9973544973544973,0.8272361809045226,0.9796156485929993,0.22884615384615384,0.9925107310691497,0.9981196797524945,0.953871415403797,0.9921118913449103,0.8403799550123081
