,AvF0.5,AvF1,AvF1.5,CBA,mGM,CEN,AvACC,Recall_0,Recall_1,Recall_2,Recall_3,Recall_4,Precision_0,Precision_1,Precision_2,Precision_3,Precision_4
0,0.7564762377624726,0.7423154620939612,0.7344697795541478,0.72228515338739,0.0,0.028218606597769053,0.995619612251404,0.9931395987704735,0.9960589631371525,0.6572864321608041,0.9710878517501715,0.0,0.9898471147157636,0.9932043683102109,0.8790322580645161,0.9755235714901319,0.0
1,0.7609437864895077,0.7500059186945022,0.7436625534638593,0.7331582149899005,0.0,0.028282709708973487,0.9956174314695083,0.9935850793697935,0.9964291157706796,0.7206030150753768,0.9615648592999314,0.0,0.9892077290400793,0.9944154715341156,0.8873762376237624,0.9742698191933241,0.0
2,0.7909026145572563,0.7560104214922738,0.7414557166722504,0.7214572936115483,0.47006691084493796,0.02663945139680966,0.9957773034217515,0.9960055239594315,0.9962549262960786,0.6261306532663317,0.9604495538778312,0.038461538461538464,0.9872679904031558,0.9949767320488845,0.9368421052631579,0.9839163297591844,0.4
3,0.7721282184582965,0.7523804944419893,0.744858244421259,0.7342258885414104,0.4187321886772384,0.029688327388641696,0.9954371213000567,0.9919664998589311,0.9954275262917238,0.6974874371859296,0.971945778997941,0.019230769230769232,0.9900846289516978,0.9923808283407137,0.8484107579462102,0.9753766681015927,1.0
4,0.7744155578440715,0.7591187137365116,0.7527628728082051,0.7438169509895418,0.42423644183423936,0.02861782090941106,0.9956170886443992,0.9931247494171629,0.9951226947111721,0.7477386934673367,0.9669698009608785,0.019230769230769232,0.9900227965775528,0.9952960648097737,0.8732394366197183,0.9679663345929234,0.25
5,0.7742621561541864,0.7645805609636461,0.7588312044290457,0.7490330489094129,0.0,0.026557761168724155,0.9960660448444381,0.9950106172876171,0.9953186578700982,0.7979899497487437,0.9631091283459162,0.0,0.9893106553867506,0.9947555110656541,0.9407582938388626,0.9814652911348137,0.0
6,0.7825487295975689,0.7696275654460983,0.7639972973642462,0.7556629441558315,0.4307172514136876,0.023962881406488563,0.9964964374629796,0.9958867291329463,0.9944041631284429,0.8,0.9729752916952642,0.019230769230769232,0.991704496724681,0.9959003881547386,0.9055745164960182,0.9774196328535724,0.16666666666666666
7,0.8048452830248161,0.7741969555081349,0.7631891054136191,0.7482087808789696,0.5272136307096867,0.029040086506352276,0.9955341942771033,0.9937484222562107,0.9963855684020293,0.7457286432160805,0.9561599176389842,0.057692307692307696,0.9884935229907977,0.9929695128566779,0.888622754491018,0.9821979377809112,0.6
8,0.8151079324210612,0.7876249648460472,0.779637263147908,0.7705130129899198,0.5708912426008992,0.025029124901253644,0.9962893516099834,0.9945799860416079,0.9962331526117534,0.8241206030150754,0.9654255319148937,0.07692307692307693,0.9909893914510187,0.9951064616455338,0.8506224066390041,0.9839118649995628,0.6666666666666666
9,0.8672002470211717,0.826603660095633,0.811439592142874,0.7939104432973786,0.6857533096637011,0.02827645005424014,0.9957188165976925,0.992723816877775,0.9956234894506499,0.8291457286432161,0.9622512010981469,0.19230769230769232,0.9902241049871876,0.995927079476401,0.9269662921348315,0.9632428718653384,0.7692307692307693
std,0.03105628694920598,0.023068903681537824,0.02144800054573742,0.0211228186182407,0.2432114637781802,0.0017418293357935254,0.0003318177603686267,0.0012821829732827797,0.0006288072656979344,0.06622414005742389,0.005238142944049189,0.05560320113384985,0.0011828295364145066,0.0011751742977533684,0.03151141854577586,0.006508912981963135,0.34091247881487535
mean,0.7898830763330411,0.7682464717318797,0.7594303629417414,0.7472271731751304,0.352761097574439,0.027431322003866377,0.9958173401879316,0.993977102297195,0.9957258257669779,0.7446231155778895,0.9651938915579958,0.04230769230769231,0.9897152431228685,0.9944932418242702,0.89374450591171,0.9765290321771355,0.3852564102564102
