,AvF0.5,AvF1,AvF1.5,CBA,mGM,CEN,AvACC,Recall_0,Recall_1,Recall_2,Recall_3,Recall_4,Recall_5,Recall_6,Recall_7,Recall_8,Recall_9,Recall_10,Precision_0,Precision_1,Precision_2,Precision_3,Precision_4,Precision_5,Precision_6,Precision_7,Precision_8,Precision_9,Precision_10
0,0.921721804,0.934307238,0.945020887,0.900972962,0.968628739,0.053980003,0.989259844,0.975219824,0.932291667,0.981182796,0.937315867,0.939882805,0.979663668,0.998761354,0.985679214,0.970563847,0.982590234,0.974307507,0.920060332,0.972826087,0.719433323,0.50907922,0.995594215,0.994837172,0.999586777,0.984068627,0.993633277,0.995268817,0.984584178
1,0.921721804,0.934307238,0.945020887,0.900972962,0.968628739,0.053980003,0.989259844,0.975219824,0.932291667,0.981182796,0.937315867,0.939882805,0.979663668,0.998761354,0.985679214,0.970563847,0.982590234,0.974307507,0.920060332,0.972826087,0.719433323,0.50907922,0.995594215,0.994837172,0.999586777,0.984068627,0.993633277,0.995268817,0.984584178
2,0.921721804,0.934307238,0.945020887,0.900972962,0.968628739,0.053980003,0.989259844,0.975219824,0.932291667,0.981182796,0.937315867,0.939882805,0.979663668,0.998761354,0.985679214,0.970563847,0.982590234,0.974307507,0.920060332,0.972826087,0.719433323,0.50907922,0.995594215,0.994837172,0.999586777,0.984068627,0.993633277,0.995268817,0.984584178
3,0.921721804,0.934307238,0.945020887,0.900972962,0.968628739,0.053980003,0.989259844,0.975219824,0.932291667,0.981182796,0.937315867,0.939882805,0.979663668,0.998761354,0.985679214,0.970563847,0.982590234,0.974307507,0.920060332,0.972826087,0.719433323,0.50907922,0.995594215,0.994837172,0.999586777,0.984068627,0.993633277,0.995268817,0.984584178
4,0.921721804,0.934307238,0.945020887,0.900972962,0.968628739,0.053980003,0.989259844,0.975219824,0.932291667,0.981182796,0.937315867,0.939882805,0.979663668,0.998761354,0.985679214,0.970563847,0.982590234,0.974307507,0.920060332,0.972826087,0.719433323,0.50907922,0.995594215,0.994837172,0.999586777,0.984068627,0.993633277,0.995268817,0.984584178
5,0.921721804,0.934307238,0.945020887,0.900972962,0.968628739,0.053980003,0.989259844,0.975219824,0.932291667,0.981182796,0.937315867,0.939882805,0.979663668,0.998761354,0.985679214,0.970563847,0.982590234,0.974307507,0.920060332,0.972826087,0.719433323,0.50907922,0.995594215,0.994837172,0.999586777,0.984068627,0.993633277,0.995268817,0.984584178
6,0.921721804,0.934307238,0.945020887,0.900972962,0.968628739,0.053980003,0.989259844,0.975219824,0.932291667,0.981182796,0.937315867,0.939882805,0.979663668,0.998761354,0.985679214,0.970563847,0.982590234,0.974307507,0.920060332,0.972826087,0.719433323,0.50907922,0.995594215,0.994837172,0.999586777,0.984068627,0.993633277,0.995268817,0.984584178
7,0.921721804,0.934307238,0.945020887,0.900972962,0.968628739,0.053980003,0.989259844,0.975219824,0.932291667,0.981182796,0.937315867,0.939882805,0.979663668,0.998761354,0.985679214,0.970563847,0.982590234,0.974307507,0.920060332,0.972826087,0.719433323,0.50907922,0.995594215,0.994837172,0.999586777,0.984068627,0.993633277,0.995268817,0.984584178
8,0.921721804,0.934307238,0.945020887,0.900972962,0.968628739,0.053980003,0.989259844,0.975219824,0.932291667,0.981182796,0.937315867,0.939882805,0.979663668,0.998761354,0.985679214,0.970563847,0.982590234,0.974307507,0.920060332,0.972826087,0.719433323,0.50907922,0.995594215,0.994837172,0.999586777,0.984068627,0.993633277,0.995268817,0.984584178
9,0.921721804,0.934307238,0.945020887,0.900972962,0.968628739,0.053980003,0.989259844,0.975219824,0.932291667,0.981182796,0.937315867,0.939882805,0.979663668,0.998761354,0.985679214,0.970563847,0.982590234,0.974307507,0.920060332,0.972826087,0.719433323,0.50907922,0.995594215,0.994837172,0.999586777,0.984068627,0.993633277,0.995268817,0.984584178
std,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mean,0.921721804,0.934307238,0.945020887,0.900972962,0.968628739,0.053980003,0.989259844,0.975219824,0.932291667,0.981182796,0.937315867,0.939882805,0.979663668,0.998761354,0.985679214,0.970563847,0.982590234,0.974307507,0.920060332,0.972826087,0.719433323,0.50907922,0.995594215,0.994837172,0.999586777,0.984068627,0.993633277,0.995268817,0.984584178
