,AvF0.5,AvF1,AvF1.5,CBA,mGM,CEN,AvACC,Recall_0,Recall_1,Recall_2,Recall_3,Recall_4,Recall_5,Recall_6,Recall_7,Recall_8,Recall_9,Recall_10,Recall_11,Recall_12,Precision_0,Precision_1,Precision_2,Precision_3,Precision_4,Precision_5,Precision_6,Precision_7,Precision_8,Precision_9,Precision_10,Precision_11,Precision_12
0,0.845183513,0.811434262,0.796543708,0.772233114,0.702482131,0.02288924,0.997906369,0.994743578,0.970787084,0.930571924,0.915351718,0.159090909,0.945381794,0.987037926,0.830188679,0.284330986,0.85581934,0.649606299,0.75483871,0.838709677,0.994065191,0.954430463,0.956907613,0.957279457,0.558282209,0.931610077,0.994403372,0.876494024,0.801488834,0.80919792,0.6875,0.975,1
1,0.845183513,0.811434262,0.796543708,0.772233114,0.702482131,0.02288924,0.997906369,0.994743578,0.970787084,0.930571924,0.915351718,0.159090909,0.945381794,0.987037926,0.830188679,0.284330986,0.85581934,0.649606299,0.75483871,0.838709677,0.994065191,0.954430463,0.956907613,0.957279457,0.558282209,0.931610077,0.994403372,0.876494024,0.801488834,0.80919792,0.6875,0.975,1
2,0.845183513,0.811434262,0.796543708,0.772233114,0.702482131,0.02288924,0.997906369,0.994743578,0.970787084,0.930571924,0.915351718,0.159090909,0.945381794,0.987037926,0.830188679,0.284330986,0.85581934,0.649606299,0.75483871,0.838709677,0.994065191,0.954430463,0.956907613,0.957279457,0.558282209,0.931610077,0.994403372,0.876494024,0.801488834,0.80919792,0.6875,0.975,1
3,0.845183513,0.811434262,0.796543708,0.772233114,0.702482131,0.02288924,0.997906369,0.994743578,0.970787084,0.930571924,0.915351718,0.159090909,0.945381794,0.987037926,0.830188679,0.284330986,0.85581934,0.649606299,0.75483871,0.838709677,0.994065191,0.954430463,0.956907613,0.957279457,0.558282209,0.931610077,0.994403372,0.876494024,0.801488834,0.80919792,0.6875,0.975,1
4,0.845183513,0.811434262,0.796543708,0.772233114,0.702482131,0.02288924,0.997906369,0.994743578,0.970787084,0.930571924,0.915351718,0.159090909,0.945381794,0.987037926,0.830188679,0.284330986,0.85581934,0.649606299,0.75483871,0.838709677,0.994065191,0.954430463,0.956907613,0.957279457,0.558282209,0.931610077,0.994403372,0.876494024,0.801488834,0.80919792,0.6875,0.975,1
5,0.845183513,0.811434262,0.796543708,0.772233114,0.702482131,0.02288924,0.997906369,0.994743578,0.970787084,0.930571924,0.915351718,0.159090909,0.945381794,0.987037926,0.830188679,0.284330986,0.85581934,0.649606299,0.75483871,0.838709677,0.994065191,0.954430463,0.956907613,0.957279457,0.558282209,0.931610077,0.994403372,0.876494024,0.801488834,0.80919792,0.6875,0.975,1
6,0.845183513,0.811434262,0.796543708,0.772233114,0.702482131,0.02288924,0.997906369,0.994743578,0.970787084,0.930571924,0.915351718,0.159090909,0.945381794,0.987037926,0.830188679,0.284330986,0.85581934,0.649606299,0.75483871,0.838709677,0.994065191,0.954430463,0.956907613,0.957279457,0.558282209,0.931610077,0.994403372,0.876494024,0.801488834,0.80919792,0.6875,0.975,1
7,0.845183513,0.811434262,0.796543708,0.772233114,0.702482131,0.02288924,0.997906369,0.994743578,0.970787084,0.930571924,0.915351718,0.159090909,0.945381794,0.987037926,0.830188679,0.284330986,0.85581934,0.649606299,0.75483871,0.838709677,0.994065191,0.954430463,0.956907613,0.957279457,0.558282209,0.931610077,0.994403372,0.876494024,0.801488834,0.80919792,0.6875,0.975,1
8,0.845183513,0.811434262,0.796543708,0.772233114,0.702482131,0.02288924,0.997906369,0.994743578,0.970787084,0.930571924,0.915351718,0.159090909,0.945381794,0.987037926,0.830188679,0.284330986,0.85581934,0.649606299,0.75483871,0.838709677,0.994065191,0.954430463,0.956907613,0.957279457,0.558282209,0.931610077,0.994403372,0.876494024,0.801488834,0.80919792,0.6875,0.975,1
9,0.845183513,0.811434262,0.796543708,0.772233114,0.702482131,0.02288924,0.997906369,0.994743578,0.970787084,0.930571924,0.915351718,0.159090909,0.945381794,0.987037926,0.830188679,0.284330986,0.85581934,0.649606299,0.75483871,0.838709677,0.994065191,0.954430463,0.956907613,0.957279457,0.558282209,0.931610077,0.994403372,0.876494024,0.801488834,0.80919792,0.6875,0.975,1
std,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mean,0.845183513,0.811434262,0.796543708,0.772233114,0.702482131,0.02288924,0.997906369,0.994743578,0.970787084,0.930571924,0.915351718,0.159090909,0.945381794,0.987037926,0.830188679,0.284330986,0.85581934,0.649606299,0.75483871,0.838709677,0.994065191,0.954430463,0.956907613,0.957279457,0.558282209,0.931610077,0.994403372,0.876494024,0.801488834,0.80919792,0.6875,0.975,1
