,AvF0.5,AvF1,AvF1.5,CBA,mGM,CEN,AvACC,Recall_0,Recall_1,Recall_2,Recall_3,Recall_4,Precision_0,Precision_1,Precision_2,Precision_3,Precision_4
0,0.968904109,0.969787606,0.9703957,0.961609324,0.971166196,0.034039448,0.994429814,0.99901456,0.966160373,0.934017139,0.966386555,0.991610286,0.999579545,0.981959896,0.951398625,0.928667564,0.980186984
1,0.968904109,0.969787606,0.9703957,0.961609324,0.971166196,0.034039448,0.994429814,0.99901456,0.966160373,0.934017139,0.966386555,0.991610286,0.999579545,0.981959896,0.951398625,0.928667564,0.980186984
2,0.968904109,0.969787606,0.9703957,0.961609324,0.971166196,0.034039448,0.994429814,0.99901456,0.966160373,0.934017139,0.966386555,0.991610286,0.999579545,0.981959896,0.951398625,0.928667564,0.980186984
3,0.968904109,0.969787606,0.9703957,0.961609324,0.971166196,0.034039448,0.994429814,0.99901456,0.966160373,0.934017139,0.966386555,0.991610286,0.999579545,0.981959896,0.951398625,0.928667564,0.980186984
4,0.968904109,0.969787606,0.9703957,0.961609324,0.971166196,0.034039448,0.994429814,0.99901456,0.966160373,0.934017139,0.966386555,0.991610286,0.999579545,0.981959896,0.951398625,0.928667564,0.980186984
5,0.968904109,0.969787606,0.9703957,0.961609324,0.971166196,0.034039448,0.994429814,0.99901456,0.966160373,0.934017139,0.966386555,0.991610286,0.999579545,0.981959896,0.951398625,0.928667564,0.980186984
6,0.968904109,0.969787606,0.9703957,0.961609324,0.971166196,0.034039448,0.994429814,0.99901456,0.966160373,0.934017139,0.966386555,0.991610286,0.999579545,0.981959896,0.951398625,0.928667564,0.980186984
7,0.968904109,0.969787606,0.9703957,0.961609324,0.971166196,0.034039448,0.994429814,0.99901456,0.966160373,0.934017139,0.966386555,0.991610286,0.999579545,0.981959896,0.951398625,0.928667564,0.980186984
8,0.968904109,0.969787606,0.9703957,0.961609324,0.971166196,0.034039448,0.994429814,0.99901456,0.966160373,0.934017139,0.966386555,0.991610286,0.999579545,0.981959896,0.951398625,0.928667564,0.980186984
9,0.968904109,0.969787606,0.9703957,0.961609324,0.971166196,0.034039448,0.994429814,0.99901456,0.966160373,0.934017139,0.966386555,0.991610286,0.999579545,0.981959896,0.951398625,0.928667564,0.980186984
std,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mean,0.968904109,0.969787606,0.9703957,0.961609324,0.971166196,0.034039448,0.994429814,0.99901456,0.966160373,0.934017139,0.966386555,0.991610286,0.999579545,0.981959896,0.951398625,0.928667564,0.980186984
