,AvF0.5,AvF1,AvF1.5,CBA,mGM,CEN,AvACC,Recall_0,Recall_1,Recall_2,Recall_3,Recall_4,Precision_0,Precision_1,Precision_2,Precision_3,Precision_4
0,0.8951419547367516,0.9127827048278243,0.927633734242964,0.8742393771398034,0.9597852265586048,0.038873615805638334,0.993256228345358,0.9981001420454545,0.9853361615788988,0.9161573626517672,0.9229691876750701,0.9793873404737953,0.9992563601942351,0.9409070893879349,0.9613823933975241,0.5366449511400652,0.9921338510826778
1,0.9064592650343284,0.918225112913872,0.9272780820469022,0.8878959257583631,0.9431834707975842,0.03888067342269104,0.993260442297316,0.9985736268939394,0.9851020509509858,0.9141747636447052,0.8473389355742297,0.9795648657711502,0.9992507943652629,0.9403459110978681,0.9613018832164579,0.6068204613841525,0.9918611502241929
2,0.9068743269050537,0.9215748462931448,0.9332925542806538,0.8857945757936097,0.9565172963658326,0.04210272237777482,0.9925062130122383,0.9989968039772728,0.9829028299008932,0.9079648047713457,0.9201680672268907,0.9760077848130395,0.9992363226270502,0.9348406947087162,0.9597824580850769,0.6111627906976744,0.9897782963827304
3,0.910966871701889,0.9241110428863635,0.9342906400350206,0.8919530603852527,0.9534642545420077,0.039783214465928064,0.9930267706890298,0.9987926136363636,0.9838605551969012,0.9111599023447101,0.8991596638655462,0.9787725769440664,0.9994314547651197,0.9397717724229528,0.9568950683140035,0.6312684365781711,0.9910985056541467
4,0.8930530398825803,0.9096327662961754,0.923320370508474,0.8739967326218038,0.9517741049796609,0.040575229481788,0.9929739063428963,0.9983250473484848,0.9837115757064111,0.9156658091789418,0.8879551820728291,0.9781413758868046,0.9988541515540015,0.9428303336483739,0.9541077648022946,0.5350210970464135,0.9909937815792191
5,0.905064340664854,0.9204115161480543,0.9328199403291657,0.8843782039996952,0.9579468458580501,0.03867273496219416,0.9932733348691911,0.9985085227272728,0.9839882519030356,0.9112582130392751,0.9187675070028011,0.9806596051048385,0.9992359494660531,0.9404736881360989,0.961864406779661,0.590990990990991,0.9919460230579175
6,0.9074902770632629,0.9212034611245652,0.9321871945704349,0.8860175115110834,0.9537491638472296,0.03986426472329786,0.9930528759405108,0.9982185132575757,0.9844990387275733,0.9018040012452688,0.907563025210084,0.981162593447344,0.9992298076296441,0.9404517453798767,0.9625561832141171,0.6084507042253521,0.9901434197124971
7,0.9361363984009087,0.9428650663354989,0.9476032871285716,0.9215717373874895,0.9551351719651496,0.03912362402086893,0.9931665206480502,0.9990767045454545,0.9848963173688803,0.9175828677229605,0.9005602240896359,0.9776351000387926,0.999156537720521,0.9388652194495165,0.9548988848344303,0.7746987951807229,0.9926961247400414
8,0.9132017548932272,0.9266719191175108,0.9369981655720162,0.8961960105881379,0.9564172800806893,0.03935574275277033,0.9932544022426038,0.9988636363636364,0.9829808667768642,0.9185987449001327,0.9061624649859944,0.9791605025938418,0.9989079770941537,0.9443967338704181,0.9534361660515978,0.6399604352126608,0.9915837414397528
9,0.9225060918796417,0.9331972900960009,0.9412317028036572,0.9033331340664983,0.9556382055454804,0.039156506541365176,0.9931152520418589,0.9991270123106061,0.9855986492526195,0.9066703806262392,0.9117647058823529,0.9790717399451644,0.9990058024446608,0.938627012492146,0.9592282489989079,0.6932907348242812,0.9920388000239835
std,0.011877130341983533,0.00911653332924785,0.006710061488555741,0.013371390938839035,0.004315051598863788,0.0009844380436272412,0.00021987647939651148,0.00034859065885819914,0.0009014336092354267,0.005098605733829971,0.020950433558896534,0.0013970439834648826,0.00016982622183529,0.002415124162417796,0.003264399790160447,0.06718979605669227,0.000873409520322766
mean,0.9096894321162499,0.923067572603901,0.9336655671517861,0.8905376269251736,0.9543611020540288,0.03963883285543167,0.9930885946429054,0.998658262310606,0.9842876297363062,0.9121036850125348,0.9022408963585435,0.9789563485018837,0.9991565157860702,0.9401510200593902,0.9585453457694072,0.6228309397280485,0.991427369389716
