,AvF0.5,AvF1,AvF1.5,CBA,mGM,CEN,AvACC,Recall_0,Recall_1,Recall_2,Recall_3,Recall_4,Precision_0,Precision_1,Precision_2,Precision_3,Precision_4
0,0.9819670060460423,0.9814967730670145,0.9812670839974664,0.9697087629943326,0.9808760719424093,0.03897801844922813,0.9923542764018961,0.9931452675982072,0.9809296781883194,0.9798447297700806,0.9997477931904162,0.9514201259478217,0.981628664495114,0.9921639541892706,1.0,0.9547206165703276,0.9832647097888165
1,0.9796860374594205,0.9791527783957736,0.9788983526964165,0.9667705967038366,0.9784327407824674,0.04238295626962761,0.9913616147771089,0.9922225151595043,0.9742252681764004,0.9841743804120633,0.9997477931904162,0.9428094075311657,0.9853383950778898,0.9910578963322219,1.0,0.9473055323216633,0.9769609801571447
2,0.9810509728117621,0.980644546709731,0.9804230383007011,0.9718352495850645,0.980055843716151,0.04137419528857502,0.9921014518302875,0.9868178223042446,0.9731823599523242,0.9771573604060914,0.9997477931904162,0.9637578717388511,0.9790740256343186,0.9849215922798552,1.0,0.9660046301937371,0.9768138595805653
3,0.9793227447325681,0.9787985797570637,0.9785219434411683,0.9676765719898601,0.9780547204714327,0.044933879430739114,0.9913242426372451,0.9910361191668864,0.9706495828367103,0.9732756046581069,0.9997477931904162,0.9561752988047809,0.9792887846815163,0.986822175098455,1.0,0.9589935889681868,0.9735671290238157
4,0.9828402259950654,0.9823622482957882,0.9820929553787939,0.9740713239893685,0.9816040401740764,0.037489237200850206,0.9929011024686819,0.988795148958608,0.9545589988081049,0.9867124514780532,0.9997477931904162,0.9787944994216682,0.9874934175882043,0.9869069624152803,1.0,0.9798541589420343,0.9617375931304457
5,0.98171222506068,0.9811714041791444,0.9808692131560367,0.9718941700802187,0.9803428885084714,0.039485163259698364,0.9923646948182105,0.9920906933825469,0.9576877234803337,0.9819349059420722,0.9997477931904162,0.9708263719316284,0.9837908496732026,0.9907521578298397,1.0,0.9720451201569397,0.9640122511485452
6,0.9848394475209579,0.9844995938024665,0.9843051261682592,0.9779677121805399,0.9839727939976081,0.03465048862456585,0.9936937458175459,0.9907724756129712,0.9719904648390941,0.9856673633920573,0.9997477931904162,0.9719830355995374,0.9864811655072844,0.9893842887473461,1.0,0.9737165315647262,0.9758709677419355
7,0.979215749179918,0.9786854557802563,0.9784369135280396,0.9662847746751198,0.9779792616240285,0.04350999789955891,0.9911609871318097,0.9907724756129712,0.9752681764004768,0.9840250821140639,0.9997477931904162,0.9411386711219638,0.984929891233128,0.9900181488203267,1.0,0.9460620525059665,0.9773121580141465
8,0.9735438638005762,0.972810152955908,0.9724554989344455,0.9575220429503041,0.9718469797536718,0.05307671780343885,0.9887762442753644,0.9873451094120749,0.9669249106078666,0.9690952523141236,0.9997477931904162,0.937283125562267,0.971843778383288,0.9858727024153122,1.0,0.9424631478839752,0.9705882352941176
9,0.9824889322820486,0.9822383029583579,0.9820955685217079,0.976810071032531,0.9818419812166493,0.03858148984107561,0.9928050386256173,0.9798312681254944,0.9707985697258641,0.9859659599880561,0.9997477931904162,0.9731396992674464,0.9868560807222517,0.9770580296896086,1.0,0.9743148580557945,0.9751448808757244
std,0.0028982084165160133,0.003001695228857818,0.003042478512127403,0.005646046412650408,0.003113518562238087,0.004822428933577971,0.0012815853045891027,0.003719640566864135,0.007604303082290658,0.005623236706804573,2.220446049250313e-16,0.014283968104175543,0.004598395331697123,0.004171585236666244,0.0,0.012791655797429342,0.006148303096476436
mean,0.980666720488904,0.9801859835901505,0.9799365694123034,0.9700541276181177,0.9795007322186965,0.04144621440673577,0.9918843398783768,0.9892828895333509,0.9696215733015496,0.9807853090474767,0.999747793190416,0.9587328106927131,0.9826725052996197,0.9874957907817518,1.0,0.9615480237163352,0.9735272764755256
