,AvF0.5,AvF1,AvF1.5,CBA,mGM,CEN,AvACC,Recall_0,Recall_1,Recall_2,Recall_3,Recall_4,Precision_0,Precision_1,Precision_2,Precision_3,Precision_4
0,0.9982549917878363,0.9982183153986334,0.9981951308793533,0.997384958211204,0.9981580157010975,0.00588618148217593,0.9992909762025924,0.9986817822304245,0.9971692491060786,0.9968647357420125,0.9997477931904162,0.9983292635907981,0.9968421052631579,0.9985081306877518,1.0,0.9984886649874055,0.9975600359573649
1,0.9975943286367294,0.9975265658899393,0.9974842194081047,0.9959706708656231,0.9974164487156914,0.007659573268542818,0.999017906180525,0.9989454257843395,0.9955303933253874,0.9949238578680203,0.9997477931904162,0.9979437090348284,0.9950105042016807,0.9988041853512706,1.0,0.998237219843868,0.9961513790891597
2,0.99812364935872,0.9980818006903224,0.9980553579096446,0.997138113185789,0.998012981994416,0.0062566568967183465,0.9992363824476932,0.9986817822304245,0.9965733015494637,0.9968647357420125,0.9997477931904162,0.9982007454054749,0.9968421052631579,0.9985072398865502,1.0,0.9983629265835537,0.9970474967907573
3,0.9981315811145853,0.9980968661373721,0.998074901790741,0.9973199909669044,0.9980395498450007,0.0061661269521786945,0.9992473405134481,0.9980226733456367,0.9965733015494637,0.997014034040012,0.9997477931904162,0.998843336332091,0.9969712931261522,0.9977625298329356,1.0,0.998991935483871,0.9970493906350224
4,0.997181341206953,0.9971499347406729,0.9971304647883826,0.9960420161724217,0.9970993662380409,0.008834738390606675,0.9988539184525808,0.9968362773530187,0.9971692491060786,0.9961182442520156,0.9997477931904162,0.9956303816990104,0.9961796864708207,0.9964269763287181,1.0,0.9958547921115438,0.9975534380633531
5,0.9983159282901564,0.9982908574288898,0.9982750942685421,0.997534628716123,0.9982499527106049,0.005697200623857382,0.9993127953838042,0.9985499604534669,0.9983611442193087,0.9971633323380114,0.9997477931904162,0.9974296362935355,0.9972353870458136,0.9983611442193087,1.0,0.9974836436839456,0.9985846628924344
6,0.9981107922453774,0.9980692237137699,0.9980429241541954,0.9971853068448429,0.9980005430077327,0.006259203378335888,0.9992255153523875,0.9988136040073821,0.9958283671036948,0.9980591221260078,0.9997477931904162,0.9975581544788588,0.9980242360379347,0.9986553115194979,1.0,0.9976091606895684,0.996405648267009
7,0.99758333013277,0.997520020479851,0.9974802425529357,0.9961362457717182,0.9974162198645107,0.0077261590618484715,0.9990070411387112,0.9989454257843395,0.9944874851013111,0.9968647357420125,0.9997477931904162,0.9970440817375659,0.9968429360694554,0.9988029328146042,1.0,0.9972327044025158,0.995253367543297
8,0.9984964671081885,0.998479614970271,0.9984689626021843,0.9980002466038357,0.9984517727032193,0.005046654534506485,0.9994001927942595,0.9977590297917216,0.9980631704410012,0.9974619289340102,0.9997477931904162,0.9992288908880607,0.9974960463890353,0.9974687313877308,1.0,0.999243761028485,0.9983307652799178
9,0.9980857474546113,0.9980414850592911,0.9980137263826764,0.9970117655293038,0.9979692009372673,0.006224135164499406,0.9992254841473557,0.9985499604534669,0.9974672228843862,0.9953717527620185,0.9997477931904162,0.9987148181467678,0.9956624605678234,0.9983596779003877,1.0,0.998740236835475,0.9978171545968156
std,0.00038346343715186593,0.00039171584293556515,0.00039698528597969086,0.000656213576208516,0.00040571550162410804,0.0010807439685683014,0.00015898959664783078,0.0006295783778676252,0.0011267979976870568,0.0008983987090672164,2.220446049250313e-16,0.0009908410367508735,0.00083718691066138,0.0007095529730578642,0.0,0.0009544445712180849,0.0009690810212685228
mean,0.9979878157335929,0.9979474684509013,0.9979221024736761,0.9969723942867766,0.9978814051717583,0.00657566297532701,0.9991817552613357,0.9983785921434221,0.9967222884386174,0.9966706479546132,0.999747793190416,0.9978923017606991,0.9967106760435032,0.9981656859928755,1.0,0.9980245045650232,0.997175333911513
