,AvF0.5,AvF1,AvF1.5,CBA,mGM,CEN,AvACC,Recall_0,Recall_1,Recall_2,Recall_3,Recall_4,Precision_0,Precision_1,Precision_2,Precision_3,Precision_4
0,0.910806992,0.910019156,0.909613817,0.898194187,0.908449251,0.183911377,0.961937211,0.857161716,0.87885561,0.93774261,0.925851198,0.946015424,0.84423352,0.930577469,0.952243784,0.925851198,0.904287996
1,0.910806992,0.910019156,0.909613817,0.898194187,0.908449251,0.183911377,0.961937211,0.857161716,0.87885561,0.93774261,0.925851198,0.946015424,0.84423352,0.930577469,0.952243784,0.925851198,0.904287996
2,0.910806992,0.910019156,0.909613817,0.898194187,0.908449251,0.183911377,0.961937211,0.857161716,0.87885561,0.93774261,0.925851198,0.946015424,0.84423352,0.930577469,0.952243784,0.925851198,0.904287996
3,0.910806992,0.910019156,0.909613817,0.898194187,0.908449251,0.183911377,0.961937211,0.857161716,0.87885561,0.93774261,0.925851198,0.946015424,0.84423352,0.930577469,0.952243784,0.925851198,0.904287996
4,0.910806992,0.910019156,0.909613817,0.898194187,0.908449251,0.183911377,0.961937211,0.857161716,0.87885561,0.93774261,0.925851198,0.946015424,0.84423352,0.930577469,0.952243784,0.925851198,0.904287996
5,0.910806992,0.910019156,0.909613817,0.898194187,0.908449251,0.183911377,0.961937211,0.857161716,0.87885561,0.93774261,0.925851198,0.946015424,0.84423352,0.930577469,0.952243784,0.925851198,0.904287996
6,0.910806992,0.910019156,0.909613817,0.898194187,0.908449251,0.183911377,0.961937211,0.857161716,0.87885561,0.93774261,0.925851198,0.946015424,0.84423352,0.930577469,0.952243784,0.925851198,0.904287996
7,0.910806992,0.910019156,0.909613817,0.898194187,0.908449251,0.183911377,0.961937211,0.857161716,0.87885561,0.93774261,0.925851198,0.946015424,0.84423352,0.930577469,0.952243784,0.925851198,0.904287996
8,0.910806992,0.910019156,0.909613817,0.898194187,0.908449251,0.183911377,0.961937211,0.857161716,0.87885561,0.93774261,0.925851198,0.946015424,0.84423352,0.930577469,0.952243784,0.925851198,0.904287996
9,0.910806992,0.910019156,0.909613817,0.898194187,0.908449251,0.183911377,0.961937211,0.857161716,0.87885561,0.93774261,0.925851198,0.946015424,0.84423352,0.930577469,0.952243784,0.925851198,0.904287996
std,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mean,0.910806992,0.910019156,0.909613817,0.898194187,0.908449251,0.183911377,0.961937211,0.857161716,0.87885561,0.93774261,0.925851198,0.946015424,0.84423352,0.930577469,0.952243784,0.925851198,0.904287996
