,AvF0.5,AvF1,AvF1.5,CBA,mGM,CEN,AvACC,Recall_0,Recall_1,Recall_2,Recall_3,Recall_4,Precision_0,Precision_1,Precision_2,Precision_3,Precision_4
0,0.8238428149555033,0.8144680876180891,0.8106463631461824,0.7686300804925337,0.8062059067873484,0.30124830424257376,0.9159773441789028,0.813069306930693,0.8079272835642974,0.7100627052851598,0.8348045397225725,0.8746786632390745,0.6209295291864099,0.8804806755440078,0.928,0.8636660143509458,0.869426344704229
1,0.8261397597035016,0.8169825396694369,0.8131729688197744,0.7712747219921601,0.8088428438294669,0.2986170553253112,0.9172197423895476,0.8162376237623762,0.8092683653702876,0.716482532099134,0.841235813366961,0.8695372750642674,0.6198496240601504,0.8888707037643208,0.9133993148077655,0.8777631578947368,0.8723404255319149
2,0.8183751345376326,0.8106678232800022,0.807525033532742,0.7655055691011592,0.8037313751118973,0.3084318081352595,0.9143780675282256,0.8229702970297029,0.8037550290567724,0.7124514780531502,0.8081967213114755,0.8805912596401029,0.6311633086969728,0.8712647391374576,0.8804428044280442,0.8720914410123827,0.8719613083874252
3,0.825670622311731,0.8158861749620767,0.8119697390784246,0.7636672749721638,0.8074918592389788,0.2992025766319265,0.9169095948998216,0.8328712871287128,0.7970496200268217,0.7064795461331741,0.8287515762925599,0.8832904884318766,0.6231726590280522,0.8815095583388266,0.9112266512613133,0.8947583390061267,0.8628829733802109
4,0.8249903920480094,0.81665862094796,0.81325351488544,0.7682206064196253,0.8090650050936785,0.29915722985597515,0.9174090101697716,0.8258745874587459,0.8042020563254358,0.7123021797551508,0.8263556116015133,0.8867609254498715,0.6326221053696026,0.8941351888667992,0.8884543761638733,0.8820837259388882,0.865621079046424
5,0.8266155183040645,0.8176876159701815,0.8140208874930183,0.7695671544914809,0.8099522454078947,0.29728912535659663,0.9176600072332313,0.8356435643564356,0.8153777380420205,0.7130486712451478,0.8220680958385876,0.8727506426735219,0.6248149244891916,0.897196261682243,0.8810182623132263,0.8978102189781022,0.872526342842457
6,0.8276616497638862,0.8212993253529284,0.818617121151927,0.7739738264735351,0.8153672173185218,0.29928974250736534,0.9195882684205141,0.8095049504950496,0.8045000745045447,0.7541057031949836,0.8165195460277428,0.8987146529562982,0.6543591932557892,0.8958022233283557,0.8872299314948182,0.8890567074007963,0.8403846153846154
7,0.8260293725736585,0.8160043420176466,0.8120077976384739,0.7681368783244192,0.806692056650225,0.29400868187353796,0.9172825784416417,0.8209900990099009,0.8092683653702876,0.6860256793072559,0.8474148802017655,0.8844473007712083,0.6148902511370378,0.8866938775510204,0.9088212025316456,0.8833968713027475,0.8830852156057495
8,0.8297344208359944,0.8229192685707829,0.8200120055319416,0.7795078498167223,0.8170313559277279,0.2973896187139508,0.9200752896368959,0.8212541254125413,0.8156757562211295,0.7591818453269633,0.8148802017654476,0.87853470437018,0.643596110076557,0.8823339780786589,0.8966672544524775,0.8920485919381557,0.8642053356935138
9,0.8365703050389506,0.8296848502568415,0.8267024966563419,0.7867818786301941,0.8237924566096411,0.28852885830371994,0.9234241987999422,0.8328712871287128,0.8042020563254358,0.777246939384891,0.8298865069356872,0.8781491002570694,0.6498094551447111,0.905081334898541,0.8862785154919987,0.8990437158469945,0.8727644353602453
std,0.004354167262882371,0.004987269411993457,0.005244375967300484,0.0065965680182212254,0.005787397770707495,0.0047928515720837865,0.002371447966830584,0.008345030512254258,0.005365651585719871,0.027136340526292796,0.01151853653507293,0.007856572748806362,0.012817361839453126,0.009418209330043493,0.015400851387840293,0.01098914621442129,0.010553972685058824
mean,0.8265629990072932,0.8182258648645947,0.8147927927934265,0.7715265840713994,0.8108172321975381,0.2983163000946217,0.9179924101698494,0.8231287128712872,0.8071226344807032,0.724738727978501,0.8270113493064312,0.880745501285347,0.6315207160444475,0.8883368541190231,0.8981538312945162,0.8851718783669875,0.8675198075936785
