,AvF0.5,AvF1,AvF1.5,CBA,mGM,CEN,AvACC,Recall_0,Recall_1,Recall_2,Recall_3,Recall_4,Precision_0,Precision_1,Precision_2,Precision_3,Precision_4
0,0.8914120539105663,0.8909671873193474,0.8907639270025232,0.8788659582132023,0.8896769187479066,0.21321427621672273,0.9532556175321858,0.8283828382838284,0.8727462375204887,0.9335622573902658,0.8851197982345523,0.9330334190231363,0.8116673134135299,0.9220717884130982,0.9175348495964784,0.9004490057729314,0.9072615923009624
1,0.8890347909986909,0.8883666254706885,0.8880374267269497,0.8760725002839758,0.8868587487927038,0.21651301597286954,0.9521143871377606,0.8327392739273928,0.8590374012814782,0.9286354135562854,0.8900378310214376,0.927892030848329,0.7995943719102547,0.9130503642698765,0.9206631142687981,0.9035974907182179,0.9110297829379101
2,0.8925231965817904,0.8919872138072324,0.8917077448724516,0.8831791459005018,0.8905314171557066,0.2119073631992096,0.9537743161152186,0.8294389438943894,0.8694680375502906,0.9281875186622872,0.8987389659520807,0.9309768637532133,0.8127021083947743,0.9167321288295365,0.9259755734286566,0.9003284487114704,0.9090110441767069
3,0.8920715526529074,0.8916071706541363,0.891362904608798,0.8826541946025713,0.8902174212271542,0.21202008827904556,0.9536481531207137,0.8298349834983498,0.8684249739234093,0.9289340101522843,0.8962168978562421,0.9318766066838047,0.8072428406318223,0.9082125603864735,0.9264443120905301,0.9053503184713376,0.9149419485108531
4,0.8880784331483087,0.8873646785027397,0.8870261029396641,0.8728876401503637,0.8858701718157582,0.21820371160920177,0.9516169647432038,0.8318151815181518,0.8605274921770228,0.926993132278292,0.8852459016393442,0.9287917737789203,0.7992135971588027,0.9137658227848101,0.9208067625685896,0.9109784583441474,0.8986444472080587
5,0.8925691126908765,0.8919021241447256,0.8915654677702982,0.8802713420831054,0.8902988217479244,0.21073911553870955,0.9536777569533882,0.8285148514851485,0.869319028460736,0.9322185727082711,0.8950819672131147,0.930719794344473,0.8009188361408882,0.9232473492641241,0.9254483474136653,0.9053571428571429,0.9105885311871227
6,0.8921582528586842,0.8917173185170331,0.89149747711996,0.882552226582052,0.8903632097941615,0.21207754179890806,0.9536688483579987,0.829042904290429,0.8678289375651915,0.9344580471782622,0.8954602774274906,0.9294344473007712,0.8098001289490652,0.9152915291529153,0.9209829311359623,0.8978379061828297,0.9186888578325498
7,0.8885807832809766,0.8877497872794177,0.8873538564354275,0.8732010284143762,0.8862106160517595,0.21842786962900643,0.9516866018986347,0.8393399339933993,0.8587393831023692,0.9316213795162736,0.8810844892812106,0.9239074550128534,0.7969415893707696,0.9197255027130545,0.9221220629525639,0.9005026420930532,0.9071176173649672
8,0.8862268409363614,0.8852349843954006,0.8847332031915727,0.8708825201541366,0.8834542529000922,0.22110750526433048,0.9505422316555677,0.831947194719472,0.8609745194456861,0.9196775156763213,0.8843631778058008,0.9237789203084833,0.7821769889537048,0.9135177865612648,0.92534174553102,0.9068925384714859,0.9072203988891694
9,0.8938312710867706,0.8934309749551963,0.8932105350748003,0.8863842375849176,0.8920555840279232,0.20868374602400613,0.9544403821549373,0.8270627062706271,0.8761734465802414,0.9308748880262765,0.8997477931904161,0.930719794344473,0.8101642312168628,0.9097942132136778,0.9315702973255641,0.9041946521353441,0.914960828910791
std,0.002350670984991974,0.002513507825955443,0.0025892784354918973,0.004940859613676408,0.0026094541077002985,0.003804993465722661,0.0011950388011741193,0.0033157133231069146,0.005801966979299506,0.004005231203216599,0.006411276181814177,0.0029814787674780426,0.008862130669484278,0.004703292478409363,0.003819382490313075,0.0036767954981895717,0.005285517336854181
mean,0.8906486288145933,0.8900328065045917,0.8897258645742445,0.8786950793969204,0.8885537162261091,0.21428942335320098,0.9528425259669608,0.8308118811881189,0.8663239457606915,0.929516273514482,0.891109709962169,0.9291131105398458,0.8030422006140473,0.9155409045588832,0.9236889996311829,0.903548860375796,0.9099465049319091
