,AvF0.5,AvF1,AvF1.5,CBA,mGM,CEN,AvACC,Recall_0,Recall_1,Recall_2,Recall_3,Recall_4,Precision_0,Precision_1,Precision_2,Precision_3,Precision_4
0,0.850215349,0.845064938,0.842984688,0.801431665,0.839851437,0.273160829,0.931642477,0.811516892,0.755032056,0.862393545,0.869230769,0.909722222,0.735374318,0.916395223,0.938689218,0.899399791,0.785127636
1,0.850215349,0.845064938,0.842984688,0.801431665,0.839851437,0.273160829,0.931642477,0.811516892,0.755032056,0.862393545,0.869230769,0.909722222,0.735374318,0.916395223,0.938689218,0.899399791,0.785127636
2,0.850215349,0.845064938,0.842984688,0.801431665,0.839851437,0.273160829,0.931642477,0.811516892,0.755032056,0.862393545,0.869230769,0.909722222,0.735374318,0.916395223,0.938689218,0.899399791,0.785127636
3,0.850215349,0.845064938,0.842984688,0.801431665,0.839851437,0.273160829,0.931642477,0.811516892,0.755032056,0.862393545,0.869230769,0.909722222,0.735374318,0.916395223,0.938689218,0.899399791,0.785127636
4,0.850215349,0.845064938,0.842984688,0.801431665,0.839851437,0.273160829,0.931642477,0.811516892,0.755032056,0.862393545,0.869230769,0.909722222,0.735374318,0.916395223,0.938689218,0.899399791,0.785127636
5,0.850215349,0.845064938,0.842984688,0.801431665,0.839851437,0.273160829,0.931642477,0.811516892,0.755032056,0.862393545,0.869230769,0.909722222,0.735374318,0.916395223,0.938689218,0.899399791,0.785127636
6,0.850215349,0.845064938,0.842984688,0.801431665,0.839851437,0.273160829,0.931642477,0.811516892,0.755032056,0.862393545,0.869230769,0.909722222,0.735374318,0.916395223,0.938689218,0.899399791,0.785127636
7,0.850215349,0.845064938,0.842984688,0.801431665,0.839851437,0.273160829,0.931642477,0.811516892,0.755032056,0.862393545,0.869230769,0.909722222,0.735374318,0.916395223,0.938689218,0.899399791,0.785127636
8,0.850215349,0.845064938,0.842984688,0.801431665,0.839851437,0.273160829,0.931642477,0.811516892,0.755032056,0.862393545,0.869230769,0.909722222,0.735374318,0.916395223,0.938689218,0.899399791,0.785127636
9,0.850215349,0.845064938,0.842984688,0.801431665,0.839851437,0.273160829,0.931642477,0.811516892,0.755032056,0.862393545,0.869230769,0.909722222,0.735374318,0.916395223,0.938689218,0.899399791,0.785127636
std,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mean,0.850215349,0.845064938,0.842984688,0.801431665,0.839851437,0.273160829,0.931642477,0.811516892,0.755032056,0.862393545,0.869230769,0.909722222,0.735374318,0.916395223,0.938689218,0.899399791,0.785127636
