,AvF0.5,AvF1,AvF1.5,CBA,mGM,CEN,AvACC,Recall_0,Recall_1,Recall_2,Recall_3,Recall_4,Precision_0,Precision_1,Precision_2,Precision_3,Precision_4
0,0.7606548136942581,0.7558529032501046,0.7540744333334424,0.7126516893673325,0.7487696229979569,0.38488285202584377,0.8869316091179196,0.7221994255231843,0.6153272700164008,0.785148662782011,0.8423707440100883,0.8007973251028807,0.6566347469220246,0.7722679640718563,0.8917359579161718,0.753185252001353,0.752962515114873
1,0.7465744259154397,0.7411878700919059,0.7393826896342734,0.6948729094038019,0.7325249706385302,0.39850542954217943,0.8794090818206088,0.7035973191081931,0.5732816460414493,0.7878380397430151,0.8298865069356872,0.7997685185185185,0.6361612663863467,0.7603322127743721,0.8871130551816958,0.7410201553879068,0.7360634394602912
2,0.7448299886678985,0.7400034931045025,0.7382831791280129,0.6968871667835767,0.7321591664262806,0.40098060116855194,0.8785262730382201,0.7165914375598413,0.5823766214402862,0.7778275810548334,0.8344262295081967,0.7767489711934157,0.6391362693668415,0.7364253393665159,0.8874872144561882,0.7385868958589128,0.7465084661970091
3,0.7561685950476477,0.7502889414532752,0.7482341107875097,0.7039854595932571,0.7423468958135275,0.390745218853698,0.884016194936852,0.7432635754342771,0.5890860295213955,0.7820110563275063,0.8247162673392182,0.7983539094650206,0.6276276276276276,0.7753139717425431,0.8863674851820491,0.7667057444314185,0.7544968400583374
4,0.7333383886269167,0.729729279259085,0.7282988121116951,0.6934253335867864,0.7225924456838297,0.413238298966658,0.8725995807220392,0.6802079058952264,0.595049947815715,0.7731958762886598,0.8296343001261034,0.7587448559670782,0.6354459493994378,0.7015292670065038,0.8832565284178188,0.7454112848402448,0.7180236095898747
5,0.7367364117874271,0.7337936698695791,0.7325276994301843,0.7038566240065476,0.7280606215801595,0.4129538956801527,0.8744345979335735,0.6966215292025715,0.6189056209929924,0.7727476467951592,0.8232030264817151,0.7458847736625515,0.655048231511254,0.6857756484387907,0.8834984625896822,0.7438468550592525,0.7287347656740797
6,0.7554276991642073,0.7507135618703336,0.7491062844435751,0.7068798731923969,0.7424146416178234,0.38822377764432187,0.8847318916207427,0.7126248119272329,0.584613090800656,0.8008366950545346,0.8435056746532157,0.801440329218107,0.650680654427376,0.7560740455071346,0.8961712088279552,0.758390022675737,0.7398789030036804
7,0.7420098949897211,0.7368271931219595,0.7348336338301327,0.6931681303686483,0.7293142224535168,0.4076954735645814,0.8761109785289556,0.7044180002735604,0.5978828090055166,0.7737935156133273,0.8189155107187894,0.7731481481481481,0.6283552952659834,0.7461853368068477,0.8946277422698221,0.742256257858041,0.7235527741003731
8,0.7472943390260873,0.7430536944390879,0.7414820761098898,0.7032181413325166,0.7355592653714301,0.3995618648994347,0.8800780415243489,0.6979893311448502,0.594602653943641,0.7939638428208576,0.8194199243379571,0.7974537037037037,0.647671024241655,0.7420915519166357,0.8875897778520127,0.7717339667458433,0.7081192189105858
9,0.7479221581445156,0.7426641756884785,0.7409015505076975,0.6991541449383591,0.7348285598044374,0.40037801357677644,0.8797848979993212,0.700451374640952,0.5875950499478158,0.8009861048857014,0.8252206809583859,0.7875514403292181,0.6426957831325302,0.7880423915216956,0.8717073170731707,0.7354461676781299,0.729047619047619
std,0.008149605787474291,0.007653181462136541,0.007546662615312379,0.0060707871353962925,0.007398112275086581,0.00926208146817118,0.004345863781183453,0.016221006538699886,0.013450495217181863,0.01034374739011174,0.008242379383445094,0.01869637049835973,0.009850844890578381,0.030551184931571253,0.006525653708561122,0.011714995903852431,0.014355310671987006
mean,0.7470956715064119,0.7424114782148312,0.7407124469316411,0.7008099472573223,0.7348570412387493,0.3997165425922198,0.8796623147242582,0.707796471070989,0.5938720739525869,0.7848349021365605,0.8291298865069356,0.7839891975308642,0.6419456848281077,0.7464037729152896,0.8869554749766566,0.7496582602536839,0.7337388151156723
