,AvF0.5,AvF1,AvF1.5,CBA,mGM,CEN,AvACC,Recall_0,Recall_1,Recall_2,Recall_3,Recall_4,Precision_0,Precision_1,Precision_2,Precision_3,Precision_4
0,0.8548008207952205,0.8505250250506087,0.8488810622534372,0.8094897051332929,0.8463430644786292,0.2665632121317062,0.9344026238793092,0.8329913828477636,0.7566721335917698,0.8885402659494995,0.8581336696090794,0.9035493827160493,0.7230203015552653,0.9124415677813736,0.9160505237215034,0.9217120411756738,0.8210821549608508
1,0.8562525908222582,0.8534157082530787,0.8522069093011748,0.8209065879149092,0.8505156019655642,0.2676318883531345,0.9356410843181434,0.8286144166324716,0.7951394065901297,0.878380397430151,0.860655737704918,0.8935185185185185,0.7354619400267087,0.8999325008437394,0.9116142037525198,0.912067352666043,0.8348954578226387
2,0.8588360115266008,0.8546503545221713,0.8529743049344752,0.8143084918053578,0.8505094886304281,0.2625249106899611,0.9362776335530836,0.8375051292572836,0.7683017742656926,0.8804721350664874,0.8650693568726355,0.9080504115226338,0.7365571995669433,0.9183746212796293,0.9293486831730011,0.9082483781278962,0.8211419932550297
3,0.855830551209993,0.8515960588301491,0.8499084600749567,0.8108281885610369,0.8476584819648582,0.2657288895139618,0.9346631285475426,0.8379154698399671,0.7703891456687043,0.8862991184819962,0.8543505674653216,0.8953189300411523,0.721045197740113,0.9130588443187843,0.9224070906546415,0.9202662320021733,0.8220569134490495
4,0.8548168215302416,0.8506854605923877,0.8490294326569483,0.8096600176278897,0.84680422711711,0.26728002795416417,0.9343505694925458,0.8398303925591575,0.7685999701804085,0.8749439713133124,0.8593947036569988,0.897119341563786,0.7261975162625666,0.904544656957361,0.9206099669863229,0.9226915786623342,0.8191639267261626
5,0.8517319009623063,0.8470579808849379,0.8452773893533682,0.8052925944005456,0.8426952670223313,0.2713896165753911,0.9326997828029532,0.8360005471207769,0.7504100193827344,0.8785298072613178,0.8582597730138714,0.8984053497942387,0.7186360964138742,0.9217948717948717,0.9082483781278962,0.9117213663764233,0.8206272759309292
6,0.8537587270855459,0.8491032986657748,0.8471763744427664,0.8079432610692778,0.8450477056781576,0.2698690615288739,0.933267346534209,0.843660237997538,0.7791859251528254,0.8667264305991335,0.8537200504413619,0.8859310699588477,0.7055593685655457,0.9112467306015694,0.927269820971867,0.9112935792165836,0.8345245305875227
7,0.8560620436134554,0.851582046632257,0.8498344683415853,0.8085017529866555,0.8473348827789539,0.2649729388619542,0.9348018963739151,0.8317603610997127,0.7654689130758908,0.8804721350664874,0.8537200504413619,0.9126800411522634,0.7263497372193024,0.9180972818311874,0.9204935957513277,0.9199619513520859,0.8164979291302347
8,0.8512109406096716,0.8470925966475477,0.8454790014919752,0.8076741200439421,0.842947452606124,0.2726685418309548,0.9327290997754798,0.827109834495965,0.755628447890264,0.8830121021963245,0.8591424968474148,0.897633744855967,0.7230658854478058,0.9100377087448375,0.9148606811145511,0.9099772939762255,0.8175216678379011
9,0.8594170464344966,0.8555701642745319,0.85405252586378,0.8167789511446809,0.8521898473030025,0.26198222974877433,0.9365630381040271,0.8472165230474628,0.7817205904279111,0.8889884954430002,0.8543505674653216,0.8935185185185185,0.7273367778299671,0.9138922781941782,0.9135575003838476,0.9287183002056203,0.8314983245572044
std,0.002520416452660769,0.0027442124979475775,0.0028355199449791066,0.004534515781414595,0.0030161700688171164,0.0033345594445741435,0.0012941542038884559,0.00604173771400673,0.01280629947859743,0.00636719071710213,0.0035015897890156005,0.007335670959078783,0.008299952051919376,0.006189534042192849,0.006437772409533326,0.006487742640738115,0.006626265734050194
mean,0.8552717454589791,0.8511278694353444,0.8494819928714469,0.8111383670687589,0.8472046019545159,0.2670611317188876,0.934539620338121,0.8362604294898098,0.7691516326226331,0.8806364858807709,0.8576796973518285,0.8985725308641974,0.7243230020628091,0.9123421062347532,0.9184460444637479,0.9166658073761059,0.8239010174257523
