,AvF0.5,AvF1,AvF1.5,CBA,mGM,CEN,AvACC,Recall_0,Recall_1,Recall_2,Recall_3,Recall_4,Recall_5,Recall_6,Recall_7,Recall_8,Precision_0,Precision_1,Precision_2,Precision_3,Precision_4,Precision_5,Precision_6,Precision_7,Precision_8
0,0.9131365321002067,0.8544644443206172,0.8250033652964799,0.7849642108763029,0.7598219840970168,0.024892255795847067,0.9969680824381177,0.998071129399662,0.9690533980582524,0.3950617283950617,0.6848249027237354,0.7040358744394619,0.7307692307692307,0.9898477157360406,0.8952702702702703,0.7075471698113207,0.9882676076833528,0.9763105609047837,1.0,0.8627450980392157,0.9843260188087775,0.912,1.0,0.9962406015037594,0.9868421052631579
1,0.9054725043177325,0.8395292483411396,0.8080794249849176,0.7665389663553901,0.7291363624947232,0.02955506106658756,0.9962570661039187,0.9964545521346168,0.9561589805825242,0.32098765432098764,0.5525291828793775,0.6748878923766816,0.717948717948718,0.9887196841511562,0.918918918918919,0.7830188679245284,0.9856807980956188,0.9640562863260936,1.0,0.9403973509933775,0.9647435897435898,0.9180327868852459,1.0,0.998165137614679,0.9822485207100592
2,0.9229392097498919,0.8757382551256295,0.8501877475837678,0.8138896527188366,0.7985482113779049,0.02472364843716353,0.9970179785698632,0.9977220956719818,0.9663228155339806,0.5555555555555556,0.6070038910505836,0.7130044843049327,0.7483974358974359,0.9870276367738297,0.9341216216216216,0.8254716981132075,0.9881017356183823,0.9810565224087479,0.9375,0.9017341040462428,0.9492537313432836,0.9103313840155945,0.9988584474885844,0.9946043165467626,0.9887005649717514
3,0.9001565047056838,0.8425764178055976,0.8153461954019025,0.778483967023132,0.7372353723893313,0.029449291240683358,0.9963053257522504,0.9973179513557204,0.9443264563106796,0.2716049382716049,0.7392996108949417,0.6995515695067265,0.7371794871794872,0.9887196841511562,0.8952702702702703,0.7452830188679245,0.9851206677553983,0.9784658912291733,1.0,0.9047619047619048,0.9629629629629629,0.8534322820037106,0.9988603988603989,0.9962406015037594,0.9937106918238994
4,0.8973291304256781,0.8355339386758875,0.8065932589921345,0.7680983247014712,0.7226391744604322,0.028430838588529,0.9964673386162458,0.9970423984128151,0.9587378640776699,0.25925925925925924,0.669260700389105,0.6636771300448431,0.7147435897435898,0.9864636209813875,0.9290540540540541,0.7452830188679245,0.9864056848954074,0.9708141321044547,1.0,0.9052631578947369,0.9673202614379085,0.8902195608782435,1.0,0.9963768115942029,0.9813664596273292
5,0.8958003082850455,0.838790538640779,0.8130378708744213,0.7787243064859158,0.7144926932240849,0.024095412668790932,0.9970724094494963,0.9979792784186935,0.970873786407767,0.18518518518518517,0.7782101167315175,0.7085201793721974,0.7211538461538461,0.9887196841511562,0.9172297297297297,0.75,0.9886262306418445,0.9762050030506406,1.0,0.9009009009009009,0.9723076923076923,0.9278350515463918,1.0,0.9945054945054945,0.99375
6,0.9337439722683061,0.8852331239904185,0.8590857268756356,0.822166527260555,0.8095677172887575,0.02457635645319777,0.9970283521750404,0.9975016533176574,0.9676881067961165,0.5802469135802469,0.688715953307393,0.6905829596412556,0.7339743589743589,0.9887196841511562,0.9307432432432432,0.8301886792452831,0.9886388464059428,0.9755314268236733,1.0,0.9315789473684211,0.9903536977491961,0.8910505836575876,1.0,0.9874551971326165,0.9943502824858758
7,0.9067935484950387,0.8463250791263595,0.8165019959472055,0.7761690433867006,0.7424401524585096,0.02563610301663872,0.9968272601038117,0.9982364611654052,0.9631371359223301,0.3333333333333333,0.603112840466926,0.7085201793721974,0.7243589743589743,0.9870276367738297,0.910472972972973,0.7688679245283019,0.986690392751439,0.9838834650550131,0.9310344827586207,0.9393939393939394,0.9693251533742331,0.8932806324110671,1.0,0.9853747714808044,0.9939024390243902
8,0.8853897845298753,0.8234261570244721,0.7942574761443401,0.7552728391677316,0.7078271316659852,0.029864772646424564,0.9962317030284835,0.9971158791975898,0.9525182038834952,0.24691358024691357,0.6498054474708171,0.6860986547085202,0.6842948717948718,0.9887196841511562,0.9155405405405406,0.6886792452830188,0.9848853244302511,0.9751514210281099,0.9523809523809523,0.9226519337016574,0.9503105590062112,0.9222462203023758,0.9982915717539863,0.9713261648745519,0.906832298136646
9,0.9207644205954247,0.8662497273004668,0.8394058018704281,0.8029129468988749,0.7727534670634535,0.02404568772024309,0.9970804364066493,0.9981813505768241,0.9655643203883495,0.35802469135802467,0.6964980544747081,0.7062780269058296,0.7243589743589743,0.9892836999435984,0.9256756756756757,0.8726415094339622,0.9878915695507517,0.9824046920821115,1.0,0.9086294416243654,0.9662576687116564,0.931958762886598,0.9982925441092771,0.9945553539019963,0.9946236559139785
std,0.013850269335143437,0.018441708665856482,0.01957518257203451,0.020508716728339905,0.03310540676661809,0.0023466352129975073,0.00034630187734681535,0.0005528208308506023,0.007983693777938892,0.12273865206554636,0.0635135794637843,0.01549520407459283,0.01618827730663383,0.0010415220142481183,0.013018816802701129,0.05432520773165273,0.0013830963238252302,0.005513046423861394,0.02779017475186378,0.021947707022396134,0.012204694834238456,0.022366335183278217,0.0007204402562830665,0.007758988211434015,0.025389757851968058
mean,0.9081525915472884,0.8507866930351369,0.8227498863971233,0.7847220784874912,0.7494462266520199,0.026526942763410555,0.9967255952643879,0.9975622749650965,0.9614381067961164,0.35061728395061725,0.6669260700389106,0.6955156950672645,0.7237179487179487,0.9883248730964466,0.9172297297297296,0.7716981132075472,0.9870308857828387,0.97638794010128,0.9820915435139573,0.911805677872476,0.9677161335445511,0.9050387264586817,0.9994302962212247,0.9914844450658628,0.9816327017957087
