,AvF0.5,AvF1,AvF1.5,CBA,mGM,CEN,AvACC,Recall_0,Recall_1,Recall_2,Recall_3,Recall_4,Recall_5,Recall_6,Recall_7,Recall_8,Precision_0,Precision_1,Precision_2,Precision_3,Precision_4,Precision_5,Precision_6,Precision_7,Precision_8
0,0.8476454374846644,0.7490156137475343,0.7041046535552881,0.6458566844417578,0.599765867540354,0.051214661325667224,0.9920293497529076,0.9954625615401572,0.8504247572815534,0.2839506172839506,0.3852140077821012,0.6547085201793722,0.41185897435897434,0.9780033840947546,0.6317567567567568,0.6509433962264151,0.9658497460119418,0.945362563237774,0.8846153846153846,0.9166666666666666,0.9765886287625418,0.8771331058020477,0.998272884283247,0.9920424403183024,1.0
1,0.6833914242569729,0.5878430313310914,0.5511362097683464,0.5047557337780133,0.3363900540668768,0.0666060333468615,0.9883125034137108,0.9932765081931075,0.7553094660194175,0.24691358024691357,0.2801556420233463,0.1367713004484305,0.5080128205128205,0.9819514946418499,0.660472972972973,0.02358490566037736,0.9496294214759914,0.935726367224206,0.9523809523809523,0.9473684210526315,0.6161616161616161,0.8614130434782609,0.9971363115693013,0.8988505747126436,0.5555555555555556
2,0.786408570243357,0.692256631828342,0.6532751180516297,0.60284474557948,0.4674260038973932,0.05106070831886073,0.9919185457234572,0.9960687780145492,0.8343446601941747,0.20987654320987653,0.48249027237354086,0.5358744394618834,0.6298076923076923,0.979131415679639,0.7381756756756757,0.05188679245283019,0.9640152188600078,0.9538674991328477,1.0,0.9185185185185185,0.9598393574297188,0.9492753623188406,1.0,0.9954441913439636,1.0
3,0.816884040119746,0.7076405635564165,0.6608764379126766,0.6025510960203235,0.5481133760042677,0.05590790768481213,0.9913747830422389,0.9930744360349768,0.8622572815533981,0.2839506172839506,0.2607003891050584,0.5022421524663677,0.4775641025641026,0.9661590524534687,0.5912162162162162,0.5141509433962265,0.9647191091441216,0.9304305123588149,1.0,0.9054054054054054,0.9739130434782609,0.8713450292397661,0.9994165694282381,0.9641873278236914,0.8934426229508197
4,0.6254506158337492,0.534031379084102,0.5022296693815531,0.46143947776063476,0.25235748218445325,0.06451432598318538,0.9883361254589338,0.9955544125211258,0.7581917475728155,0.1728395061728395,0.10894941634241245,0.033632286995515695,0.4983974358974359,0.9717992103778906,0.6334459459459459,0.02830188679245283,0.9473978637484048,0.9505515405096995,1.0,0.9655172413793104,0.5172413793103449,0.8293333333333334,1.0,0.9973404255319149,1.0
5,,,,0.4545739778967344,0.0,0.07038815898499644,0.9866891524387322,0.9952421191858329,0.691747572815534,0.09876543209876543,0.19066147859922178,0.1860986547085202,0.3894230769230769,0.9588268471517203,0.6351351351351351,0.0,0.9405076036386362,0.9384647046717431,1.0,0.9423076923076923,1.0,0.788961038961039,1.0,0.9423558897243107,0.0
6,0.8123151597824066,0.7156959971749546,0.6743340916235975,0.6208209502394151,0.533953185309659,0.05169798178287969,0.991904364330899,0.9958299654640311,0.8422330097087378,0.1111111111111111,0.3229571984435798,0.547085201793722,0.5192307692307693,0.9830795262267343,0.6266891891891891,0.6698113207547169,0.9651912256961754,0.9511735480555079,1.0,0.9222222222222223,0.9959183673469387,0.7960687960687961,1.0,0.9973118279569892,0.9726027397260274
7,0.7665153054790237,0.6747575060667338,0.6371398764141968,0.5891436881542226,0.47923177157892616,0.05413224763659973,0.9916575100635472,0.9939010948636932,0.8564927184466019,0.2716049382716049,0.42023346303501946,0.452914798206278,0.6073717948717948,0.975747320924986,0.6773648648648649,0.07547169811320754,0.9650915966536452,0.9522685107100691,1.0,0.8925619834710744,0.753731343283582,0.8855140186915887,1.0,0.9155251141552512,1.0
8,0.7979809281988395,0.7439878581746968,0.7165753788790634,0.6786743730903408,0.6300584965437682,0.04636642556129445,0.9935575815135551,0.9932213976045264,0.9123179611650486,0.2716049382716049,0.4085603112840467,0.6121076233183856,0.5176282051282052,0.9802594472645234,0.8108108108108109,0.6179245283018868,0.9768555322685554,0.9562728573700111,0.43137254901960786,0.860655737704918,0.6774193548387096,0.7690476190476191,0.9886234357224118,0.9876543209876543,0.9632352941176471
9,0.8346381163637023,0.7409738963205794,0.6995060159093057,0.6460186366738038,0.5863994544274259,0.05028851474400495,0.9923984672200764,0.9944889411418913,0.8663531553398058,0.19753086419753085,0.5447470817120622,0.5739910313901345,0.40384615384615385,0.9819514946418499,0.777027027027027,0.5,0.9687209219096701,0.945060400463346,1.0,0.9210526315789473,0.9624060150375939,0.7522388059701492,0.9982798165137615,0.9871244635193133,0.9906542056074766
std,0.06949548103624835,0.0703284282119977,0.06832936700876946,0.0752715810822842,0.18582744170692816,0.007656723326066248,0.0021062127357656286,0.0011052707570122662,0.06307148704139888,0.06583847716530065,0.12698483968652366,0.20909667643682273,0.07663893166323874,0.007492923798810315,0.0689191259270871,0.2823671742166849,0.010609425772708767,0.008125049704308504,0.16893488463816586,0.02796329427846737,0.17432313209298975,0.05846264516371927,0.0033245510562797103,0.03465580661964594,0.30776156321547266
mean,0.7745810664180514,0.682911386364939,0.6443530501661842,0.5806679363634727,0.44336956915531245,0.05621769653691623,0.9908178382958057,0.9946120214563893,0.8229672330097089,0.2148148148148148,0.3404669260700389,0.423542600896861,0.49631410256410263,0.9756909193457417,0.6782094594594594,0.31320754716981136,0.9607978239407149,0.9459178503734018,0.9268368886015944,0.9192276520307386,0.8433219105649308,0.838033015291144,0.998172901751696,0.9677836576074034,0.8375490417957525
