,AvF0.5,AvF1,AvF1.5,CBA,mGM,CEN,AvACC,Recall_0,Recall_1,Recall_2,Recall_3,Recall_4,Recall_5,Recall_6,Recall_7,Recall_8,Precision_0,Precision_1,Precision_2,Precision_3,Precision_4,Precision_5,Precision_6,Precision_7,Precision_8
0,0.8605426204967986,0.8192365518571805,0.7969229079593994,0.7645075970700385,0.7341930852955496,0.041215139701207174,0.9944007449715992,0.9938643544713057,0.8997269417475728,0.345679012345679,0.669260700389105,0.6995515695067265,0.625,0.988155668358714,0.918918918918919,0.7547169811320755,0.9795585812315547,0.9520064205457464,0.6511627906976745,0.8037383177570093,0.8715083798882681,0.9027777777777778,0.9909502262443439,0.9611307420494699,0.935672514619883
1,0.8893696911312675,0.8272988805793706,0.7973774346866439,0.7566078564231868,0.7180119879085475,0.040391210520944056,0.9943029912780271,0.9952237489896392,0.8806128640776699,0.2839506172839506,0.7276264591439688,0.6659192825112108,0.6762820512820513,0.9887196841511562,0.9391891891891891,0.6698113207547169,0.9773592394147679,0.9508599508599509,0.92,0.8738317757009346,0.9488817891373802,0.9461883408071748,0.9932011331444759,0.9754385964912281,0.9861111111111112
2,0.8720692509197403,0.8118305488515538,0.7830447591527259,0.7441001724322122,0.7072767174477503,0.043130101127494304,0.9940666665198518,0.9930744360349768,0.8939623786407767,0.30864197530864196,0.5642023346303502,0.6322869955156951,0.719551282051282,0.9864636209813875,0.9206081081081081,0.6933962264150944,0.9777886302385732,0.9477323898359601,1.0,0.8192090395480226,0.9009584664536742,0.8601532567049809,0.9960136674259681,0.9784560143626571,0.930379746835443
3,0.8685268689965969,0.801414741730955,0.7700409813685927,0.7256295522673205,0.6768580838001231,0.040865033799409346,0.9943099165498752,0.9951502682048644,0.8925970873786407,0.2345679012345679,0.5252918287937743,0.6816143497757847,0.6233974358974359,0.990975747320925,0.9459459459459459,0.6839622641509434,0.9779045418441765,0.9565924239960982,0.8636363636363636,0.8881578947368421,0.9020771513353115,0.9418886198547215,0.9653846153846154,0.9722222222222222,0.9931506849315068
4,0.8632763143313698,0.8056566185366589,0.7772223444341323,0.7383363494432922,0.6971983723678151,0.04438534180742038,0.9937629058651647,0.9927437725034903,0.8815230582524272,0.2839506172839506,0.556420233463035,0.6636771300448431,0.7147435897435898,0.9887196841511562,0.9425675675675675,0.6367924528301887,0.9766328116528716,0.9424262082387285,0.7931034482758621,0.8265895953757225,0.9548387096774194,0.8446969696969697,0.9960227272727272,0.9772329246935202,0.9507042253521126
5,0.8587061492228885,0.8015559099699281,0.7745875961677029,0.7371441793533071,0.677803554874204,0.04641850262757638,0.9933387170339615,0.9936806525093688,0.8577063106796117,0.18518518518518517,0.6653696498054474,0.6771300448430493,0.6506410256410257,0.9858996051889453,0.9172297297297297,0.7216981132075472,0.9734379498992226,0.9542616033755275,0.8333333333333334,0.9095744680851063,0.8273972602739726,0.8864628820960698,0.987012987012987,0.9593639575971732,0.9935064935064936
6,0.8759249875960631,0.8160083581646231,0.7869320151857631,0.7466747952745245,0.7132795859683988,0.04517110428420936,0.9936419867064424,0.9933499889778823,0.8751516990291263,0.32098765432098764,0.6614785992217899,0.679372197309417,0.5993589743589743,0.9898477157360406,0.9391891891891891,0.6839622641509434,0.9762764497725139,0.9429552141222621,0.9629629629629629,0.8854166666666666,0.9237804878048781,0.8366890380313199,0.9842961301177791,0.9652777777777778,0.9415584415584416
7,0.8459261920027399,0.7782125963235704,0.7456851717603565,0.7019117696255286,0.6430306122387882,0.0474125876806821,0.9931723224736468,0.9923396281872291,0.8807645631067961,0.19753086419753085,0.490272373540856,0.625560538116592,0.5993589743589743,0.9870276367738297,0.8834459459459459,0.6792452830188679,0.9739997475703648,0.9325409572759396,0.6956521739130435,0.863013698630137,0.93,0.9033816425120773,0.9971509971509972,0.9721189591078067,0.96
8,0.8636088405871054,0.7999468991865785,0.7701949060614429,0.7303564454861605,0.6832022299511886,0.04466341527546464,0.9937633113041975,0.993000955250202,0.8868325242718447,0.24691358024691357,0.5447470817120622,0.6233183856502242,0.6891025641025641,0.9892836999435984,0.8986486486486487,0.7169811320754716,0.9773803927241167,0.9332694763729247,0.9523809523809523,0.8641975308641975,0.9055374592833876,0.9148936170212766,0.9971574758385446,0.9568345323741008,0.9047619047619048
9,0.8840773705469428,0.826442970929383,0.79870611832066,0.7604842883722706,0.7199317499581375,0.04319551313110286,0.9939177143476502,0.9940113160408554,0.8719660194174758,0.2716049382716049,0.669260700389105,0.7152466367713004,0.657051282051282,0.988155668358714,0.9408783783783784,0.7547169811320755,0.976591405418088,0.9461728395061728,0.9166666666666666,0.91005291005291,0.8935574229691877,0.9172259507829977,0.9870422535211267,0.9670138888888888,0.9815950920245399
