,AvF0.5,AvF1,AvF1.5,CBA,mGM,CEN,AvACC,Recall_0,Recall_1,Recall_2,Recall_3,Recall_4,Recall_5,Recall_6,Recall_7,Recall_8,Precision_0,Precision_1,Precision_2,Precision_3,Precision_4,Precision_5,Precision_6,Precision_7,Precision_8
0,0.8521722495802264,0.7884186003380761,0.7594962363297602,0.7191402614145422,0.631852344592288,0.04630314939544285,0.9931873842113182,0.9946542729076346,0.8466322815533981,0.1111111111111111,0.6303501945525292,0.6883408071748879,0.6346153846153846,0.988155668358714,0.9155405405405406,0.6886792452830188,0.9721698536672951,0.9497957794417972,1.0,0.8709677419354839,0.953416149068323,0.8939051918735892,0.984822934232715,0.9748201438848921,0.9931972789115646
1,0.8492010824954703,0.7713205546104853,0.7349564114994386,0.6863185577545736,0.642619745393648,0.05019629829564174,0.9924086100117891,0.9939562054522743,0.8510315533980582,0.2962962962962963,0.6731517509727627,0.40358744394618834,0.5448717948717948,0.9858996051889453,0.8665540540540541,0.589622641509434,0.9697290128324612,0.9422237151494793,0.9230769230769231,0.9010416666666666,0.8181818181818182,0.8808290155440415,0.9820224719101124,0.9661016949152542,0.9765625
2,0.8532496756911446,0.7865299371078873,0.7562005282565382,0.7159802509252289,0.6635915044290224,0.04761334819793678,0.9933155725222294,0.9922110368138731,0.8766686893203883,0.2345679012345679,0.46303501945525294,0.6547085201793722,0.6826923076923077,0.9842075578116187,0.9290540540540541,0.6462264150943396,0.9765322726450913,0.9265672599005932,0.95,0.8947368421052632,0.8957055214723927,0.8693877551020408,0.9803370786516854,0.9734513274336283,0.9013157894736842
3,0.8156560208002825,0.7578733303013206,0.7297096593916728,0.690102693806717,0.5171048137408988,0.046524331384288804,0.9931012643111389,0.9947644940847968,0.8533070388349514,0.024691358024691357,0.5136186770428015,0.647982062780269,0.6153846153846154,0.9830795262267343,0.9222972972972973,0.6792452830188679,0.9713183856502242,0.9514546684709067,0.6666666666666666,0.8979591836734694,0.9145569620253164,0.9320388349514563,0.9892167990919409,0.9629629629629629,1.0
4,0.8641976223322158,0.8102282981644412,0.7845096270315652,0.7478948711277116,0.705922865027542,0.044854521095151444,0.9938189842084765,0.9927254023072967,0.881371359223301,0.25925925925925924,0.6070038910505836,0.6816143497757847,0.719551282051282,0.9842075578116187,0.9256756756756757,0.7075471698113207,0.9774272898278107,0.9456380208333334,0.9130434782608695,0.8082901554404145,0.8194070080862533,0.9393305439330544,0.9716035634743875,0.9750889679715302,0.9493670886075949
5,0.8610962639721382,0.8051487844532513,0.7765302110100665,0.7364399806666754,0.7094727992081525,0.04760764910571581,0.9932792815866518,0.992468219560585,0.8790958737864077,0.35802469135802467,0.6809338521400778,0.6591928251121076,0.6121794871794872,0.9780033840947546,0.839527027027027,0.6462264150943396,0.9747762702078522,0.9451965421627793,0.8285714285714286,0.8793969849246231,0.7616580310880829,0.9138755980861244,0.9925586720091586,0.935969868173258,0.9647887323943662
6,0.8648683245973273,0.7915767461083589,0.7579397794494539,0.713096251005875,0.6649540221091685,0.04657041108835484,0.9931703737170139,0.9941031670218238,0.8608919902912622,0.2345679012345679,0.6186770428015564,0.5605381165919282,0.6330128205128205,0.9875916525662719,0.9037162162162162,0.6462264150943396,0.9726441037439114,0.9426910299003323,1.0,0.7989949748743719,0.9578544061302682,0.9404761904761905,0.9931934203062961,0.9692028985507246,0.9647887323943662
7,0.8651235874123865,0.8051342710147745,0.7768713184411777,0.7377007112587773,0.6846696552324095,0.04583822271955924,0.9932588938128393,0.9942868689837607,0.8457220873786407,0.20987654320987653,0.6147859922178989,0.6928251121076233,0.6762820512820513,0.9870276367738297,0.9375,0.7028301886792453,0.9724567896798304,0.9538066723695466,0.8947368421052632,0.8729281767955801,0.8631284916201117,0.8828451882845189,0.9965831435079726,0.9788359788359788,0.9867549668874173
8,0.8651831965565626,0.7947638912945665,0.7619051952790737,0.7181369705017479,0.6712468157294869,0.048673695484772135,0.9928971177947944,0.9917334117128371,0.8671116504854369,0.24691358024691357,0.5680933852140078,0.5829596412556054,0.6169871794871795,0.9898477157360406,0.910472972972973,0.7075471698113207,0.9732994393062542,0.926268027872306,0.9523809523809523,0.8902439024390244,0.8441558441558441,0.9577114427860697,0.9920859242509893,0.9676840215439856,0.974025974025974
9,0.8182138602109871,0.7527265286608038,0.7200027600079264,0.6743067320852119,0.5763879035692382,0.04933736432954106,0.9924969217997115,0.9945991623190535,0.8413228155339806,0.08641975308641975,0.5136186770428015,0.600896860986547,0.5977564102564102,0.9825155104342922,0.8412162162162162,0.6367924528301887,0.9682218923800497,0.9507971884107663,0.3181818181818182,0.8516129032258064,0.9084745762711864,0.9588688946015425,0.9982808022922636,0.9576923076923077,1.0
