,AvF0.5,AvF1,AvF1.5,CBA,mGM,CEN,AvACC,Recall_0,Recall_1,Recall_2,Recall_3,Recall_4,Recall_5,Recall_6,Recall_7,Recall_8,Precision_0,Precision_1,Precision_2,Precision_3,Precision_4,Precision_5,Precision_6,Precision_7,Precision_8
0,0.844591574046521,0.7510702640243914,0.7086020417747814,0.6505564579901857,0.6121423058811784,0.06762307935807775,0.9863593547668409,0.9943419795723418,0.5814623786407767,0.32098765432098764,0.40077821011673154,0.6547085201793722,0.4551282051282051,0.9796954314720813,0.9206081081081081,0.6037735849056604,0.9378660290397477,0.9459526159921027,1.0,0.9363636363636364,0.906832298136646,0.7759562841530054,0.9977024698449167,0.983754512635379,1.0
1,0.812049561011419,0.7350943780387236,0.7010569978841981,0.6480702530904011,0.6040560342065782,0.07183173297773515,0.9862695234896807,0.9913843779851569,0.5957220873786407,0.24691358024691357,0.33073929961089493,0.695067264573991,0.5769230769230769,0.979131415679639,0.875,0.6462264150943396,0.9421448647893716,0.9334442595673876,1.0,0.7522123893805309,0.7828282828282829,0.7912087912087912,0.9238956891963811,0.9866666666666667,1.0
2,0.8266852333304338,0.752294740548985,0.7192533817067573,0.6721788371628931,0.6029853546384089,0.06613870594877073,0.9869730111157266,0.9936806525093688,0.5952669902912622,0.13580246913580246,0.5953307392996109,0.695067264573991,0.5560897435897436,0.9796954314720813,0.9138513513513513,0.6367924528301887,0.9417130919220056,0.9421368547418968,1.0,0.8947368421052632,0.7560975609756098,0.887468030690537,0.9994246260069045,0.9818511796733213,0.9926470588235294
3,0.8423900559616511,0.7695378589618653,0.7356615461656726,0.6874415166981248,0.6529999093320533,0.06857608716383548,0.9864650372405701,0.9921742964214858,0.5837378640776699,0.2962962962962963,0.5058365758754864,0.6860986547085202,0.5705128205128205,0.9808234630569655,0.9155405405405406,0.7075471698113207,0.9405802654035039,0.933074684772066,1.0,0.8904109589041096,0.7427184466019418,0.8221709006928406,0.9959908361970218,0.9854545454545455,0.9615384615384616
4,0.8519535153472053,0.7714537991138608,0.7339312156897326,0.6806157096284461,0.6423081230394874,0.06625282758981756,0.9868564591459548,0.9940113160408554,0.5929915048543689,0.25925925925925924,0.6186770428015564,0.6748878923766816,0.4951923076923077,0.9813874788494078,0.8834459459459459,0.6792452830188679,0.9404546718576196,0.9437469821342347,1.0,0.9034090909090909,0.8337950138504155,0.8465753424657534,0.9994256174612292,0.9961904761904762,0.9863013698630136
5,0.8476217496717531,0.7584593097511954,0.7188852152070153,0.6647194588186474,0.6233910451367665,0.06730524734912302,0.9866127417639066,0.9936439121169814,0.5843446601941747,0.32098765432098764,0.33073929961089493,0.6838565022421524,0.5881410256410257,0.9819514946418499,0.9239864864864865,0.6320754716981132,0.9402541415335408,0.9340446168768186,1.0,0.9444444444444444,0.7963446475195822,0.9338422391857506,0.9780898876404495,0.9838129496402878,1.0
6,0.8200666667035941,0.7487134533116796,0.7176982125050668,0.6742237717253758,0.6161115254087939,0.06830131581685327,0.9869017735457235,0.9908516422955397,0.6198422330097088,0.18518518518518517,0.4708171206225681,0.695067264573991,0.5144230769230769,0.9808234630569655,0.9256756756756757,0.7358490566037735,0.9434338487371441,0.9373709566414316,1.0,0.9307692307692308,0.6919642857142857,0.7552941176470588,0.9982778415614236,0.9699115044247788,0.9936305732484076
7,0.8497618521946303,0.7613994538039195,0.720757489071802,0.6649276446896725,0.6293304719556309,0.06716947954029386,0.9869533651738853,0.9931479168197517,0.6092233009708737,0.30864197530864196,0.4396887159533074,0.6345291479820628,0.5352564102564102,0.9796954314720813,0.9172297297297297,0.6179245283018868,0.9421595622320589,0.9242807825086307,1.0,0.9112903225806451,0.7994350282485876,0.9201101928374655,0.9994246260069045,0.9872727272727273,0.9924242424242424
8,0.8194988795357231,0.7625671527058502,0.7374510412839368,0.7035338667282383,0.6426111723346624,0.05395815668805011,0.9918686901005762,0.9897678007201117,0.8470873786407767,0.18518518518518517,0.603112840466926,0.6838565022421524,0.5048076923076923,0.9808234630569655,0.9054054054054054,0.6509433962264151,0.9705829370226258,0.9459596815178722,1.0,0.8959537572254336,0.7402912621359223,0.5506993006993007,0.9988512349224583,0.9816849816849816,0.9928057553956835
9,0.8195633820519052,0.7293741586295721,0.6894278640247642,0.6342975638739468,0.5790601964896175,0.0688814218564928,0.9859313406625859,0.9938643544713057,0.5755461165048543,0.19753086419753085,0.4708171206225681,0.6591928251121076,0.3894230769230769,0.9802594472645234,0.8716216216216216,0.6273584905660378,0.9369285120532004,0.9377162629757786,1.0,0.937984496124031,0.8376068376068376,0.7319277108433735,0.9994249568717654,0.9904030710172744,0.9851851851851852
std,0.014434925246222339,0.01302838036036057,0.014646288181561754,0.019270386495099025,0.021191063076021373,0.004487683836497735,0.0016160937219619799,0.0014779836075258263,0.07722768128722834,0.06305971747714634,0.1004350933785238,0.019422787289423947,0.0583835019544068,0.000838469754501869,0.019618607141310623,0.0394763697224673,0.00918396230915044,0.006523629001449348,0.0,0.05272845150108685,0.0578508258858373,0.10586174134493603,0.022583234661901038,0.006428052756769917,0.010857274920430406
mean,0.8334182469854836,0.7539964568890044,0.7182725005313727,0.6680565080405932,0.6204996138423178,0.06660380542890498,0.9871191297005449,0.9926868248952898,0.6185224514563107,0.245679012345679,0.47665369649805445,0.6762331838565022,0.5185897435897435,0.9804286520022562,0.9052364864864865,0.6537735849056603,0.9436117924590818,0.9377727697728219,1.0,0.8997575168806415,0.7887913663618111,0.8015252910423877,0.9890507785709455,0.9847002614660438,0.9904532646478523
