,AvF0.5,AvF1,AvF1.5,CBA,mGM,CEN,AvACC,Recall_0,Recall_1,Recall_2,Recall_3,Recall_4,Recall_5,Recall_6,Recall_7,Recall_8,Precision_0,Precision_1,Precision_2,Precision_3,Precision_4,Precision_5,Precision_6,Precision_7,Precision_8
ARF_RV,0.752627187,0.64552186,0.603684109,0.55082883,0.428896934,0.058504277,0.989878562,0.996388419,0.77806432,0.137037037,0.276653696,0.344394619,0.461057692,0.978736605,0.669594595,0.358962264,0.954480892,0.952726109,1,0.924487465,0.910715252,0.876453155,0.995300184,0.994738317,0.985808786
ARF_SS,0.774581066,0.682911386,0.64435305,0.580667936,0.443369569,0.056217697,0.990817838,0.994612021,0.822967233,0.214814815,0.340466926,0.423542601,0.496314103,0.975690919,0.678209459,0.313207547,0.960797824,0.94591785,0.926836889,0.919227652,0.843321911,0.838033015,0.998172902,0.967783658,0.837549042
ARF_VU,,,,0.496525446,0,0.057874373,0.989971638,0.996932177,0.804459951,0.222222222,0.194552529,0.264573991,0.447115385,0.9785674,0.603040541,0,0.954196997,0.961559383,1,0.892857143,0.848920863,0.882911392,1,0.991666667,0
ARF_H,0.88494545,0.820787635,0.789972055,0.747911185,0.694134631,0.035021158,0.995318343,0.996763171,0.922057039,0.266666667,0.640077821,0.653811659,0.658653846,0.984545967,0.890709459,0.733962264,0.98071594,0.967726604,0.965727273,0.914555082,0.955975092,0.893578638,0.99874826,0.992274768,0.993570771
ARF_H+S,0.908152592,0.850786693,0.822749886,0.784722078,0.749446227,0.026526943,0.996725595,0.997562275,0.961438107,0.350617284,0.66692607,0.695515695,0.723717949,0.988324873,0.91722973,0.771698113,0.987030886,0.97638794,0.982091544,0.911805678,0.967716134,0.905038726,0.999430296,0.991484445,0.981632702
ARF_H+S+P,0.91705548,0.861754335,0.833574712,0.794894632,0.771088731,0.025800415,0.996843067,0.997413476,0.968173544,0.434567901,0.684824903,0.696636771,0.703044872,0.987535251,0.916047297,0.775471698,0.987808461,0.975132809,0.986361518,0.905226211,0.968569318,0.903047393,0.999315913,0.989548489,0.991712147
LB_RV,0.661857256,0.572498697,0.53726604,0.444674021,0.121201719,0.07997016,0.981584428,0.99474245,0.483009709,0.138271605,0.291439689,0.132286996,0.017788462,0.968979131,0.83125,0.228773585,0.91652095,0.970930316,1,0.776866665,0.356058134,0.25310512,0.984631917,0.968352484,0.398425099
LB_SS,0.731022917,0.651829447,0.619495973,0.55705383,0.376722349,0.076862145,0.984216067,0.990568741,0.568901699,0.201234568,0.349805447,0.548654709,0.208814103,0.980146644,0.864527027,0.401415094,0.93220417,0.954543726,0.99375,0.73434584,0.612775561,0.522472568,0.97891743,0.945256588,0.78330004
LB_VU,0.489097805,0.426801886,0.406438342,0.375802347,0.116358025,0.082659833,0.979965898,0.994746124,0.435831311,0.037037037,0.163424125,0.024663677,0.008012821,0.973491258,0.820945946,0.009433962,0.909380983,0.981215847,1,0.976744186,0.053658537,0.166666667,0.982915718,0.972,1
LB_H,0.833418247,0.753996457,0.718272501,0.668056508,0.620499614,0.066603805,0.98711913,0.992686825,0.618522451,0.245679012,0.476653696,0.676233184,0.518589744,0.980428652,0.905236486,0.653773585,0.943611792,0.93777277,1,0.899757517,0.788791366,0.801525291,0.989050779,0.984700261,0.990453265
LB_H+S,0.850896188,0.786372094,0.755812173,0.713911728,0.646782247,0.047351899,0.99309344,0.993550224,0.860315534,0.20617284,0.588326848,0.617264574,0.633333333,0.985053582,0.899155405,0.66509434,0.972857531,0.94344389,0.844665811,0.866617253,0.873653881,0.916926866,0.988070481,0.966181017,0.971080106
LB_H+S+P,0.868202829,0.808760408,0.780071424,0.740575301,0.697078598,0.043684795,0.993867728,0.993643912,0.882084345,0.267901235,0.607392996,0.666367713,0.655448718,0.988324873,0.924662162,0.699528302,0.976692975,0.945881748,0.858889869,0.86437819,0.905853713,0.89543581,0.989423221,0.968508962,0.957744021
