,AvF0.5,AvF1,AvF1.5,CBA,mGM,CEN,AvACC,Recall_0,Recall_1,Recall_2,Recall_3,Recall_4,Recall_5,Recall_6,Recall_7,Recall_8,Precision_0,Precision_1,Precision_2,Precision_3,Precision_4,Precision_5,Precision_6,Precision_7,Precision_8
ARF_RV,0.063124085,0.063548059,0.061797106,0.059021352,0.104272966,0.005529526,0.001468088,0.000972309,0.037510664,0.027853121,0.046021441,0.177637916,0.075040567,0.002185152,0.050496304,0.292798411,0.006680861,0.010183952,0,0.038239723,0.087031576,0.053372185,0.0105246,0.004689454,0.025805719
ARF_SS,0.069495481,0.070328428,0.068329367,0.075271581,0.185827442,0.007656723,0.002106213,0.001105271,0.063071487,0.065838477,0.12698484,0.209096676,0.076638932,0.007492924,0.068919126,0.282367174,0.010609426,0.00812505,0.168934885,0.027963294,0.174323132,0.058462645,0.003324551,0.034655807,0.307761563
ARF_VU,,,,1.11E-16,0,0,1.11E-16,1.11E-16,0,5.55E-17,0,5.55E-17,5.55E-17,0,1.11E-16,0,0,0,0,0,0,0,0,2.22E-16,0
ARF_H,0.025913592,0.025263748,0.024356095,0.023360554,0.054172728,0.003548567,0.00057584,0.00088718,0.016954062,0.136719686,0.067580055,0.036653536,0.016232638,0.003818683,0.033436134,0.025066661,0.002381753,0.006146637,0.095483156,0.012535222,0.023870215,0.042362962,0.002137211,0.008132543,0.008059399
ARF_H+S,0.013850269,0.018441709,0.019575183,0.020508717,0.033105407,0.002346635,0.000346302,0.000552821,0.007983694,0.122738652,0.063513579,0.015495204,0.016188277,0.001041522,0.013018817,0.054325208,0.001383096,0.005513046,0.027790175,0.021947707,0.012204695,0.022366335,0.00072044,0.007758988,0.025389758
ARF_H+S+P,0.008907841,0.01384736,0.015613465,0.017640681,0.02463046,0.001947902,0.000282614,0.000391919,0.005448847,0.090013462,0.053209316,0.013859695,0.02164411,0.001564064,0.035190721,0.03186669,0.001309695,0.003505349,0.014464994,0.012188968,0.007823458,0.024267415,0.000664386,0.009118448,0.012309797
LB_RV,0.023109946,0.019556598,0.017993121,0.038785756,0.150225845,0.00189532,0.000587188,0.000963369,0.013345377,0.062415924,0.07192552,0.068618658,0.007667227,0.004144653,0.031821832,0.281127723,0.002435386,0.01089907,0,0.222858881,0.183279516,0.116043917,0.006898273,0.00871371,0.487975451
LB_SS,0.064101457,0.049654376,0.043557752,0.048426574,0.206352967,0.005085625,0.001474906,0.003624866,0.032035502,0.085185185,0.044516408,0.117310008,0.125823328,0.004489509,0.055578175,0.26265115,0.005468751,0.020450147,0.01875,0.246562835,0.19259565,0.255077441,0.016888882,0.019111326,0.392307063
LB_VU,5.55E-17,5.55E-17,0,5.55E-17,0,1.39E-17,1.11E-16,1.11E-16,0,0,2.78E-17,3.47E-18,0,1.11E-16,1.11E-16,0,2.22E-16,0,0,0,6.94E-18,2.78E-17,2.22E-16,2.22E-16,0
LB_H,0.014434925,0.01302838,0.014646288,0.019270386,0.021191063,0.004487684,0.001616094,0.001477984,0.077227681,0.063059717,0.100435093,0.019422787,0.058383502,0.00083847,0.019618607,0.03947637,0.009183962,0.006523629,0,0.052728452,0.057850826,0.105861741,0.022583235,0.006428053,0.010857275
LB_H+S,0.017896291,0.018831299,0.02037219,0.022749142,0.056644754,0.001575981,0.000389338,0.001084074,0.014164141,0.096746337,0.068394,0.083262385,0.046737759,0.003242478,0.03463497,0.036537579,0.002694217,0.009250675,0.198346742,0.034551868,0.060305412,0.031577322,0.007865317,0.011719711,0.028042831
LB_H+S+P,0.012104597,0.013979986,0.01550932,0.017650067,0.025687704,0.002246602,0.000393377,0.000910243,0.01155147,0.049398146,0.075659675,0.029487502,0.041789759,0.001471854,0.019846356,0.035553023,0.001727212,0.007799332,0.110162185,0.03517622,0.035608846,0.036131877,0.009158324,0.007327543,0.028750361
