,AvF0.5,AvF1,AvF1.5,CBA,mGM,CEN,AvACC,Recall_0,Recall_1,Recall_2,Recall_3,Recall_4,Recall_5,Recall_6,Recall_7,Recall_8,Precision_0,Precision_1,Precision_2,Precision_3,Precision_4,Precision_5,Precision_6,Precision_7,Precision_8
0,0.8900706545474173,0.8177775807687866,0.7837205158679237,0.7386020314948784,0.6956041088574008,0.034146074079228525,0.9955099303124313,0.9967852156661033,0.9371966019417476,0.2716049382716049,0.5914396887159533,0.6210762331838565,0.6330128205128205,0.9853355893965031,0.8800675675675675,0.7452830188679245,0.9824018249959263,0.9594657555521043,1.0,0.8994082840236687,0.9518900343642611,0.9207459207459208,1.0,0.9923809523809524,1.0
1,0.8832840155826854,0.8166085137861299,0.7856863370172857,0.7438141478590246,0.6902306614601678,0.03779622338806749,0.9948662355730306,0.9959218164449997,0.9056432038834952,0.20987654320987653,0.6498054474708171,0.6591928251121076,0.6858974358974359,0.9887196841511562,0.8902027027027027,0.7264150943396226,0.9785743939640079,0.966958211856171,1.0,0.9329608938547486,0.9274447949526814,0.904862579281184,0.9937641723356009,0.9943396226415094,0.9746835443037974
2,0.8828677116276794,0.8284264364592997,0.7993776644483476,0.7581803264292686,0.7337330797694077,0.03659977697302746,0.9951637110991083,0.9960136674259681,0.9233919902912622,0.41975308641975306,0.5680933852140078,0.6210762331838565,0.6810897435897436,0.9887196841511562,0.847972972972973,0.7924528301886793,0.9810730118519859,0.9626759449628342,0.68,0.9299363057324841,0.9518900343642611,0.869120654396728,0.9988603988603989,0.974757281553398,1.0
3,0.9186775208303656,0.8568695463420025,0.8244081117538034,0.7790718626685565,0.7629105703396871,0.031270647794025205,0.9959142418804914,0.9979609082224998,0.933252427184466,0.5308641975308642,0.622568093385214,0.6659192825112108,0.6682692307692307,0.9819514946418499,0.9138513513513513,0.7122641509433962,0.9827065356994266,0.9726482213438735,0.9772727272727273,0.898876404494382,0.9867109634551495,0.9349775784753364,1.0,0.9944852941176471,0.9869281045751634
4,0.9097665999872626,0.8430823557902409,0.8102650043733468,0.7654480965069221,0.735670109299676,0.03356173489735932,0.9954937936190336,0.997409802336689,0.9189927184466019,0.345679012345679,0.6809338521400778,0.6704035874439462,0.655448717948718,0.9847715736040609,0.9070945945945946,0.7452830188679245,0.9804257931706964,0.9730163829103758,1.0,0.9162303664921466,0.9771241830065359,0.927437641723356,1.0,1.0,0.9937106918238994
5,0.8304159325101044,0.7739239953515125,0.7474098666411148,0.7099237346083838,0.5885491053597323,0.04309101766823952,0.9940169530539342,0.9950951576162833,0.8898665048543689,0.06172839506172839,0.5836575875486382,0.6995515695067265,0.6442307692307693,0.9746192893401016,0.8378378378378378,0.7216981132075472,0.9761235448877356,0.9597513089005235,1.0,0.8982035928143712,0.9341317365269461,0.786692759295499,0.9994216310005783,0.9802371541501976,0.9870967741935484
6,0.9023824812154619,0.8377126049280152,0.8066128099098113,0.7649934634041485,0.7297354219030026,0.033256769101986196,0.9956652669249644,0.9961055184069366,0.9387135922330098,0.32098765432098764,0.7626459143968871,0.6121076233183856,0.6458333333333334,0.9853355893965031,0.9239864864864865,0.7122641509433962,0.983066826208347,0.9608695652173913,1.0,0.9116279069767442,0.9254237288135593,0.9285714285714286,1.0,1.0,1.0
7,0.8927436405890048,0.826139240756709,0.795167229942644,0.7532637977601944,0.7014539964850849,0.034446114923227564,0.9953511735405774,0.9976302446910132,0.9086771844660194,0.2222222222222222,0.6342412451361867,0.7040358744394619,0.6682692307692307,0.9842075578116187,0.9324324324324325,0.7452830188679245,0.9800054136966525,0.9731925264012997,1.0,0.9106145251396648,0.9781931464174455,0.9065217391304348,0.995436394751854,0.9963898916967509,1.0
8,0.8932869546987925,0.8301376244903387,0.8012216497529038,0.7625381061810619,0.7029176147951122,0.02968953672931899,0.9961884779777935,0.9971526195899773,0.9487257281553398,0.19753086419753085,0.7470817120622568,0.6883408071748879,0.6458333333333334,0.9864636209813875,0.9239864864864865,0.7405660377358491,0.9843143655024843,0.9730823090088688,1.0,0.9186602870813397,0.9903225806451613,0.8915929203539823,1.0,1.0,1.0
9,0.8459589861147562,0.7771984560191038,0.7458513625110126,0.7032762808743632,0.6005416430851074,0.036353689392050324,0.9950136453329841,0.9975567639062385,0.9161104368932039,0.08641975308641975,0.5603112840466926,0.5964125560538116,0.6586538461538461,0.9853355893965031,0.8496621621621622,0.6981132075471698,0.9784676925294605,0.975605815831987,1.0,0.9290322580645162,0.9366197183098591,0.8652631578947368,1.0,0.9901574803149606,0.9932885906040269
std,0.02591359170509247,0.02526374776152065,0.024356095213775814,0.023360554341904625,0.05417272756457953,0.0035485665177578418,0.0005758403978327773,0.0008871796815692744,0.01695406158040057,0.13671968592500866,0.06758005509422269,0.0366535355819183,0.016232637515513584,0.003818682657599704,0.03343613355925379,0.025066660859597033,0.0023817530018367724,0.006146636919470572,0.0954831558854819,0.01253522167761155,0.02387021463199717,0.042362962318083584,0.0021372108707921954,0.008132543161128686,0.008059398956748443
mean,0.8849454497703529,0.8207876354692137,0.7899720552218193,0.7479111847786803,0.6941346311354378,0.03502115849465306,0.9953183429314348,0.9967631714306708,0.9220570388349515,0.2666666666666667,0.6400778210116731,0.6538116591928251,0.658653846153846,0.984545967287084,0.8907094594594593,0.7339622641509435,0.9807159402506722,0.967726604198543,0.9657272727272727,0.9145550824674068,0.9559750920855861,0.8935786379868607,0.9987482596948432,0.9922747676855416,0.9935707705500437
