,AvF0.5,AvF1,AvF1.5,CBA,mGM,CEN,AvACC,Recall_0,Recall_1,Recall_2,Recall_3,Recall_4,Recall_5,Recall_6,Recall_7,Recall_8,Precision_0,Precision_1,Precision_2,Precision_3,Precision_4,Precision_5,Precision_6,Precision_7,Precision_8
0,0.8186193926349952,0.7195698183424462,0.6785086528486877,0.6257043881592892,0.5376262928324838,0.05063200908358711,0.9918654508520012,0.9967852156661033,0.8285800970873787,0.13580246913580246,0.2490272373540856,0.594170403587444,0.453525641025641,0.9763113367174281,0.7466216216216216,0.6839622641509434,0.9633384227532579,0.9585819585819586,1.0,0.9411764705882353,1.0,0.9188311688311688,1.0,0.9866071428571429,0.9177215189873418
1,0.6758356446495798,0.5690782017571496,0.5293096150935606,0.479899897215895,0.3021435520042017,0.06431068252942189,0.9884142883820437,0.9958483356602249,0.7519720873786407,0.13580246913580246,0.25680933852140075,0.257847533632287,0.3733974358974359,0.9780033840947546,0.6030405405405406,0.014150943396226415,0.9480753423459661,0.9488897396630934,1.0,0.8918918918918919,0.9349593495934959,0.7564935064935064,1.0,1.0,1.0
2,0.8025748929795322,0.6832346450440595,0.6357359131533807,0.5759818281898573,0.5001484762050106,0.05482558403724627,0.990987284314256,0.9970791388052025,0.820995145631068,0.16049382716049382,0.35019455252918286,0.2937219730941704,0.3766025641025641,0.979131415679639,0.6773648648648649,0.5801886792452831,0.9603659076030221,0.9541607898448519,1.0,0.967741935483871,0.9703703703703703,0.9108527131782945,0.9639089394780678,1.0,1.0
3,0.8277205475496164,0.7361148929018972,0.6965673038738353,0.6445561074874113,0.568738475507189,0.05094123529455814,0.9919667105718237,0.9965464031155853,0.8229672330097088,0.14814814814814814,0.311284046692607,0.5493273542600897,0.625,0.9808234630569655,0.6773648648648649,0.7216981132075472,0.9643917441467708,0.961708916858713,1.0,0.9090909090909091,0.9423076923076923,0.851528384279476,0.9982778415614236,0.9975124378109452,0.9622641509433962
4,0.7636065682137892,0.6542796637375659,0.6109661886547326,0.5566735865926087,0.4410214669777039,0.0572396906897238,0.9902573922899425,0.9966749944889411,0.7979368932038835,0.07407407407407407,0.29571984435797666,0.23318385650224216,0.3814102564102564,0.9785673998871969,0.6841216216216216,0.6084905660377359,0.9565577672384915,0.946894689468947,1.0,0.8837209302325582,0.8666666666666667,0.9260700389105059,1.0,0.9975369458128078,1.0
5,0.7025572243324055,0.5966642926791231,0.557982283856081,0.510021390990804,0.3357721753153752,0.05919642270657709,0.9896526769842962,0.9966749944889411,0.7753337378640777,0.14814814814814814,0.22957198443579765,0.23542600896860988,0.5288461538461539,0.9768753525098702,0.7195945945945946,0.02358490566037736,0.952811632889607,0.9544351073762839,1.0,0.8939393939393939,0.963302752293578,0.9141274238227147,0.9988465974625144,0.993006993006993,1.0
6,0.7290928127047178,0.6099740560432365,0.5660920189770633,0.5124846437285435,0.4087832515153997,0.06690063334745669,0.9881008473343252,0.9936439121169814,0.7384708737864077,0.13580246913580246,0.31906614785992216,0.21076233183856502,0.4551282051282051,0.979131415679639,0.6655405405405406,0.16037735849056603,0.9480824510972446,0.9298949379178606,1.0,0.8913043478260869,0.831858407079646,0.8304093567251462,0.998849252013809,0.9949494949494949,1.0
7,0.8025775796171717,0.6962421215092283,0.6513161453354105,0.5925178737709892,0.5099190051559129,0.05843647800273205,0.9897335267728009,0.9970791388052025,0.7475728155339806,0.1111111111111111,0.2918287937743191,0.515695067264574,0.5,0.975747320924986,0.606418918918919,0.6320754716981132,0.9522113647128998,0.9700787401574803,1.0,0.9868421052631579,0.9019607843137255,0.859504132231405,0.9994222992489891,0.9944598337950139,0.9781021897810219
8,0.7747353139519957,0.658389572625994,0.6138128228949278,0.5586717103080014,0.45523265615622094,0.05621316256661767,0.9904194503277759,0.9968954368432655,0.7824635922330098,0.13580246913580246,0.2801556420233463,0.5224215246636771,0.49038461538461536,0.9836435420191766,0.7212837837837838,0.15566037735849056,0.9562298461701115,0.9558932542624166,1.0,0.9,0.9957264957264957,0.9386503067484663,0.9971412235563178,0.9861431870669746,1.0
9,0.6289518960018127,0.5316713329584808,0.4965501447407166,0.45177687699858254,0.2295839859382988,0.06634687539019396,0.9873879884990464,0.9966566242927475,0.7143507281553398,0.18518518518518517,0.1828793774319066,0.03139013452914798,0.42628205128205127,0.979131415679639,0.5945945945945946,0.009433962264150943,0.9427444438652279,0.9467229593888219,1.0,0.9791666666666666,0.7,0.8580645161290322,0.9965556831228473,0.9971671388101983,1.0
std,0.06312408546873712,0.06354805868535057,0.061797105524344004,0.05902135206270245,0.10427296632455284,0.0055295255199868075,0.001468087592480241,0.0009723093392852949,0.03751066405460479,0.02785312141402093,0.04602144087303855,0.17763791640029805,0.07504056677381708,0.00218515179106718,0.05049630417013654,0.292798411157509,0.006680860787910081,0.010183951957874795,0.0,0.038239722686882256,0.08703157626030418,0.05337218496769452,0.010524599562574819,0.004689453530784797,0.02580571889725339
mean,0.7526271872635617,0.6455218597599182,0.6036841089428395,0.5508288303441982,0.42889693376077964,0.05850427736481145,0.9898785616328312,0.9963884194283195,0.7780643203883496,0.137037037037037,0.27665369649805444,0.3443946188340807,0.4610576923076922,0.9787366046249295,0.6695945945945946,0.3589622641509434,0.9544808922822601,0.9527261093520428,1.0,0.924487465098277,0.910715251835167,0.8764531547349715,0.9953001836443971,0.9947383174109572,0.9858087859711759
