,AvF0.5,AvF1,AvF1.5,CBA,mGM,CEN,AvACC,Recall_0,Recall_1,Recall_2,Recall_3,Recall_4,Recall_5,Recall_6,Recall_7,Recall_8,Precision_0,Precision_1,Precision_2,Precision_3,Precision_4,Precision_5,Precision_6,Precision_7,Precision_8
0,,,,0.4685574403861914,0.0,0.08500447026399578,0.9822560922252396,0.9870857520758322,0.5571905339805825,0.12345679012345678,0.46303501945525294,0.21973094170403587,0.08653846153846154,0.9875916525662719,0.8631756756756757,0.0,0.9262234326788823,0.9430038510911425,1.0,0.4779116465863454,0.2978723404255319,0.3176470588235294,0.9776661083193746,0.9190647482014388,0.0
1,0.7378651336281425,0.6593718782104837,0.6284375038288613,0.5827229830364309,0.49341337901562393,0.07691439650449583,0.9844723319072765,0.9896575795429495,0.5784283980582524,0.18518518518518517,0.3540856031128405,0.6098654708520179,0.14423076923076922,0.975747320924986,0.9273648648648649,0.5801886792452831,0.9337874612171321,0.9350171652770967,0.9375,0.91,0.5654885654885655,0.47619047619047616,0.9953970080552359,0.9384615384615385,0.924812030075188
2,0.720955219928935,0.6188564126315845,0.5764319931610739,0.5196813408652435,0.39698535052349937,0.07826501816828668,0.9831316903432251,0.9926886619149092,0.5347390776699029,0.1728395061728395,0.29961089494163423,0.48654708520179374,0.05128205128205128,0.9830795262267343,0.7195945945945946,0.5047169811320755,0.9247223505655663,0.9552845528455285,1.0,0.7938144329896907,0.9601769911504425,0.1306122448979592,0.9937286202964652,0.9703872437357631,0.963963963963964
3,0.8069191108409424,0.7142941088384865,0.674048451120336,0.6160474928147034,0.5752532423826301,0.07279635324072468,0.9856928949782431,0.9921742964214858,0.5904126213592233,0.2962962962962963,0.32684824902723736,0.5493273542600897,0.42948717948717946,0.9813874788494078,0.856418918918919,0.6132075471698113,0.937803861647451,0.9553264604810997,1.0,0.9882352941176471,0.839041095890411,0.6247086247086248,0.9446254071661238,0.9319852941176471,0.9923664122137404
4,0.7111679277326891,0.6409484302403455,0.6123499072263883,0.5711643322472982,0.44497442105283563,0.07484668040083116,0.9834660377785488,0.9936255419207877,0.4995449029126214,0.06172839506172839,0.36964980544747084,0.5874439461883408,0.1858974358974359,0.9774393683023125,0.9155405405405406,0.6179245283018868,0.925310067573347,0.9865188735769922,1.0,0.5588235294117647,0.6968085106382979,0.6010362694300518,0.9863403528742174,0.9217687074829932,1.0
5,0.7868390726417567,0.6921498478446275,0.6530422463666958,0.5989203459044912,0.5456716606134332,0.07231965876536188,0.9855099142884234,0.9940480564332427,0.5776699029126213,0.24691358024691357,0.3657587548638132,0.6143497757847534,0.2980769230769231,0.9740552735476593,0.8699324324324325,0.5330188679245284,0.936874545517504,0.9432747089422838,1.0,0.9894736842105263,0.5879828326180258,0.7072243346007605,0.997689196995956,0.9735349716446124,0.9912280701754386
6,,,,0.5377692773698606,0.0,0.07577850327658384,0.9851037079359133,0.9903740171945037,0.6069478155339806,0.18518518518518517,0.31906614785992216,0.6188340807174888,0.3333333333333333,0.9751833051325437,0.8648648648648649,0.0,0.9365087637014262,0.9151418115279049,1.0,0.9879518072289156,0.6202247191011236,0.8813559322033898,0.984624145785877,0.9499072356215214,0.0
7,0.7545007257410067,0.6665059291365599,0.6315862759430356,0.5824593408866598,0.4921197842819714,0.07164668822504693,0.9859971725523857,0.9934785803512381,0.6104368932038835,0.1111111111111111,0.33852140077821014,0.6322869955156951,0.25,0.9796954314720813,0.8327702702702703,0.5754716981132075,0.9387106852739012,0.9594659036719122,1.0,0.8877551020408163,0.6588785046728972,0.7572815533980582,0.9528250137136588,0.9554263565891473,0.9606299212598425
8,0.5807771847367463,0.5426019992578222,0.5299966219490049,0.48788659421756175,0.2681950028448389,0.08737811317999064,0.9814647071412695,0.9815563230215298,0.5538531553398058,0.3333333333333333,0.35797665369649806,0.5560538116591929,0.02403846153846154,0.9802594472645234,0.8952702702702703,0.009433962264150943,0.9265450509814802,0.9751602564102564,1.0,0.39655172413793105,0.31794871794871793,0.07425742574257425,0.9725797425853385,0.9281961471103327,1.0
9,0.7491589573210078,0.6799069668660103,0.6500747881508429,0.6053291530479679,0.5506106541879486,0.07367157004629384,0.9850661249388393,0.9909986038650893,0.5797936893203883,0.2962962962962963,0.3035019455252918,0.6121076233183856,0.28525641025641024,0.9870276367738297,0.9003378378378378,0.5801886792452831,0.9355554784780271,0.9772436716952186,1.0,0.35294117647058826,0.5833333333333334,0.6544117647058824,0.983698707138842,0.9638336347197106,1.0
std,0.06410145673734598,0.04965437554060385,0.04355775205814054,0.04842657358422854,0.20635296670141284,0.005085624931872385,0.0014749058973959391,0.0036248656528046178,0.03203550199639449,0.08518518518518517,0.04451640762942744,0.11731000843229385,0.1258233281352243,0.004489509022477703,0.05557817492615889,0.26265114992608307,0.005468751400883758,0.02045014706573248,0.018749999999999996,0.24656283513825303,0.19259564993875256,0.25507744116071285,0.01688888152772743,0.019111325978723837,0.3923070634831837
mean,0.7310229165714033,0.6518294466282399,0.6194959734682797,0.5570538300776409,0.37672234949027816,0.07686214520716114,0.9842160674089364,0.9905687412741567,0.5689016990291262,0.20123456790123456,0.3498054474708171,0.5486547085201793,0.20881410256410254,0.980146644106035,0.864527027027027,0.4014150943396227,0.9322041697634719,0.9545437255519437,0.99375,0.7343458397194225,0.6127755611267346,0.5224725684701306,0.978917430293109,0.9452565877684705,0.7833000397688173
