,AvACC,mGM,CEN,CBA,Recall_0,Recall_1,Recall_2,Recall_3,Recall_4,Recall_5,Recall_6,Recall_7,Recall_8,Recall_9,Recall_10,Recall_11,Recall_12,Precision_0,Precision_1,Precision_2,Precision_3,Precision_4,Precision_5,Precision_6,Precision_7,Precision_8,Precision_9,Precision_10,Precision_11,Precision_12
0,0.996831556,0.652090531,0.032418794,0.706471404,0.993718675,0.955280861,0.871403813,0.794837758,0.246503497,0.899544293,0.974213017,0.720754717,0.525528169,0.758251303,0.402887139,0.316129032,0.741935484,0.990104077,0.942035956,0.872734847,0.874269955,0.471571906,0.94332937,0.983793892,0.816239316,0.537837838,0.808333333,0.720657277,0.942307692,1
1,0.996810175,0.658966942,0.032405601,0.726852017,0.9934046,0.95025227,0.885753899,0.803982301,0.157342657,0.897349226,0.990467046,0.705660377,0.430457746,0.746666667,0.312335958,0.84516129,0.784946237,0.989724775,0.955135574,0.854305964,0.820933735,0.371900826,0.959163299,0.970890756,0.719230769,0.521321962,0.811083123,0.532438479,0.942446043,1
2,0.996830027,0.650209832,0.032598774,0.73027029,0.99340815,0.94445005,0.884436742,0.825516224,0.304195804,0.91237079,0.970509567,0.658490566,0.464788732,0.754198031,0.122047244,0.75483871,0.946236559,0.990151117,0.954061263,0.848243077,0.851513768,0.474114441,0.951589344,0.967986866,0.78959276,0.565916399,0.8140625,0.607843137,0.951219512,0.988764045
3,0.996761972,0.670252632,0.032787239,0.705917547,0.99352622,0.957198116,0.861039861,0.814454277,0.157342657,0.894009114,0.97743639,0.820754717,0.481514085,0.753618992,0.371391076,0.580645161,0.935483871,0.989290849,0.949231975,0.865268731,0.843310935,0.555555556,0.964991842,0.97382986,0.415076336,0.518975332,0.796267972,0.579918033,0.97826087,0.945652174
4,0.996770414,0.627242847,0.033099857,0.674586757,0.994068162,0.955919946,0.856048527,0.848230088,0.269230769,0.898788485,0.953775461,0.783018868,0.303697183,0.75014476,0.276902887,0.561290323,0.52688172,0.989073484,0.937581446,0.887264236,0.85149541,0.459701493,0.952955595,0.983035272,0.597982709,0.559157212,0.808929129,0.737762238,1,0.680555556
5,0.996777058,0.585620329,0.032912194,0.657255536,0.992964207,0.954372688,0.871334489,0.795427729,0.174825175,0.90574636,0.988683904,0.698113208,0.374119718,0.791835553,0.385826772,0.4,0.290322581,0.990086141,0.938929151,0.865276057,0.906081989,0.308641975,0.946875508,0.975306136,0.827740492,0.62962963,0.750342936,0.641921397,1,0.870967742
6,0.996883318,0.70024835,0.031848354,0.745754518,0.993726939,0.95247225,0.847417678,0.88259587,0.276223776,0.90934756,0.988135244,0.730188679,0.408450704,0.770990156,0.267716535,0.909677419,0.989247312,0.990466529,0.943192606,0.876240995,0.816705336,0.379807692,0.954967784,0.968605042,0.637561779,0.586599241,0.816620669,0.778625954,0.927631579,0.948453608
7,0.99673149,0.64666532,0.033154883,0.712982634,0.993274731,0.950840901,0.873760832,0.877433628,0.211538462,0.886717795,0.989506893,0.728301887,0.403169014,0.729299363,0.270341207,0.961290323,0.462365591,0.989359137,0.951785323,0.846275221,0.845628998,0.487903226,0.952573134,0.987745601,0.724202627,0.518686297,0.819720143,0.573816156,0.973856209,0.826923077
8,0.996837026,0.584460947,0.03224845,0.690602244,0.993638387,0.952791793,0.871334489,0.835840708,0.174825175,0.897832611,0.986557849,0.709433962,0.355633803,0.802258251,0.362204724,0.122580645,0.967741935,0.990103285,0.949709151,0.861421424,0.832280805,0.392156863,0.953560298,0.98204533,0.817391304,0.434876211,0.809760374,0.546534653,1,0.9375
9,0.996802968,0.701595912,0.032720793,0.728246187,0.992621804,0.956273125,0.881455806,0.826253687,0.466783217,0.898944092,0.978396543,0.711320755,0.458626761,0.795020266,0.313648294,0.6,0.720430108,0.990431513,0.948900237,0.859528155,0.866377977,0.461139896,0.94382206,0.979874991,0.625207297,0.544409613,0.785693848,0.783606557,0.978947368,0.930555556
std,4.21E-05,0.038209758,0.000382133,0.025907896,0.00039071,0.003599767,0.011793289,0.029605723,0.089766386,0.00707258,0.010974642,0.043029211,0.062221408,0.022733193,0.07787904,0.257026946,0.228415546,0.000464457,0.00589775,0.012051917,0.025161068,0.068049443,0.006321446,0.006578408,0.123929509,0.048511461,0.019675504,0.091745707,0.025562082,0.093443078
mean,0.9968036,0.647735364,0.032619494,0.707893913,0.993435188,0.9529852,0.870398614,0.830457227,0.243881119,0.900065033,0.979768191,0.726603774,0.420598592,0.765228334,0.308530184,0.60516129,0.73655914,0.989879091,0.947056268,0.863655871,0.850859891,0.436249387,0.952382824,0.977311375,0.697022539,0.541740973,0.802081403,0.650312388,0.969466927,0.912937176
