,AvF0.5,AvF1,AvF1.5,CBA,mGM,CEN,AvACC,Recall_0,Recall_1,Recall_2,Recall_3,Recall_4,Precision_0,Precision_1,Precision_2,Precision_3,Precision_4
0,0.9474074811780128,0.9466961503575199,0.9462427630058439,0.9453100387724567,0.9428177398803539,0.03112529862233302,0.9952815080278266,0.9985114820075758,0.9739427776871289,0.9532860349658371,0.8109243697478992,0.9909429223293948,0.9979001972631585,0.97610329406244,0.9536454235510097,0.8212765957446808,0.9904968141982591
1,0.9466468548890707,0.9421851064153136,0.9394490843367912,0.9347086553396032,0.9300842696752044,0.027576225022022238,0.9958881710918213,0.9985973011363637,0.977057158464518,0.9569563008962658,0.7507002801120448,0.9929844632489759,0.998384577149755,0.9809333200381761,0.9560007857002554,0.8220858895705522,0.991400475271443
2,0.9567773748613861,0.9550811247854905,0.9540084246645921,0.9519865656582699,0.9504060787346313,0.028266542485597956,0.995742838544135,0.9989938446969697,0.976652785561759,0.9551047828152905,0.8389355742296919,0.9918897239152875,0.9985712722184918,0.9794599978656042,0.9565624076930651,0.8643578643578643,0.9906684134661163
3,0.9496112851344283,0.9481134028783099,0.9471637482667484,0.9452798455124338,0.9429509085080154,0.03115240610515542,0.9953470699591875,0.9981326941287879,0.9750211054278194,0.9528108666087726,0.8109243697478992,0.9914163231223412,0.9974537926955493,0.9777958010515158,0.955770684724368,0.8318965517241379,0.9901890930821285
4,0.9609078032841831,0.954043494011833,0.949898020845672,0.9432603962748909,0.9404159676876874,0.028276412183301246,0.9957535174731833,0.998831084280303,0.9773267403996907,0.9527125559142076,0.7969187675070029,0.9924124372908325,0.9983258945076917,0.978715392976648,0.9576553132617432,0.9031746031746032,0.991018023045862
5,0.9475185776238734,0.9456581155552979,0.9444872863989975,0.9417558666904149,0.93922990992563,0.029131025857038043,0.9956340731607509,0.998834043560606,0.9748508431529735,0.9561862004555062,0.7913165266106442,0.9920540991906162,0.997859571322986,0.9800794539502308,0.9536236620638942,0.8212209302325582,0.9911287303015772
6,0.933288655552538,0.9337154489237232,0.9339912673394861,0.9318788122753183,0.9292285908845652,0.029679451231914816,0.9955561784858127,0.998541074810606,0.9743542448513397,0.9582179548098507,0.7492997198879552,0.9917680862115444,0.9977999296214045,0.9799925792733396,0.9505550769630869,0.745125348189415,0.9915594617513459
7,0.9576999963371862,0.9541680077207984,0.9519724317630146,0.9483179505700127,0.9460862671704302,0.02831818624595395,0.9957771925259635,0.9988991477272727,0.9784547279705447,0.9545968442267044,0.819327731092437,0.991547823342604,0.9982197249741239,0.9797544966328531,0.9572475436232789,0.874439461883408,0.9909907245862535
8,0.9577803147912493,0.9562915762203957,0.9553480520193354,0.9536309913630149,0.9521258597709478,0.028594010731693306,0.995741850354427,0.9986535274621212,0.9778233387013245,0.955170323278334,0.84593837535014,0.9916924735848932,0.9983285507203503,0.9789345094780503,0.9579485325533244,0.867816091954023,0.9908943687649255
9,0.9610568214594707,0.9572681900323434,0.9549192533390883,0.9509807896465172,0.9491777032788391,0.02808515012423203,0.9958241447103913,0.9987186316287879,0.9770004043729028,0.956415592076158,0.8319327731092437,0.9923499746862076,0.9983847730842846,0.979550756799818,0.9573567761722787,0.8918918918918919,0.9911704055899968
std,0.00821937303417144,0.007119973824529144,0.006649872418620079,0.0067900802160862144,0.00746742593114138,0.0011907854334050618,0.000191675137760482,0.00023422100705128954,0.0014918913043608035,0.0017477358671273788,0.03182848220910674,0.0005476385246890828,0.00033195135998587513,0.0012932328737342766,0.0022320548775396336,0.043749920001267185,0.0003908830552449652
mean,0.9518695165111397,0.9493220616901026,0.9477480331979569,0.9447109912102931,0.9422523295516305,0.029020470860924196,0.99565465443335,0.9986712831439395,0.9762484126590001,0.9551457456046928,0.8046218487394958,0.9919058326922696,0.9981228283557796,0.9791319602128675,0.9556366206306304,0.8443285228723134,0.9909516510057909
