,AvF0.5,AvF1,AvF1.5,CBA,mGM,CEN,AvACC,Recall_0,Recall_1,Recall_2,Recall_3,Recall_4,Precision_0,Precision_1,Precision_2,Precision_3,Precision_4
0,0.9747816571138266,0.9766864029726448,0.9779380281397371,0.9718703602972892,0.9798268120034039,0.018928235757620582,0.9973403903265743,0.999514678030303,0.9853077845330912,0.9688682800543986,0.9509803921568627,0.9952890046090828,0.9995412993362157,0.9877041893938855,0.974810003461976,0.9126344086021505,0.9930266502665027
1,0.9754657210968471,0.9767939989015805,0.97766257742821,0.9728839444175822,0.9789068289431849,0.020073593715914995,0.9971457807996345,0.999508759469697,0.9838534609354493,0.967573855909292,0.9495798319327731,0.994887928937281,0.9995205909160857,0.9873276236446609,0.9726577941757807,0.9211956521739131,0.9922879935995593
2,0.9752164148369051,0.976260351227257,0.9769397659431641,0.9732354162179115,0.9778252121905119,0.019761628481798313,0.9971971916888599,0.9994880445075758,0.984201079746593,0.9691468270223329,0.9425770308123249,0.9948057412996166,0.9995708687983142,0.987170455758352,0.9725730071033939,0.920656634746922,0.9926844950661348
3,0.9765468095411591,0.975385374854288,0.9746450870385692,0.9728284857910122,0.9730808895432647,0.02091426397618289,0.9970157090310309,0.9994850852272728,0.9830163380841237,0.9656076420179909,0.9243697478991597,0.9948583413877218,0.9993520039057299,0.9868177415679125,0.972491295235895,0.9361702127659575,0.9917966970480564
4,0.9737997519899274,0.9768355955289516,0.97884504937687,0.9705182091447895,0.9820697123666681,0.020074867379693516,0.9971576227875107,0.9994318181818181,0.9837044814449591,0.9693926037587456,0.9635854341736695,0.9947268411674589,0.9995116797329332,0.9876703254435762,0.9719566288812223,0.9076517150395779,0.9924104272988468
5,0.974734752416658,0.9763614868511039,0.9774297169901776,0.9717184962872583,0.9790061885797462,0.019902244725261524,0.997192741554948,0.9993371212121213,0.984442284635958,0.9673772345201619,0.9495798319327731,0.9951706544108462,0.9994672601782902,0.987061208521535,0.9744182208285196,0.9149797570850202,0.9924560839830303
6,0.9772866031647742,0.9772370604193702,0.9772064691960735,0.9757235381217301,0.9769510889238858,0.02188609890873084,0.9968585036953936,0.9991921164772727,0.9814839776105109,0.9665743638478805,0.9439775910364145,0.9945690409031435,0.9994464737119414,0.986755203058357,0.9690354162559958,0.9400278940027894,0.9913393386701969
7,0.9739202626555985,0.9764981853779942,0.978195684605522,0.9712363535281184,0.9808473747236556,0.01895822788918954,0.997339946005134,0.9994732481060606,0.9844210018516022,0.9721944585538497,0.9537815126050421,0.9950687417401424,0.9995619876291101,0.9873769896895479,0.9742057302356129,0.9067909454061251,0.993302113722955
8,0.9773435930566249,0.9790640108018689,0.9801902948752466,0.9747697845767963,0.9819323178185954,0.020314422725819445,0.9971224331243953,0.9994258996212121,0.9833710511567193,0.9690649014435287,0.9635854341736695,0.9947104036399261,0.9994761810342021,0.9872300723605493,0.9724108449384259,0.9297297297297298,0.992257340932792
9,0.9779924864400563,0.9768200901566466,0.9760729222508896,0.9742964863356564,0.9746471345234481,0.024132087600027143,0.9964256491836512,0.999319365530303,0.9811292645379153,0.958086873883764,0.9425770308123249,0.9933099262941265,0.9994761252208709,0.9835644690989261,0.9658732387386644,0.9546099290780142,0.9903698969139748
std,0.0014153698519160614,0.000889202938303985,0.0014261691766484293,0.0015630934382887124,0.0028156865261169937,0.001463955495568372,0.00025599607138667905,9.878678709337238e-05,0.001248891485253491,0.0035439308509613407,0.010790678030396761,0.0005206280595639238,6.126791197560206e-05,0.0011402514551417152,0.002570788121070777,0.014716757258616367,0.0008065868347348948
mean,0.9757088052312378,0.9767942557091708,0.9775125595844459,0.9729081074718143,0.9785093559616364,0.02049456711602388,0.9970795968197133,0.9994176136363636,0.9834930724536921,0.9673887041011945,0.9484593837535014,0.9947396624389345,0.9994924470463694,0.9868678278537303,0.9720432179855487,0.9244446878630199,0.9921931037502049
