,AvF0.5,AvF1,AvF1.5,CBA,mGM,CEN,AvACC,Recall_0,Recall_1,Recall_2,Recall_3,Recall_4,Precision_0,Precision_1,Precision_2,Precision_3,Precision_4
0,0.998360925,0.998345206,0.998335442,0.997500416,0.998319901,0.005577594,0.99933464,0.998154495,0.998957092,0.997312631,0.999747793,0.997429636,0.997234295,0.997916357,1,0.997609161,0.999098867
1,0.998360925,0.998345206,0.998335442,0.997500416,0.998319901,0.005577594,0.99933464,0.998154495,0.998957092,0.997312631,0.999747793,0.997429636,0.997234295,0.997916357,1,0.997609161,0.999098867
2,0.998360925,0.998345206,0.998335442,0.997500416,0.998319901,0.005577594,0.99933464,0.998154495,0.998957092,0.997312631,0.999747793,0.997429636,0.997234295,0.997916357,1,0.997609161,0.999098867
3,0.998360925,0.998345206,0.998335442,0.997500416,0.998319901,0.005577594,0.99933464,0.998154495,0.998957092,0.997312631,0.999747793,0.997429636,0.997234295,0.997916357,1,0.997609161,0.999098867
4,0.998360925,0.998345206,0.998335442,0.997500416,0.998319901,0.005577594,0.99933464,0.998154495,0.998957092,0.997312631,0.999747793,0.997429636,0.997234295,0.997916357,1,0.997609161,0.999098867
5,0.998360925,0.998345206,0.998335442,0.997500416,0.998319901,0.005577594,0.99933464,0.998154495,0.998957092,0.997312631,0.999747793,0.997429636,0.997234295,0.997916357,1,0.997609161,0.999098867
6,0.998360925,0.998345206,0.998335442,0.997500416,0.998319901,0.005577594,0.99933464,0.998154495,0.998957092,0.997312631,0.999747793,0.997429636,0.997234295,0.997916357,1,0.997609161,0.999098867
7,0.998360925,0.998345206,0.998335442,0.997500416,0.998319901,0.005577594,0.99933464,0.998154495,0.998957092,0.997312631,0.999747793,0.997429636,0.997234295,0.997916357,1,0.997609161,0.999098867
8,0.998360925,0.998345206,0.998335442,0.997500416,0.998319901,0.005577594,0.99933464,0.998154495,0.998957092,0.997312631,0.999747793,0.997429636,0.997234295,0.997916357,1,0.997609161,0.999098867
9,0.998360925,0.998345206,0.998335442,0.997500416,0.998319901,0.005577594,0.99933464,0.998154495,0.998957092,0.997312631,0.999747793,0.997429636,0.997234295,0.997916357,1,0.997609161,0.999098867
std,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mean,0.998360925,0.998345206,0.998335442,0.997500416,0.998319901,0.005577594,0.99933464,0.998154495,0.998957092,0.997312631,0.999747793,0.997429636,0.997234295,0.997916357,1,0.997609161,0.999098867
