,AvF0.5,AvF1,AvF1.5,CBA,mGM,CEN,AvACC,Recall_0,Recall_1,Recall_2,Recall_3,Recall_4,Precision_0,Precision_1,Precision_2,Precision_3,Precision_4
0,0.759526782471054,0.7524687459365553,0.7567390386919812,0.6538807747122337,0.7710607256247541,0.3049686825484245,0.8904611827180625,0.5919282511210763,0.6997747747747748,0.8128041931860727,1.0,0.8095238095238095,0.8712871287128713,0.8267695582756786,1.0,0.5223534373681991,0.642543217111046
1,0.7524790733109921,0.7451014373502615,0.7492803785798514,0.6488807501868308,0.7618968192292136,0.3045292321706498,0.8867740958246608,0.5787244643746886,0.6621621621621622,0.8279670535380007,1.0,0.8091546696197859,0.874294316898758,0.7798408488063661,1.0,0.5141137401411374,0.6614363307181653
2,0.7491312773633254,0.7425316864697652,0.7470415391085276,0.6440567762805174,0.762639978833231,0.31613996844489056,0.8832258531413155,0.604384653712008,0.668018018018018,0.7755522276301011,1.0,0.8239202657807309,0.8195945945945946,0.8152831225948324,1.0,0.5068549212195621,0.6654740608228981
3,0.7705332719893602,0.767939567940817,0.7748396741107141,0.6691009461889992,0.7868727970982794,0.29171921023123093,0.898095980338101,0.5538116591928252,0.7405405405405405,0.8073755147884687,1.0,0.9110372831303064,0.8599613152804643,0.8015602145294978,1.0,0.5840603631219052,0.6597166533012564
4,0.7487171097714845,0.7439785896042432,0.7496639983122453,0.6468026600184866,0.7617818858771589,0.3096388563669933,0.8860315732553223,0.5493273542600897,0.6963963963963964,0.8081242980157245,1.0,0.8298265042451088,0.8457997698504027,0.7768844221105528,1.0,0.5472823685373398,0.6328828828828829
5,0.7402295740704744,0.7334572847107839,0.7390957211796588,0.6254544814405694,0.7537322327801192,0.3159620294000423,0.8792824395011651,0.5697558545092177,0.6317567567567568,0.7905278921752152,1.0,0.8549280177187154,0.8464100666173205,0.7901408450704225,1.0,0.5273578880136257,0.6078740157480315
6,0.7368444799080468,0.7277269215202019,0.732822944256338,0.6285790859997455,0.7434981794345664,0.32212663311864764,0.8768016091588493,0.4922770303936223,0.7148648648648649,0.7738674653687757,1.0,0.8342561830933924,0.8617531617967727,0.7505320406715535,1.0,0.5094611271081859,0.6524249422632794
7,0.7429150471920953,0.7381559895341282,0.7440253046545079,0.6403560913948529,0.7568905665552065,0.31984608389204705,0.881711833802205,0.5478325859491778,0.6932432432432433,0.7802321228004493,1.0,0.8383167220376523,0.8345351043643264,0.7596248766041461,1.0,0.5420131291028446,0.6384593758785493
8,0.7403106086483706,0.7324036359031603,0.7368390797632401,0.6295991337390385,0.7521503847853929,0.32088582112406083,0.8787839655481818,0.5767314399601395,0.6786036036036036,0.7753650318232872,1.0,0.7932816537467701,0.845816587504567,0.8099462365591398,1.0,0.5134742951907131,0.6038212981174487
9,0.7505605246830352,0.7448237002857102,0.7498817420722984,0.6483578856092025,0.7622873848997781,0.30779666039400455,0.886703640704104,0.5538116591928252,0.7004504504504504,0.8118682141520029,1.0,0.8172757475083057,0.8404536862003781,0.7982546201232033,1.0,0.5296129997861877,0.6460461044645462
std,0.009623850192862412,0.010864788481386603,0.011205333758606235,0.012563161250234621,0.011090218662303994,0.009009054930397813,0.006004108869246084,0.029335195708674305,0.02861637829226517,0.01855653441682968,0.0,0.03103281256273646,0.01607337452205784,0.023105566431441894,0.0,0.022165207557594786,0.02019206119194501
mean,0.7491247749408239,0.7428587559255627,0.7480229420729362,0.6435068585570477,0.7612810955117701,0.31136131776909914,0.8847872173991969,0.5618584952665671,0.6885810810810811,0.7963684013478098,1.0,0.8321520856404578,0.8499905731820455,0.7908836785345393,1.0,0.52965842695897,0.6410678881308104
