,AvF0.5,AvF1,AvF1.5,CBA,mGM,CEN,AvACC,Recall_0,Recall_1,Recall_2,Recall_3,Recall_4,Precision_0,Precision_1,Precision_2,Precision_3,Precision_4
0,0.7375215781064617,0.73628407891525,0.7359329776313326,0.7121315041047728,0.7320088559392923,0.41410768882638344,0.8755246539101128,0.7042904290429043,0.6231560125167636,0.8641385488205434,0.7493064312736444,0.7395886889460154,0.6218673505070521,0.7021490933512424,0.8267390372803886,0.7689918467710625,0.7743237787646347
1,0.7526722519287488,0.7522707798884289,0.7521772122296864,0.7362438405073346,0.7512091782489703,0.40162115439959556,0.8835262276702247,0.7031023102310231,0.7302935479064223,0.8251716930426993,0.742875157629256,0.760025706940874,0.6556690877754524,0.715787936322477,0.8068613138686132,0.7884100642398287,0.7988381518508512
2,0.7191645430545859,0.7175715445960197,0.7173859430814362,0.6826454886203575,0.712323022360596,0.4309548804928786,0.8650742989316329,0.6702310231023102,0.6106392489941886,0.8808599581964766,0.7667087011349306,0.6634961439588689,0.5989147103928276,0.7235169491525424,0.8084406686763497,0.7317366710795523,0.7431615318168731
3,0.7236818494980788,0.7236403492769135,0.723800837456171,0.706826334778369,0.7214791117213946,0.43246979580720557,0.8681476903875585,0.686072607260726,0.6422291759797347,0.8363690653926545,0.7102143757881463,0.7469151670951156,0.6490570750593231,0.6783128737802959,0.7912429378531074,0.7595414699932569,0.7413881092115335
4,0.7278743070920053,0.7279074047124853,0.7280165723568237,0.7182099229768708,0.7249323757280565,0.4252191713072474,0.8705771521356116,0.6521452145214521,0.65742810311429,0.8420424007166318,0.7230769230769231,0.7669665809768638,0.6399792719264153,0.7006511037001747,0.8055992001142694,0.7210764587525151,0.7724271844660194
5,0.7317599887632651,0.7318116532010175,0.7321993171825418,0.70856951806756,0.7296634217385288,0.41998381592057515,0.8722535137946063,0.6506930693069307,0.7226940843391447,0.8763810092564944,0.7233291298865069,0.6938303341902313,0.6314373558800922,0.6637470918297523,0.8305036785512168,0.7609445476253648,0.7739068100358423
6,0.716480709199972,0.7150798705584578,0.7147917772150839,0.6901485708757058,0.7098629683865149,0.4380977279792892,0.8638612679848695,0.6468646864686468,0.5938012218745343,0.8447297700806211,0.7532156368221942,0.7375321336760925,0.601965601965602,0.7195738533766702,0.7938824189701137,0.7235614778921865,0.7516374115797747
7,0.7396765486401313,0.7394735181725461,0.7394165119032033,0.7307740892118805,0.7362977572607143,0.41331413073790674,0.8769357168033917,0.66996699669967,0.6718819848010729,0.8533890713645864,0.7765447667087011,0.7254498714652956,0.6754958072674032,0.6818388023589899,0.8537714712471994,0.7331825217287772,0.7551511907947551
8,0.7308797565328725,0.7298639857352818,0.7297710516486985,0.7026255735206961,0.7260250959364097,0.4193901135353755,0.8716307652954904,0.6741914191419142,0.6529578304276561,0.8729471484025082,0.6760403530895334,0.776478149100257,0.6007528526055758,0.7127521145087834,0.807596685082873,0.7638928469649473,0.7757801463978425
9,0.7338407605159263,0.7343133612806259,0.7350250008482275,0.7147090270666341,0.7329289832551815,0.4191400759603911,0.8744236958988088,0.6671947194719472,0.6745641484130532,0.8836966258584652,0.7466582597730139,0.7122107969151671,0.6731486414491209,0.6952849024727384,0.7729172107599895,0.7476010101010101,0.7807524306044807
std,0.010045462623799952,0.010306697915544559,0.010350620805876492,0.015564191222601907,0.011314304267300634,0.010139732200396073,0.005535342797825046,0.019289744402839638,0.04210919887348622,0.01944079977929693,0.02793290329241597,0.032985844428878024,0.027378800868415203,0.0186700010429101,0.02154089783338061,0.020970081684294633,0.017351183930166682
mean,0.7313552293332048,0.7308216546337027,0.7308517201553205,0.7102883869730181,0.7276730770575659,0.4214298554966849,0.8721954982812307,0.6724752475247525,0.6579645358366861,0.857972529113168,0.7367969735182849,0.7322493573264781,0.6348287754828863,0.6993614720853667,0.8097554622404122,0.7498938915148501,0.7667366745522607
