,AvF0.5,AvF1,AvF1.5,CBA,mGM,CEN,AvACC,Recall_0,Recall_1,Recall_2,Recall_3,Recall_4,Precision_0,Precision_1,Precision_2,Precision_3,Precision_4
0,0.7369989413504058,0.7351695081573408,0.7348034745924616,0.7056618983771752,0.730939277170656,0.41203419064165486,0.8759433631088746,0.714813295034879,0.5981810049202326,0.8024802031973703,0.741109709962169,0.8204732510288066,0.65,0.7391304347826086,0.7806686046511628,0.7676332288401254,0.758350172352312
1,0.7236424232004531,0.7226384820301623,0.722210368915617,0.7052166449204179,0.7190706975879615,0.4312966462800071,0.8684270595100865,0.6814389276432773,0.6186074250782764,0.7621395487823098,0.7697351828499369,0.777391975308642,0.6451696451696451,0.6840890354492992,0.7933125972006221,0.741316492591693,0.7588501129801657
2,0.7139088199336708,0.7123856391581275,0.711761351440577,0.6935725936682005,0.70882896327633,0.44279939357133125,0.8620233179786905,0.6752838189030228,0.6202475026092142,0.7613924996264754,0.7155107187894073,0.7842078189300411,0.6047280744732974,0.7009267059814659,0.7783717733312968,0.7265044814340589,0.7659841728426077
3,0.724226396087201,0.7242970802720698,0.7247271449045395,0.6990633432856221,0.720681909837752,0.4258580371503103,0.8704436308719762,0.6501162631650937,0.6047413150439839,0.8130883012102196,0.7358133669609079,0.8265174897119342,0.6912449098312973,0.656098350048528,0.7593135203013813,0.7709076496234641,0.7453322509567436
4,0.7365384353296068,0.7346736369940524,0.7340988089468885,0.7127821240523564,0.7301446692354169,0.4142274158205944,0.8753790862556468,0.7278074134865271,0.5959445355598628,0.7991931869116988,0.7592686002522068,0.788451646090535,0.6421675114651219,0.7146433041301627,0.808983666061706,0.744988864142539,0.78161652218256
5,0.6994239569367193,0.6982226467743102,0.6978956942225769,0.6750989259391407,0.6951957251640138,0.4573640204642672,0.8539602415011688,0.6955272876487485,0.5862531683315939,0.7643806962498132,0.6983606557377049,0.7460133744855967,0.6094929881337648,0.6559893226559893,0.7353744430070432,0.7078220858895705,0.7947664063570352
6,0.7184679768028005,0.7166290924352768,0.7158042144065448,0.6969138632934039,0.713541618279185,0.44154803875895654,0.8642465610163986,0.7034605389139652,0.6317280453257791,0.7434633198864485,0.7317780580075662,0.7650462962962963,0.612553596950929,0.6700933101375929,0.7957780265472573,0.7499353838201086,0.7718956792526275
7,0.6969665404695855,0.6959096419671409,0.6955453985138925,0.6768647798381527,0.6929517317691836,0.46096721983873135,0.8530646073994387,0.6906032006565449,0.5892351274787535,0.7137307634842373,0.7234552332912989,0.7604166666666666,0.6128170894526035,0.6393787413039961,0.7233494851605088,0.769344240311117,0.745085685483871
8,0.7202326922515487,0.7168844359298012,0.715677017081617,0.6881376828914897,0.7119966450531539,0.4332480518461303,0.8649189309912735,0.7293119956230338,0.5884896376919636,0.7533243687434633,0.725094577553594,0.7804783950617284,0.5933014354066986,0.7031890254765722,0.7812209482491478,0.7383153569594247,0.8011881188118812
9,0.7390710225069588,0.7371512620646892,0.7365793791484764,0.7115460171857148,0.7330960108392925,0.4132633525335659,0.8767936620217558,0.7265763917384763,0.6083196660205755,0.7894815478858509,0.7496847414880202,0.8094135802469136,0.6369304556354916,0.7243032132078822,0.7922038980509745,0.7786509495743288,0.7733136748986362
std,0.013934680479055517,0.013765980354462982,0.013780231961711933,0.012570586167712389,0.013353461329395298,0.016672341028886043,0.008115480809201046,0.024738013139887396,0.014619782703344639,0.02908362819219388,0.020032921989911145,0.024868290353664106,0.027536347399689656,0.031266816948611,0.02604604959249392,0.021234650902208656,0.017999080794468277
mean,0.720947720486895,0.7193961425782971,0.718910285217319,0.6964857873451673,0.7156447248212947,0.43326063669055487,0.866520046065531,0.6994939132813569,0.6041747428060236,0.7702674435977888,0.7349810844892812,0.785841049382716,0.6298405706518849,0.6887841443174096,0.77485769625611,0.749541873318643,0.7696382796118441
