,AvF0.5,AvF1,AvF1.5,CBA,mGM,CEN,AvACC,Recall_0,Recall_1,Recall_2,Recall_3,Recall_4,Recall_5,Recall_6,Recall_7,Recall_8,Precision_0,Precision_1,Precision_2,Precision_3,Precision_4,Precision_5,Precision_6,Precision_7,Precision_8
0,0.9343360418626069,0.8900312178633695,0.865776800158167,0.8311418075259871,0.8196406650284783,0.021911944570614225,0.9974113403641199,0.9981078697920494,0.9790655339805825,0.5925925925925926,0.7587548638132295,0.7040358744394619,0.7067307692307693,0.9847715736040609,0.9341216216216216,0.8301886792452831,0.9900147592062827,0.9799574855754631,0.9795918367346939,0.9112149532710281,0.9573170731707317,0.9382978723404255,1.0,0.9875,0.9832402234636871
1,0.9184324811507609,0.8679430962113691,0.8421352201922642,0.8066399896470346,0.7836850080065977,0.02435675173783374,0.9970757661575428,0.9975567639062385,0.972997572815534,0.41975308641975306,0.7354085603112841,0.679372197309417,0.7259615384615384,0.9870276367738297,0.910472972972973,0.839622641509434,0.9891437002495491,0.976850441669205,0.9714285714285714,0.9130434782608695,0.9742765273311897,0.8694817658349329,1.0,0.9908088235294118,0.9888888888888889
2,0.9179752717547637,0.8660439469272281,0.8391475292188239,0.8020018051018626,0.7795087674316559,0.022232770581702865,0.99733512852403,0.9982364611654052,0.978003640776699,0.43209876543209874,0.6770428015564203,0.695067264573991,0.7387820512820513,0.9870276367738297,0.9375,0.7830188679245284,0.9894752175971449,0.9823251561785769,0.9459459459459459,0.8656716417910447,0.9717868338557993,0.9146825396825397,1.0,1.0,1.0
3,0.9361019871643587,0.8875545942482485,0.8615254981226084,0.8248411523704113,0.811060257464469,0.021532475761771298,0.997442869353302,0.9983283121463737,0.9761832524271845,0.5432098765432098,0.7120622568093385,0.7130044843049327,0.7435897435897436,0.9875916525662719,0.9375,0.8207547169811321,0.9896743881118881,0.9822927797282858,1.0,0.905940594059406,0.9845201238390093,0.928,1.0,1.0,0.9942857142857143
4,0.9069913667399757,0.8526295094657264,0.825387079201517,0.7882307396555389,0.7611083095986482,0.027680749991239737,0.9965952308670486,0.9970975090013962,0.9610133495145631,0.38271604938271603,0.6770428015564203,0.6704035874439462,0.7099358974358975,0.9864636209813875,0.9222972972972973,0.7971698113207547,0.9870342419668673,0.9734173325138291,0.96875,0.9015544041450777,0.9707792207792207,0.886,0.9988577955454027,0.9927272727272727,0.9388888888888889
5,0.9324984107809127,0.8873945024895211,0.8626171550178725,0.8271205680006525,0.8156501194190178,0.022246066205189294,0.9973703047767949,0.9980527592034683,0.9754247572815534,0.5802469135802469,0.7276264591439688,0.726457399103139,0.7403846153846154,0.9875916525662719,0.9290540540540541,0.7877358490566038,0.9895634118354188,0.981979230299328,0.9591836734693877,0.8904761904761904,0.9848024316109423,0.9203187250996016,1.0,0.9945750452079566,0.9940476190476191
6,0.9193786613464421,0.869560180524089,0.84386805191996,0.808386721465056,0.7854738394915121,0.02204308128608889,0.9973799812266413,0.9982364611654052,0.9773968446601942,0.41975308641975306,0.7237354085603113,0.7107623318385651,0.7323717948717948,0.9870276367738297,0.9375,0.7971698113207547,0.9897635787403009,0.9832137952083015,0.9444444444444444,0.9073170731707317,0.9664634146341463,0.9103585657370518,1.0,0.980565371024735,0.9883040935672515
7,0.9109115762446012,0.8564665223942128,0.8291649341727376,0.7918640787125512,0.761601580538654,0.024886677129020575,0.9969797009670318,0.9978874274377251,0.9669296116504854,0.35802469135802467,0.6731517509727627,0.6860986547085202,0.7307692307692307,0.9875916525662719,0.9391891891891891,0.7971698113207547,0.987852115877721,0.9798616448885473,0.9354838709677419,0.8693467336683417,0.9622641509433962,0.9249492900608519,1.0,0.996415770609319,1.0
8,0.9295575331463757,0.8787119025685802,0.8518709391163106,0.8145561238329273,0.7981339410552006,0.022242195842554876,0.9973285115267425,0.9979609082224998,0.9783070388349514,0.5185185185185185,0.6926070038910506,0.6928251121076233,0.717948717948718,0.988155668358714,0.9510135135135135,0.8018867924528302,0.989742748870427,0.9789010321797207,1.0,0.9175257731958762,0.9716981132075472,0.9050505050505051,0.9994295493439818,1.0,0.9883720930232558
9,0.9202303964487556,0.865295756082262,0.8374079084464441,0.7993614584412237,0.7762727171308639,0.026211351072979297,0.996799659406671,0.9972995811595268,0.9661711165048543,0.43209876543209874,0.6809338521400778,0.672645739910314,0.6939102564102564,0.9864636209813875,0.9391891891891891,0.8349056603773585,0.9879349250254768,0.9711802378774016,1.0,0.9210526315789473,0.9615384615384616,0.911578947368421,0.9994285714285714,0.9910873440285205,0.9833333333333333
std,0.009494230211178145,0.012522707152727542,0.0133836242948219,0.014041130836538832,0.020099943039889025,0.00201869090222639,0.00027962145099627084,0.00039962671902930814,0.005935291155136294,0.0793299942045301,0.028337963355693562,0.01754045490189052,0.015583648437363103,0.000890001908520012,0.01046206930216351,0.019477191341568473,0.0009744455907770152,0.0038358227769022006,0.023093971892778963,0.018290143885889364,0.008699178131140184,0.019271478515050452,0.00037879701063240956,0.005943047835844379,0.01666985903395055
mean,0.9226413726639553,0.8721631228774605,0.8458901115566707,0.8094144444753246,0.7892135205165098,0.02353440641789948,0.9971718493169923,0.9978764053200088,0.9731492718446603,0.46790123456790117,0.7058365758754865,0.695067264573991,0.7240384615384615,0.9869712351945855,0.9337837837837839,0.8089622641509434,0.9890199087481075,0.978997913611866,0.9704828342990786,0.9003143473617513,0.9705446350910444,0.9108718211174327,0.9997715916317956,0.9933679627127214,0.9859360854498638
