,AvF0.5,AvF1,AvF1.5,CBA,mGM,CEN,AvACC,Recall_0,Recall_1,Recall_2,Recall_3,Recall_4,Recall_5,Recall_6,Recall_7,Recall_8,Precision_0,Precision_1,Precision_2,Precision_3,Precision_4,Precision_5,Precision_6,Precision_7,Precision_8
MicFoal-w300-b0.3,0.924247899,0.873461695,0.847026343,0.810353184,0.791586008,0.024118475,0.997095368,0.997679844,0.971192354,0.477777778,0.723346304,0.69573991,0.733974359,0.986350818,0.924493243,0.791509434,0.989001505,0.976903002,0.986989573,0.90573142,0.974049685,0.894115831,0.999599999,0.991680331,0.9970083
MicFoal-w500-b0.3,0.926643805,0.87669683,0.850408731,0.813704677,0.796150716,0.023366032,0.997198367,0.997859872,0.973164442,0.491358025,0.73307393,0.704035874,0.726602564,0.987478849,0.928716216,0.79009434,0.989054307,0.978566422,0.975285281,0.906540986,0.969486727,0.927875939,0.999714742,0.993200503,0.982702657
MicFoal-w700-b0.3,0.92719457,0.878741121,0.853240197,0.817547047,0.799877663,0.023036637,0.997252932,0.997942538,0.973589199,0.498765432,0.737354086,0.703811659,0.730448718,0.986407219,0.934628378,0.803773585,0.989278384,0.980050642,0.978850927,0.907241999,0.962674064,0.91913439,0.999485845,0.993729847,0.988214703
MicFoal-w1000-b0.3,0.924247899,0.873461695,0.847026343,0.810353184,0.791586008,0.024118475,0.997095368,0.997679844,0.971192354,0.477777778,0.723346304,0.69573991,0.733974359,0.986350818,0.924493243,0.791509434,0.989001505,0.976903002,0.986989573,0.90573142,0.974049685,0.894115831,0.999599999,0.991680331,0.9970083
MicFoal-w300-b0.25,0.922677838,0.870704027,0.843724865,0.806319005,0.786823583,0.024548457,0.997024858,0.997672496,0.970009102,0.477777778,0.710505837,0.698430493,0.719230769,0.986181613,0.928209459,0.778301887,0.988638279,0.976654702,0.990385369,0.917719579,0.972892344,0.897227054,0.99994302,0.986609705,0.984798248
MicFoal-w500-b0.25,0.922641373,0.872163123,0.845890112,0.809414444,0.789213521,0.023534406,0.997171849,0.997876405,0.973149272,0.467901235,0.705836576,0.695067265,0.724038462,0.986971235,0.933783784,0.808962264,0.989019909,0.978997914,0.970482834,0.900314347,0.970544635,0.910871821,0.999771592,0.993367963,0.985936085
MicFoal-w700-b0.25,0.921109637,0.867819086,0.840518569,0.802766768,0.779359746,0.024325661,0.997051493,0.997931516,0.969250607,0.443209877,0.711673152,0.702242152,0.721314103,0.986181613,0.925,0.777830189,0.988228747,0.979547338,0.990218967,0.901131858,0.968514307,0.921523392,0.999714023,0.990295534,0.991638484
MicFoal-w1000-b0.25,0.922677838,0.870704027,0.843724865,0.806319005,0.786823583,0.024548457,0.997024858,0.997672496,0.970009102,0.477777778,0.710505837,0.698430493,0.719230769,0.986181613,0.928209459,0.778301887,0.988638279,0.976654702,0.990385369,0.917719579,0.972892344,0.897227054,0.99994302,0.986609705,0.984798248
MicFoal-w300-b0.2,0.921320151,0.870212003,0.84359689,0.806591801,0.787728313,0.025096636,0.996946104,0.997391432,0.968977549,0.480246914,0.707392996,0.691704036,0.717628205,0.987366046,0.926351351,0.791981132,0.988575244,0.974612192,0.984272158,0.905769893,0.965330365,0.888121345,0.999600293,0.995460844,0.989044494
MicFoal-w500-b0.2,0.91705548,0.861754335,0.833574712,0.794894632,0.771088731,0.025800415,0.996843067,0.997413476,0.968173544,0.434567901,0.684824903,0.696636771,0.703044872,0.987535251,0.916047297,0.775471698,0.987808461,0.975132809,0.986361518,0.905226211,0.968569318,0.903047393,0.999315913,0.989548489,0.991712147
MicFoal-w700-b0.2,0.915061654,0.860424682,0.832788961,0.794812385,0.768009239,0.025400367,0.996884878,0.997847013,0.964290049,0.407407407,0.695330739,0.691928251,0.716025641,0.986745629,0.932432432,0.771698113,0.987453206,0.979365014,0.966880934,0.902512203,0.970222424,0.910659739,0.999542659,0.992990158,0.984143966
MicFoal-w1000-b0.2,0.921320151,0.870212003,0.84359689,0.806591801,0.787728313,0.025096636,0.996946104,0.997391432,0.968977549,0.480246914,0.707392996,0.691704036,0.717628205,0.987366046,0.926351351,0.791981132,0.988575244,0.974612192,0.984272158,0.905769893,0.965330365,0.888121345,0.999600293,0.995460844,0.989044494
MicFoal-w300-b0.15,0.905879426,0.844598242,0.814553452,0.774205715,0.742795348,0.02685853,0.99664685,0.997538394,0.96565534,0.40617284,0.604669261,0.655829596,0.707371795,0.987478849,0.915371622,0.739150943,0.987085598,0.974159955,0.97278303,0.922537721,0.971777358,0.888259232,0.996880161,0.98683532,0.987701754
MicFoal-w500-b0.15,0.911901715,0.853126918,0.823734377,0.783768474,0.756246074,0.027049233,0.996659327,0.99734367,0.965139563,0.397530864,0.698832685,0.684304933,0.690705128,0.98714044,0.901182432,0.741981132,0.987128407,0.972859873,0.987704404,0.9168565,0.966925898,0.909851801,0.999543411,0.97868639,0.988458721
MicFoal-w700-b0.15,0.915182439,0.857695791,0.828397416,0.788286209,0.765464372,0.026638038,0.996693621,0.997400617,0.966368325,0.471604938,0.618287938,0.664349776,0.692948718,0.987196842,0.919932432,0.787735849,0.987205116,0.973141567,0.974915057,0.902285395,0.970025719,0.916426787,0.998518677,0.983998667,0.991558051
MicFoal-w1000-b0.15,0.905879426,0.844598242,0.814553452,0.774205715,0.742795348,0.02685853,0.99664685,0.997538394,0.96565534,0.40617284,0.604669261,0.655829596,0.707371795,0.987478849,0.915371622,0.739150943,0.987085598,0.974159955,0.97278303,0.922537721,0.971777358,0.888259232,0.996880161,0.98683532,0.987701754
