,AvF0.5,AvF1,AvF1.5,CBA,mGM,CEN,AvACC,Recall_0,Recall_1,Recall_2,Recall_3,Recall_4,Recall_5,Recall_6,Recall_7,Recall_8,Precision_0,Precision_1,Precision_2,Precision_3,Precision_4,Precision_5,Precision_6,Precision_7,Precision_8
MicFoal-w300-b0.3,0.006508528,0.009271997,0.010488524,0.0119507,0.015607548,0.001218646,0.000172094,0.000265835,0.004050932,0.067631338,0.04522499,0.013037302,0.01755521,0.001204408,0.021139175,0.028049186,0.000779758,0.002620315,0.013309658,0.019604971,0.008437059,0.026327134,0.000514288,0.009891955,0.003984764
MicFoal-w500-b0.3,0.006736624,0.008941384,0.009807439,0.010908314,0.013754035,0.001749124,0.000251688,0.000291068,0.007132259,0.053472612,0.042489132,0.013821556,0.020587804,0.0011777,0.008705472,0.040480933,0.001079677,0.002416241,0.014922597,0.014317037,0.008150182,0.018834503,0.000285259,0.007941953,0.014610931
MicFoal-w700-b0.3,0.007833651,0.01201102,0.013527461,0.015180577,0.020680091,0.001493169,0.000199182,0.000379512,0.004744301,0.086101708,0.044099527,0.013618193,0.019974919,0.000688469,0.0079248,0.026195176,0.000948992,0.002803663,0.015692738,0.020277505,0.010277357,0.021368516,0.00047457,0.003583718,0.008959783
MicFoal-w1000-b0.3,0.006508528,0.009271997,0.010488524,0.0119507,0.015607548,0.001218646,0.000172094,0.000265835,0.004050932,0.067631338,0.04522499,0.013037302,0.01755521,0.001204408,0.021139175,0.028049186,0.000779758,0.002620315,0.013309658,0.019604971,0.008437059,0.026327134,0.000514288,0.009891955,0.003984764
MicFoal-w300-b0.25,0.009664421,0.014011804,0.015502049,0.017076401,0.024422475,0.001297301,0.000187032,0.000355362,0.004895932,0.076313874,0.051125503,0.008926471,0.023076923,0.001957874,0.011586656,0.043794318,0.001024677,0.00266616,0.015342328,0.015316155,0.007398293,0.028864589,0.00017094,0.012008395,0.016946468
MicFoal-w500-b0.25,0.00949423,0.012522707,0.013383624,0.014041131,0.020099943,0.002018691,0.000279621,0.000399627,0.005935291,0.079329994,0.028337963,0.017540455,0.015583648,0.000890002,0.010462069,0.019477191,0.000974446,0.003835823,0.023093972,0.018290144,0.008699178,0.019271479,0.000378797,0.005943048,0.016669859
MicFoal-w700-b0.25,0.009089553,0.01280485,0.013452475,0.013669568,0.026296145,0.001114731,0.000147896,0.000285561,0.005524449,0.10655258,0.02047521,0.008957392,0.015904187,0.001788028,0.008718573,0.030819616,0.000749674,0.003169381,0.012074085,0.014045369,0.011948147,0.019974132,0.000383717,0.009120131,0.010502994
MicFoal-w1000-b0.25,0.009664421,0.014011804,0.015502049,0.017076401,0.024422475,0.001297301,0.000187032,0.000355362,0.004895932,0.076313874,0.051125503,0.008926471,0.023076923,0.001957874,0.011586656,0.043794318,0.001024677,0.00266616,0.015342328,0.015316155,0.007398293,0.028864589,0.00017094,0.012008395,0.016946468
MicFoal-w300-b0.2,0.004481193,0.006437694,0.007622483,0.009167663,0.012647357,0.000768231,0.000101177,0.000420754,0.004448818,0.064019221,0.039635273,0.026382237,0.023386457,0.001579244,0.007821511,0.022269946,0.000730361,0.003139333,0.019504611,0.017967335,0.019178404,0.032582563,0.000513754,0.002963475,0.010895779
MicFoal-w500-b0.2,0.008907841,0.01384736,0.015613465,0.017640681,0.02463046,0.001947902,0.000282614,0.000391919,0.005448847,0.090013462,0.053209316,0.013859695,0.02164411,0.001564064,0.035190721,0.03186669,0.001309695,0.003505349,0.014464994,0.012188968,0.007823458,0.024267415,0.000664386,0.009118448,0.012309797
MicFoal-w700-b0.2,0.011489929,0.015871465,0.01706608,0.018110411,0.028264272,0.001913527,0.000294498,0.000253855,0.007833371,0.101053738,0.05013419,0.017717261,0.024731464,0.002342534,0.014152946,0.028160022,0.001466922,0.00292392,0.02814223,0.023885534,0.005308945,0.015488987,0.000427585,0.00498475,0.017993112
MicFoal-w1000-b0.2,0.004481193,0.006437694,0.007622483,0.009167663,0.012647357,0.000768231,0.000101177,0.000420754,0.004448818,0.064019221,0.039635273,0.026382237,0.023386457,0.001579244,0.007821511,0.022269946,0.000730361,0.003139333,0.019504611,0.017967335,0.019178404,0.032582563,0.000513754,0.002963475,0.010895779
MicFoal-w300-b0.15,0.014230807,0.022393386,0.024916555,0.027264967,0.041139827,0.002426719,0.000353379,0.000567101,0.006604119,0.109096971,0.140339142,0.044315847,0.022415284,0.002061553,0.02221075,0.055132208,0.001678989,0.004815859,0.021828479,0.015999887,0.011586335,0.032038641,0.003486615,0.014441992,0.01332291
MicFoal-w500-b0.15,0.006359837,0.009089167,0.009701776,0.010301173,0.017943175,0.001585011,0.0002416,0.000378283,0.007283386,0.093175122,0.042167213,0.019669697,0.026662352,0.001688283,0.016276808,0.045098385,0.001136936,0.003848402,0.021145649,0.015853812,0.012862258,0.025101217,0.000559172,0.023335709,0.015075182
MicFoal-w700-b0.15,0.009341364,0.016644576,0.019267267,0.021809024,0.030167456,0.001884409,0.000298886,0.000330178,0.006428192,0.078625597,0.093035174,0.04880533,0.026050418,0.000875588,0.026870323,0.032543752,0.001374306,0.004445195,0.025052022,0.017761857,0.008907154,0.025922769,0.001374979,0.013832072,0.007952721
MicFoal-w1000-b0.15,0.014230807,0.022393386,0.024916555,0.027264967,0.041139827,0.002426719,0.000353379,0.000567101,0.006604119,0.109096971,0.140339142,0.044315847,0.022415284,0.002061553,0.02221075,0.055132208,0.001678989,0.004815859,0.021828479,0.015999887,0.011586335,0.032038641,0.003486615,0.014441992,0.01332291
